"gene","statistic","p.value","p_adj"
"SLC25A47",0.467719910596736,1.01888095651741e-11,4.71993460142521e-09
"PRSS22",0.460935060163498,2.19843244496363e-11,8.55373423794598e-09
"DEUP1",0.44820865427093,8.89417245111556e-11,2.91416780170235e-08
"BRWD3",0.444515302217148,1.32013846007742e-10,4.17879760684846e-08
"POTEG",0.443782230445223,1.42698114360885e-10,4.44171663967313e-08
"SPATA46",0.440430045445201,2.03212794551211e-10,6.22164287055479e-08
"OR5H15",0.439945413271398,2.13800880223444e-10,6.33800831595719e-08
"NEU2",0.431930611869989,4.89564398290517e-10,1.26987565312135e-07
"KCTD4",0.428198769174244,7.14760880728031e-10,1.71139412929188e-07
"ZNF720",0.427128029497828,7.96064195767228e-10,1.88193606584161e-07
"FCF1",0.424790597785913,1.00581614294909e-09,2.20995556302556e-07
"GIPC2",0.422594881619406,1.25091276862228e-09,2.62494908615614e-07
"VWA1",0.421699099406457,1.36669056618718e-09,2.83603477934575e-07
"CTSE",0.417361903887117,2.09034807653308e-09,4.02467429663215e-07
"ROPN1B",0.414921247271757,2.64802254251324e-09,4.8014047576677e-07
"IL12A",0.413418362660578,3.06023918696723e-09,5.44314543388571e-07
"SERTAD4",0.413269648816631,3.10424558363884e-09,5.46205908571841e-07
"HOXA13",0.413185669234167,3.12936561454203e-09,5.46205908571841e-07
"TTLL10",0.412001207206498,3.50527025444144e-09,5.8450381492811e-07
"LEUTX",0.41180350527278,3.57211845271279e-09,5.85200738797053e-07
"SOX14",0.410475578125068,4.05410488019383e-09,6.58386632543478e-07
"OR1J1",0.409455576113057,4.46637290719726e-09,7.00957818611899e-07
"IFNA6",0.409058422670988,4.6376028796075e-09,7.21765594829581e-07
"AP4B1",0.408085659174113,5.08419491324851e-09,7.84730778510986e-07
"TWNK",0.407482055925153,5.38187802890472e-09,8.17170358274996e-07
"DPPA5",0.407240614625569,5.50560146659986e-09,8.29214620888863e-07
"MAP3K21",0.406297593897484,6.01566252074102e-09,8.81042076877795e-07
"TMSB15B",0.405788467678796,6.30969014471726e-09,9.06459793405689e-07
"DNAH12",0.405679994051446,6.37410310762328e-09,9.08723279679179e-07
"STK32B",0.404443044784737,7.1549715060232e-09,1.00470863042473e-06
"POLR1F",0.403744964505505,7.63558025275105e-09,1.06419475224163e-06
"DAPP1",0.402081119027936,8.90994962853926e-09,1.18858728044714e-06
"TP53I3",0.401202832561333,9.6629896751746e-09,1.27990067498979e-06
"PLA2G3",0.399586225598901,1.12124863562114e-08,1.42451969516057e-06
"GFRA4",0.398916138513824,1.19226756756791e-08,1.49441537529518e-06
"SLC13A4",0.395376749027893,1.64541800901365e-08,2.00848540760385e-06
"GAB4",0.395123060705866,1.68360799498539e-08,2.04175733210047e-06
"ANKRD66",0.394666421726218,1.75451216206306e-08,2.11401736378643e-06
"STC2",0.394069816775796,1.85149370156029e-08,2.20245199811083e-06
"SPINK14",0.393963092723082,1.86937822274989e-08,2.20965238532133e-06
"KIF2B",0.392862610277876,2.06376771393689e-08,2.40893286409284e-06
"CHST8",0.392748887926623,2.08493093301916e-08,2.41851988230223e-06
"GPAM",0.392538938970463,2.12455179607903e-08,2.44926724343037e-06
"APOBEC3D",0.392061305095199,2.21740844722028e-08,2.52514147318817e-06
"DACT2",0.39189684507954,2.25027619175724e-08,2.54703988831867e-06
"GNLY",0.391531183980895,2.32504386703706e-08,2.61581441330025e-06
"KRTAP10-6",0.390381713445918,2.57598005402131e-08,2.82216610181355e-06
"PPP1R16B",0.389907578719924,2.68690959747988e-08,2.91748393270548e-06
"PSG5",0.389139515455305,2.87642833509674e-08,3.06972431921524e-06
"PRB3",0.388261228988702,3.10891834512338e-08,3.2725261146672e-06
"C22orf15",0.388243733242355,3.11372847443684e-08,3.2725261146672e-06
"SLC35D3",0.385955289620211,3.80860660799184e-08,3.92980867463291e-06
"C4orf46",0.385685855126472,3.89962196444871e-08,4.00161207736506e-06
"IMMP2L",0.385103246773128,4.10363545124483e-08,4.1361546742223e-06
"SYNE3",0.385063006556531,4.1180992085644e-08,4.1361546742223e-06
"SLC35G6",0.385003521018952,4.13957026415713e-08,4.1361546742223e-06
"DTD2",0.384735836099848,4.23752964363217e-08,4.20957998002523e-06
"SGO2",0.384576624808094,4.29684637577354e-08,4.24592078909771e-06
"RIPPLY3",0.384413914367069,4.35829146097528e-08,4.2839711223776e-06
"ZSCAN5C",0.384008013051827,4.51527931647587e-08,4.41504484369128e-06
"MOGAT3",0.383446399594099,4.74148343328121e-08,4.58957996004121e-06
"CARD17",0.382879537412467,4.98083177964309e-08,4.74204777296282e-06
"HLA-DOB",0.382830549322696,5.00205296248488e-08,4.74204777296282e-06
"MOB3A",0.381282175771016,5.71942506027825e-08,5.2777895021077e-06
"KLHDC8B",0.381280426196381,5.72028900059177e-08,5.2777895021077e-06
"AASDH",0.381147458524146,5.78631677526494e-08,5.29731627915922e-06
"PLBD1",0.380067970974557,6.35015384057013e-08,5.70427911086265e-06
"MED18",0.380062722250653,6.35302021342596e-08,5.70427911086265e-06
"IL1RL2",0.379777541585202,6.51064274570579e-08,5.81783559420102e-06
"TTC24",0.379228175149917,6.82494059229401e-08,6.06964716674681e-06
"SYCN",0.379170439186973,6.85880597885881e-08,6.07085594602688e-06
"C16orf95",0.378944744059101,6.99274467735952e-08,6.13129106076838e-06
"GOLGA6L6",0.378855515752733,7.04638734771095e-08,6.14945467784344e-06
"MUC17",0.378671810416093,7.15807582840252e-08,6.16056332586385e-06
"PERCC1",0.378489854654087,7.27037616512309e-08,6.22851125045132e-06
"MAK16",0.378328893787698,7.37112812447809e-08,6.25056559086229e-06
"SLFN13",0.37831839633989,7.37774528884059e-08,6.25056559086229e-06
"COLEC11",0.376624808093532,8.5234470572849e-08,7.03652953738052e-06
"LHX9",0.376584567876935,8.55264620360557e-08,7.03652953738052e-06
"OR10X1",0.376204910181212,8.83290438099292e-08,7.23523343067648e-06
"GPR174",0.376024703993841,8.96899685307053e-08,7.31462817589281e-06
"S1PR4",0.375884738023068,9.07608685725508e-08,7.36978252809113e-06
"CPSF4L",0.375190156893105,9.625943834415e-08,7.68834161561176e-06
"UGT2B7",0.375181409019932,9.6330688480036e-08,7.68834161561176e-06
