"gene","statistic","p.value","p_adj"
"CRYAB",0.677640873562615,6.85954227349599e-27,1.28108811499811e-22
"BCAS1",0.652051594955976,2.2058641552303e-24,1.74629136835193e-20
"MBP",0.650930117615155,2.80513713057175e-24,1.74629136835193e-20
"HIPK2",0.64312701474454,1.4527004115141e-23,6.78265822135935e-20
"ERMN",0.627478819212079,3.41874275998186e-22,1.27696879570843e-18
"PLP1",0.618169332581016,2.05903450317746e-21,6.40908806355703e-18
"ANLN",0.613669426620653,4.80138434938006e-21,1.2810093444146e-17
"LPAR1",0.606050029086678,1.95314994719295e-20,4.55962855172195e-17
"MTURN",0.601282438207211,4.61092456564237e-20,9.56818079865965e-17
"TP53INP2",0.59889776798016,7.04786712355522e-20,1.31625966399517e-16
"EFHD1",0.596261159005717,1.12206492155255e-19,1.9050622249923e-16
"NXF2",0.588094144611091,4.61307728054282e-19,7.17948594095147e-16
"CLDND1",0.584196092325053,8.93272955337524e-19,1.28328967029874e-15
"PRMT8",0.575470963621969,3.79867979810701e-18,5.06743885067475e-15
"MOBP",0.57273812804262,5.92537493802069e-18,7.37748682283163e-15
"LAMP2",0.572071540106811,6.59995224878929e-18,7.7037942623993e-15
"MAN2A1",0.570068277150118,9.11224910632094e-18,1.00106096652735e-14
"PKP4",0.56866686786775,1.14040675838519e-17,1.18323536775566e-14
"SHTN1",0.568110503133926,1.24627389693823e-17,1.22502164732728e-14
"KRTAP10-3",0.56120668162553,3.69862809745089e-17,3.45377891739964e-14
"MAP4K4",0.560193677912058,4.32952655614054e-17,3.85039228392766e-14
"NDRG1",0.558925236301924,5.26938638517556e-17,4.47323000588812e-14
"ZNF587",0.558514086262777,5.61484104019008e-17,4.55925092463434e-14
"ZNF417",0.555221386800334,9.3073276036057e-17,7.2426520968725e-14
"SPP1",0.552208619279438,1.47076564591401e-16,1.0987207681236e-13
"PHAX",0.548928166839437,2.40799616646544e-16,1.72968216941956e-13
"RSF1",0.548396296150498,2.60705609672469e-16,1.80331035786779e-13
"PTP4A2",0.545240063509559,4.16482137125574e-16,2.77793585462758e-13
"CNP",0.544753681761122,4.47464204287851e-16,2.88166947561376e-13
"SEPTIN4",0.537837613230283,1.22592118961612e-15,7.6317680457569e-13
"PIP4K2A",0.535799358780896,1.64269962386097e-15,9.89647037910561e-13
"KRTAP12-3",0.533451429621173,2.2956535778123e-15,1.3398008193507e-12
"PAQR6",0.526806545158708,5.83725732832036e-15,3.30353387465791e-12
"ZNF776",0.525755050803273,6.75360634914095e-15,3.70971624048695e-12
"PLEKHB1",0.520144164949896,1.45808169665298e-14,7.71493685931077e-12
"FCF1",0.519998950255219,1.48713711145421e-14,7.71493685931077e-12
"USP17L12",0.515044154889842,2.89938158742106e-14,1.46348244666691e-11
"SUN2",0.512117116526045,4.27956293195352e-14,2.103292560978e-11
"GPRC5B",0.510862671512988,5.05096695037401e-14,2.38674977615512e-11
"EVX1",0.510771693631986,5.11190785212064e-14,2.38674977615512e-11
"RPL21",0.509452514357447,6.08040456937781e-14,2.76969843262683e-11
"TTYH2",0.509046613042204,6.41285926825461e-14,2.85158475461722e-11
"CA2",0.508222563389276,7.14321345204329e-14,3.10248033558978e-11
"ZNF845",0.507368770967559,7.98534253845002e-14,3.38941493745665e-11
"OR2A14",0.506871891771313,8.5191981797306e-14,3.53565656010330e-11
"QKI",0.504452230051569,1.16577302595693e-13,4.70615216091627e-11
"RPS26",0.504329759827142,1.1843497085193e-13,4.70615216091627e-11
"KIR3DL1",0.504039330437787,1.22956397122997e-13,4.76956847052903e-11
"USP17L11",0.503902863616283,1.25138603049862e-13,4.76956847052903e-11
"NICN1",0.502952844589659,1.41411464760074e-13,5.26764279887941e-11
"NAT8B",0.502819876917424,1.4384760266805e-13,5.26764279887941e-11
"DYNC1LI2",0.502403478154374,1.51744140398127e-13,5.44994916552966e-11
"HSPA2",0.497132009780122,2.96639815821275e-13,1.04529154722229e-10
"PTK6",0.495389433443994,3.69292569928846e-13,1.24927111460754e-10
"CCL3",0.495289707689818,3.73937570262858e-13,1.24927111460754e-10
"ORM2",0.495275711092741,3.74594037363581e-13,1.24927111460754e-10
"RPS28",0.487185677982041,1.0188510462151e-12,3.33825651563389e-10
"HOXB3",0.486018711700718,1.17450954118082e-12,3.6669831198024e-10
"GPAT2",0.48598197063339,1.17976844681645e-12,3.6669831198024e-10
"NUTM2G",0.485859500408963,1.19746418024669e-12,3.6669831198024e-10
"BMERB1",0.485857750834328,1.19771883865895e-12,3.6669831198024e-10
"ELOVL5",0.484253390894339,1.45485225894456e-12,4.38239044968527e-10
"HSPA1A",0.483656785943917,1.56356557166186e-12,4.63510327243759e-10
"MAG",0.481266866992962,2.08392899432111e-12,6.0811652965533e-10
"ZCCHC24",0.480867963976258,2.18581703189793e-12,6.28035675195781e-10
"C4orf46",0.480738495453293,2.21991573194621e-12,6.28168881967082e-10
"NPAP1L",0.480372834354648,2.3190402662765e-12,6.46423821089253e-10
"AURKAIP1",0.479620517261741,2.53670808706532e-12,6.96699415206352e-10
"ZNF616",0.479076399550359,2.70639360131017e-12,7.32530534754619e-10
"PRAC1",0.478686244406829,2.8348101924961e-12,7.56327359357958e-10
"KRTAP5-8",0.477234097460055,3.36693831843009e-12,8.85647042746484e-10
"PAIP2B",0.475069873636972,4.34441303705705e-12,1.12689247055663e-09
"FGF1",0.474921159793025,4.42088340415321e-12,1.13101943090363e-09
"SGK1",0.471266298381206,6.77025361034038e-12,1.70866562738807e-09
"OLFML3",0.468389997681814,9.43490694673053e-12,2.33201524983127e-09
"HAPLN2",0.468236035113963,9.60317697491176e-12,2.33201524983127e-09
"SLC36A1",0.468225537666155,9.61475552779008e-12,2.33201524983127e-09
"CCDC184",0.467109309049237,1.09265345346554e-11,2.61620460216954e-09
