"gene","statistic","p.value","p_adj"
"FCF1",0.527026991562676,5.6611482394117e-15,1.05727604519253e-10
"GOLGA6L6",0.498332217979504,2.54909610779791e-13,2.38034594546169e-09
"XRCC2",0.488191683396974,9.00935014730651e-13,4.57068713854855e-09
"C4orf46",0.487512848438723,9.78943486517145e-13,4.57068713854855e-09
"ZNF587",0.478974924221549,2.73923821498424e-12,1.02316025806091e-08
"HIPK2",0.472118341228289,6.13267702510924e-12,1.908897935349e-08
"ZNF776",0.461335712754836,2.10181303991532e-11,5.60763719049407e-08
"HOXB3",0.454104720789758,4.68816837902122e-11,9.72847029406671e-08
"TGFB3",0.445566796572583,1.18031766198534e-10,1.87234712840489e-07
"EVX1",0.444644770740114,1.30209264274135e-10,1.87234712840489e-07
"LYRM2",0.44463602286694,1.30330438366157e-10,1.87234712840489e-07
"FOXD4L5",0.440325070967121,2.05462231059423e-10,2.25718389839164e-07
"ZNF616",0.429007072655461,6.58767989615831e-10,6.41124292472438e-07
"FOXD4L1",0.428597672190949,6.86575596993401e-10,6.41124292472438e-07
"SP7",0.427156022691983,7.93829024814349e-10,7.05978612734895e-07
"PRAC1",0.423973546431524,1.09103863422128e-09,9.2619261512348e-07
"HSD3B7",0.415407629020194,2.5265053246598e-09,1.9660422268061e-06
"DTD2",0.412802512389175,3.24648860435855e-09,2.42525684700001e-06
"TP53INP2",0.409054923521719,4.63913931135213e-09,3.33232945303125e-06
"NUTM2G",0.407466309753441,5.38986448316815e-09,3.56252978266313e-06
"CBLC",0.407441815708556,5.40231059408609e-09,3.56252978266313e-06
"ZNF845",0.4068434611835,5.71511079660735e-09,3.56252978266313e-06
"PTPRCAP",0.406829464586422,5.72263297707721e-09,3.56252978266313e-06
"ULBP1",0.404180608589537,7.33212522937406e-09,4.41725067044484e-06
"DAAM2",0.399031610439712,1.17972765625399e-08,6.52392672280175e-06
"ORM2",0.398958128305056,1.18769280667841e-08,6.52392672280175e-06
"NXF2",0.39751647880609,1.3548606592384e-08,7.22402801941778e-06
"ZNF66",0.397215551968928,1.39250914917027e-08,7.22402801941778e-06
"LPAR1",0.396314521032074,1.5113611371802e-08,7.62869745891282e-06
"KIR3DL1",0.395675926290421,1.6014521098908e-08,7.87071568534754e-06
"KLRC2",0.394911362175071,1.71612912624855e-08,8.0126068904545e-06
"SPATA46",0.394605186614004,1.76423636142926e-08,8.03631177708607e-06
"APBA3",0.393949096126004,1.87173603922536e-08,8.32298625442212e-06
"KRTAP12-3",0.392901100919839,2.05665175041005e-08,8.72955183878595e-06
"KRTAP10-3",0.390376464722014,2.57718357017294e-08,1.0282277399998e-05
"USP17L3",0.390330975781513,2.58763674127172e-08,1.0282277399998e-05
"SAMD10",0.389683633166686,2.74088960143697e-08,1.06643446242577e-05
"CCL3",0.386058514523656,3.77428138962848e-08,1.43854039250411e-05
"ZNF417",0.385467158297139,3.97503284134535e-08,1.48036706928142e-05
"RPS28",0.385274705087326,4.04255303776785e-08,1.48036706928142e-05
"GFM2",0.384457653732936,4.34169142334309e-08,1.55933517350684e-05
"OLFML3",0.383325678944307,4.79151012682886e-08,1.66043200565108e-05
"SLC36A1",0.383302934474056,4.80099209173047e-08,1.66043200565108e-05
"C11orf21",0.380899018926024,5.91165265371872e-08,1.97153616001519e-05
"PTK6",0.377749784583623,7.74482760803937e-08,2.53758597206567e-05
"METTL7A",0.377179423252722,8.1306323455586e-08,2.59640742266811e-05
"GLIS2",0.376442852331527,8.65624484696031e-08,2.69440047936385e-05
"TSPY1",0.37555931714102,9.32983819224591e-08,2.84584162791842e-05
"PKP4",0.375184908169201,9.63021823509611e-08,2.84584162791842e-05
