"region","celltype","contrast","full_estimate","full_p_adj","min_loo_estimate","max_loo_estimate","max_abs_delta","n_loo","any_sig_flip","any_direction_flip"
"Capillaries","Astrocytes5","Amyloid_effect",0.0741682540490141,0.903712626746032,-0.211091090580629,0.951413857809304,0.87724560376029,4,TRUE,TRUE
"Capillaries","Astrocytes2","Amyloid_effect",-0.525997907424528,0.346502862771107,-1.04037414785168,0.105891918209302,0.631889825633829,4,TRUE,TRUE
"Capillaries","ExNeuron6","Amyloid_effect",-0.0318222623342053,0.930994888226362,-0.663257003936811,0.37262598277309,0.631434741602606,4,FALSE,TRUE
"Capillaries","ExNeuron9","Amyloid_effect",-0.0814816326115885,0.884970702692789,-0.278171553935037,0.455028015864227,0.536509648475815,4,FALSE,TRUE
"Capillaries","ExNeuron4","Amyloid_effect",-0.347844889552208,0.484295290453222,-0.850537971196314,0.172681347107582,0.520526236659789,4,TRUE,TRUE
"Capillaries","ExNeuron3","Amyloid_effect",-0.381763128130297,0.47056978276812,-0.901001033512138,0.120431950770304,0.519237905381841,4,TRUE,TRUE
"Arteries","ExNeuron6","Amyloid_effect",0.411915941390548,0.170116490269467,-0.0552534072589432,0.565066355672272,0.467169348649491,4,FALSE,TRUE
"Capillaries","Astrocytes1","Amyloid_effect",-0.291587329276226,0.547369671112684,-0.583379582941759,0.129287265112245,0.42087459438847,4,FALSE,TRUE
"Capillaries","Astrocytes3","Amyloid_effect",0.161542957747993,0.669233012098456,-0.032627627076444,0.572879102404805,0.411336144656812,4,FALSE,TRUE
"Capillaries","Microglia5","Amyloid_effect",0.638077983193437,0.016523556470789,0.228663329703536,0.972100087493845,0.409414653489901,4,TRUE,FALSE
"Arteries","Astrocytes1","Amyloid_effect",0.397543493668527,0.0884908555757001,-0.00668819670115584,0.659214341067116,0.404231690369683,4,TRUE,TRUE
"Arteries","Oligodendrocytes2","Amyloid_effect",-0.61017657482786,0.049400455228588,-0.969047623241148,-0.210961686138325,0.399214888689536,4,TRUE,FALSE
"Capillaries","ExNeuron10","Amyloid_effect",0.699175493832378,0.00652013199206251,0.312298002489131,1.02209456432942,0.386877491343247,4,TRUE,FALSE
"Capillaries","VLMC2","Amyloid_effect",0.280496790194067,0.389081897564153,0.0398715299970535,0.666994628260542,0.386497838066475,4,TRUE,FALSE
"Capillaries","Microglia4","Amyloid_effect",0.187864067503118,0.669233012098456,-0.19828867037717,0.469676157958757,0.386152737880287,4,FALSE,TRUE
"Capillaries","Microglia1","Amyloid_effect",0.569295807863403,0.0181219410708287,0.192714645327138,0.802686255363896,0.376581162536266,4,TRUE,FALSE
"Arteries","ExNeuron11","Amyloid_effect",0.229206506430708,0.170116490269467,-0.142657619659804,0.411612543846767,0.371864126090512,4,FALSE,TRUE
"Capillaries","Oligodendrocytes7","Amyloid_effect",-0.0196462377747426,0.950210591374336,-0.39023358275214,0.164829858604083,0.370587344977397,4,FALSE,TRUE
"Capillaries","Oligodendrocytes6","Amyloid_effect",0.044479490280031,0.924893226001519,-0.319027142984956,0.273935770044813,0.363506633264987,4,FALSE,TRUE
"Capillaries","ExNeuron13","Amyloid_effect",0.432450496312706,0.109356710279092,0.309816192166512,0.792096348716665,0.359645852403959,4,TRUE,FALSE
