"gene","statistic","p.value","p_adj"
"DIRAS2",0.487488354393838,9.8187775308446e-13,1.6568817609496e-08
"KIF5A",0.482607041163117,1.77434328651703e-12,1.6568817609496e-08
"FAM107A",0.476754714010156,3.56304840957147e-12,2.21811640323856e-08
"MAPK1",0.461578903629055,2.04519117084565e-11,6.67457933634205e-08
"SPTBN1",0.4611572561421,2.14432833679869e-11,6.67457933634205e-08
"CLU",0.459531901306495,2.5720112952335e-11,6.86212613568297e-08
"RPL31",0.45488153192755,4.30491701364917e-11,1.0049828768364e-07
"METTL7A",0.440921675917542,1.92991653917197e-10,4.00479125395286e-07
"GFAP",0.434126328036496,3.90995483033116e-10,6.95784174586741e-07
"RAB6B",0.433109825173755,4.3397025119614e-10,6.95784174586741e-07
"DYNLL1",0.4328193957844,4.47066293373361e-10,6.95784174586741e-07
"PEA15",0.430961347522384,5.40367032315158e-10,7.76299591962914e-07
"IDS",0.42985036762937,6.04882186330268e-10,8.06912836564578e-07
"PKD1",0.428926592222266,6.64146930376482e-10,8.26907204780745e-07
"NDRG2",0.426162264299492,8.77017717786635e-10,1.02369893108645e-06
"MT3",0.425544664453455,9.32902282714406e-10,1.02487547246907e-06
"MAPT",0.420936284865742,1.47339186905272e-09,1.52872591924603e-06
"BAIAP3",0.413441107130829,3.05356214334893e-09,3.00149087311498e-06
"DYNLL2",0.408614030713783,4.83671164223922e-09,4.17161843786498e-06
"RPL38",0.408482812616183,4.89706459274825e-09,4.17161843786498e-06
"SLC8A1",0.408446071548855,4.91409325514187e-09,4.17161843786498e-06
"RPL26",0.407896705113569,5.17563089325666e-09,4.20261228532441e-06
"DDX17",0.404841947801441,6.89358130859639e-09,5.07282192226032e-06
"DMTN",0.404834949502902,6.89808667766127e-09,5.07282192226032e-06
"FBXL16",0.40458301075551,7.06218515628444e-09,5.07282192226032e-06
"RPS11",0.403452785541515,7.8458508975982e-09,5.30335137421308e-06
"RPL37A",0.40318859977168,8.04077516057655e-09,5.30335137421308e-06
"RPS24",0.402931412300384,8.23501766182155e-09,5.30335137421308e-06
"ATRNL1",0.401034873396405,9.81382448014589e-09,6.10943286637349e-06
"AQP4",0.397189308349408,1.39583982244477e-08,8.40925952386407e-06
"LY6H",0.394689166196468,1.75091348276689e-08,1.02187688137982e-05
"DNAJA1",0.391321235024735,2.36904757817996e-08,1.34073735060875e-05
"RPS28",0.390831354127028,2.47486301109946e-08,1.35942769397922e-05
"TLE5",0.386350693487646,3.67872921606704e-08,1.94364011945561e-05
"HIPK2",0.38614249410612,3.74657551405022e-08,1.94364011945561e-05
