"gene","statistic","p.value","p_adj"
"COLEC11",0.357264015186308,4.19158184574878e-07,4.66353666014596e-05
"OR3A1",0.356782882161774,4.35507555377157e-07,4.81274503208508e-05
"SLC9A7",0.356618422146116,4.41234710749757e-07,4.84735262233086e-05
"CMIP",0.35628250381626,4.53157475636007e-07,4.949221646186e-05
"KRTAP3-2",0.356062057412292,4.611486571889e-07,4.98725604406543e-05
"SLC51A",0.356039312942041,4.6198077512493e-07,4.98725604406543e-05
"CAPZA2",0.355867854627844,4.68300062615541e-07,4.99839095349843e-05
"TIMM10",0.355866105053209,4.68364969405775e-07,4.99839095349843e-05
"PODN",0.355470701185774,4.83256790126942e-07,5.12801352977884e-05
"FLG2",0.355197767542766,4.93799212294058e-07,5.21027914621685e-05
"NT5C3A",0.354055295306329,5.40365196769791e-07,5.51182418868461e-05
"DLG3",0.353957319126787,5.44548474162132e-07,5.51182418868461e-05
"TTLL10",0.353929325932633,5.45749373769588e-07,5.51182418868461e-05
"PFN2",0.353722876125742,5.54684557233384e-07,5.51182418868461e-05
"SHANK3",0.353722876125742,5.54684557233384e-07,5.51182418868461e-05
"PHF21A",0.353659891438894,5.57438282408832e-07,5.51182418868461e-05
"TRIM49B",0.353652893140355,5.57745057653643e-07,5.51182418868461e-05
"SYT7",0.353614402498393,5.59435209627799e-07,5.51182418868461e-05
"AVIL",0.353411451840771,5.6842822797526e-07,5.53599158440471e-05
"ADAM20",0.353395705669059,5.69131711397357e-07,5.53599158440471e-05
"UNC5C",0.353026545421144,5.85865064608353e-07,5.62264809851374e-05
"SHANK1",0.352739615181059,5.99194957685288e-07,5.69374534271001e-05
"ZNF202",0.35270987241227,6.00593185111304e-07,5.69374534271001e-05
"MRPL37",0.352452684940974,6.12814553963001e-07,5.7596700938318e-05
"MTRNR2L5",0.35228997449995,6.20668853554286e-07,5.7596700938318e-05
"PCP4",0.352258482156526,6.22200116399783e-07,5.7596700938318e-05
"CLIP1",0.352242735984814,6.2296710160314e-07,5.7596700938318e-05
"EMB",0.35202753830475,6.33540250627585e-07,5.82857030577378e-05
"LAMP3",0.351583146347544,6.5591972860035e-07,5.9755887079708e-05
"CYP2F1",0.351492168466542,6.60593622661964e-07,5.988954610114e-05
"CHRNA10",0.35139769143627,6.65480970858491e-07,6.0041172037455e-05
"GNPNAT1",0.351187742480109,6.76465790224156e-07,6.06253170785127e-05
"ZSWIM2",0.351086267151299,6.81837044375743e-07,6.06253170785127e-05
"TMEM51",0.350988290971757,6.8706174680071e-07,6.06253170785127e-05
"TANGO2",0.350398684319875,7.19320490338188e-07,6.3070560927493e-05
"ZP3",0.350277963670083,7.26101583325909e-07,6.33676316364237e-05
"ROS1",0.350036522370499,7.39847491982216e-07,6.42669384198133e-05
"BTF3L4",0.349693605742104,7.59798749126902e-07,6.55324197022668e-05
"TMEM52B",0.349572885092312,7.66943971718715e-07,6.55324197022668e-05
"DEFB107A",0.349520397853272,7.70070576317735e-07,6.55324197022668e-05
"SLC38A7",0.349483656785944,7.72266442223881e-07,6.55324197022668e-05
"TBCC",0.349343690815171,7.80686581832044e-07,6.55324197022668e-05
"OR5K4",0.349322695919555,7.81957143789396e-07,6.55324197022668e-05
"H3C7",0.349172232500973,7.91120828343161e-07,6.5959699063111e-05
"FARS2",0.348944787798466,8.05167936671148e-07,6.66359193341155e-05
"ALX1",0.348925542477485,8.0636741108964e-07,6.66359193341155e-05
"CNKSR3",0.348710344797421,8.19896515604485e-07,6.71595935325849e-05
"CEBPE",0.348120738145538,8.58084061624116e-07,6.94216214481082e-05
"FAM163B",0.348111990272365,8.58663233803437e-07,6.94216214481082e-05
"PLXDC1",0.347622109374658,8.91699580444247e-07,7.14287140455123e-05
"CCDC178",0.347609862352216,8.92540844275169e-07,7.14287140455123e-05
"TAS2R14",0.347557375113176,8.96154854704211e-07,7.14287140455123e-05
"SYNE2",0.347443652761922,9.04033218866824e-07,7.14287140455123e-05
"RTL8B",0.347354424455554,9.10260973593486e-07,7.14287140455123e-05
"SHKBP1",0.347051748043757,9.31693164362839e-07,7.2804608944102e-05
"PPDPFL",0.34690303419981,9.42399174038431e-07,7.33343623930906e-05
"CHRM4",0.346780563975383,9.51304003587209e-07,7.35961314822942e-05
"CLEC2B",0.34674557248269,9.53862963118115e-07,7.35961314822942e-05
"GP1BB",0.346694834818285,9.57585133336769e-07,7.35961314822942e-05
"MCM6",0.346432398623085,9.77060204830145e-07,7.44799036139094e-05
"OR12D1",0.346336172018178,9.84295375465636e-07,7.47264245211228e-05
"AAK1",0.346238195838637,9.91714641952424e-07,7.48328489319704e-05
"GRIA4",0.346211952219117,9.93710994598879e-07,7.48328489319704e-05
"SNAI1",0.345940768150743,1.01456592524159e-06,7.60965189550677e-05
"CD86",0.345886531337069,1.01878675950524e-06,7.61074460820798e-05
"TP53I3",0.345736067918487,1.03058412101297e-06,7.61691131101395e-05
"OIT3",0.345701076425794,1.03334632703179e-06,7.61691131101395e-05
"JAK2",0.345358159797399,1.06079263243594e-06,7.7014889776718e-05
"MPI",0.345291675961282,1.06619378838239e-06,7.7014889776718e-05
"ERMARD",0.345268931491031,1.06804757186603e-06,7.7014889776718e-05
"GPRC6A",0.345139462968066,1.07865862654182e-06,7.74808788819041e-05
"CACNG3",0.344992498698754,1.0908255578768e-06,7.80546288080729e-05
"MRPL12",0.344891023369943,1.09930287336523e-06,7.8350596163127e-05
"NEFL",0.344805294212844,1.1065137160785e-06,7.8350596163127e-05
"AKAP9",0.344719565055746,1.11376969523085e-06,7.84934446344581e-05
"GRIFIN",0.3444851220547,1.13384523811865e-06,7.96078709289624e-05
"ABCC11",0.344345156083927,1.1459947987551e-06,8.01595462979408e-05
"CEP63",0.344261176501463,1.15334407325919e-06,8.03725892245841e-05
"PIH1D1",0.343433627699266,1.2282117185129e-06,8.45778663832234e-05
"ERVW-1",0.343431878124631,1.22837480671718e-06,8.45778663832234e-05
"GHSR",0.343395137057303,1.23180443650872e-06,8.45778663832234e-05
"LYST",0.342933249353751,1.27570682227517e-06,8.6952921944566e-05
"RICTOR",0.342873763816172,1.28146826462124e-06,8.70280047638774e-05
"PPM1H",0.342390881217004,1.32916517229204e-06,8.99401766584282e-05
"RTL9",0.342119697148631,1.35668930410901e-06,9.1310991630688e-05
"IFT20",0.342095203103745,1.35920195295198e-06,9.1310991630688e-05
"HHAT",0.341804773714391,1.38933521308626e-06,9.3000804443007e-05
"CREBBP",0.341612320504577,1.409652951935e-06,9.40238518940648e-05
"TPGS2",0.341453109212823,1.4266751777242e-06,9.48205893920894e-05
"RRAGD",0.341225664510316,1.45133309678735e-06,9.56670958433578e-05
"INTS4",0.341194172166892,1.45477914004678e-06,9.56670958433578e-05
"PGRMC1",0.34104720789758,1.47096412436902e-06,9.63920210060203e-05
"GLRX3",0.340964977889751,1.48009478872774e-06,9.64032533842976e-05
"URB2",0.340952730867308,1.48145929113801e-06,9.64032533842976e-05
"MOB3A",0.34075502893359,1.50365295853879e-06,9.74519216589455e-05
"R3HDM1",0.340716538291628,1.50801056754312e-06,9.74519216589455e-05
"GK",0.340497841462294,1.53299923359677e-06,9.85015359203421e-05
"CDKL1",0.340410362730561,1.54310485407208e-06,9.85015359203421e-05
"KLF1",0.340350877192982,1.55001292893751e-06,9.85015359203421e-05
"TMEM47",0.340345628469078,1.55062387880599e-06,9.85015359203421e-05
"SPANXC",0.340174170154881,1.57070832529149e-06,9.94391480784539e-05
"CCDC173",0.339943226303105,1.59815323168487e-06,0.000100671728879614
"PIP5K1C",0.33988898948943,1.60466461088076e-06,0.000100671728879614
"GNPAT",0.339874992892353,1.60634906865094e-06,0.000100671728879614
"MMP13",0.339801510757697,1.61522016906793e-06,0.000100889136714089
"WIF1",0.339645798615212,1.63417307251055e-06,0.000101732721007357
"CDS1",0.339413105188801,1.66289162543359e-06,0.000102834980121184
"ENKD1",0.339283636665836,1.67907805566095e-06,0.000103493273160145
"PARG",0.339168164739948,1.69364123577815e-06,0.000104047512234845
