"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Activation Of NMDA Receptors And Postsynaptic Events R-HSA-442755",0.632160804020101,1,0.035090109926935,0.222701299759292,0.933860956473152,74,"CAMK1;NEFL;NBEA;CAMK2A;PPM1E;GRIA4;GRIN2D;CAMK2B;KIF17;RPS6KA6;KPNA2;RPS6KA2;ADCY1;PRKAG3;APBA1;LIN7C;PRKAB2;RPS6KA3;GRIA1;PRKAR1B;PRKAG2;GRIA3;GRIN3A;GPRIN1;MAPK3;NRAS;PRKACG;PPM1F;PRKAA2;MPP3;PRKCA;PRKAG1;CAMKK1;MAPK1;LIN7A;GRIN3B"
"Acyl Chain Remodelling Of PC R-HSA-1482788",0.428121720881427,1,0.0550211117163117,0.290323356134538,1.03775232837467,27,"PLA2G4B;PLA2G2D;PLA2G4D;PLA2G1B;PLA2G6;PLA2G4A;PLA2G10;PLA2R1;PLA2G2F;PLBD1;TMEM86B;PLA2G3;PLA2G2E;PLB1;PLA2G4F;LPCAT3;PLA2G4E;LPCAT2;PLA2G12A;PNPLA8;LPCAT1"
"Acyl Chain Remodelling Of PE R-HSA-1482839",0.252620545073375,1,0.0810802057550866,0.318771638936067,1.1515610478714,29,"PLA2G4B;PLAAT1;PLA2G2D;PLA2G4D;MBOAT1;PLA2G1B;PLA2G6;PLAAT4;PLA2G4A;PLA2G10;PLA2R1;PLA2G2F;PLBD1;PLA2G3;PLA2G2E;PLA2G4F;PLAAT2;LPCAT3"
"Acyl Chain Remodelling Of PG R-HSA-1482925",0.358635863586359,1,0.0656813601934011,0.33543932685301,1.0941182382379,18,"PLA2G4B;PLA2G2D;PLA2G4D;PLA2G1B;PLA2G4A;PLA2G10;PLA2R1;PLA2G2F;PLA2G3;PLA2G2E;PLA2G4F;CRLS1"
"Acyl Chain Remodelling Of PI R-HSA-1482922",0.372375690607735,1,0.0640703750499722,0.33737149804786,1.08588039635984,17,"PLA2G2D;PLA2G4D;PLA2G1B;PLA2G4A;PLA2G10;PLA2R1;PLA2G2F;PLBD1"
"Acyl Chain Remodelling Of PS R-HSA-1482801",0.409381663113006,1,0.0578529757032509,0.30338993919413,1.04169622259807,22,"PLA2G4B;PLA2G2D;PLA2G4D;MBOAT1;PLA2G1B;PLA2G4A;PLA2G10;PLA2R1;PLA2G2F;PLA2G2E;PLA2G4F;LPCAT3;PLA1A;OSBPL10;PLA2G4E;PLA2G12A;OSBPL5"
"Adherens Junctions Interactions R-HSA-418990",0.420335429769392,1,0.055826471778749,0.290186684237392,1.04829803333213,29,"CDH15;AFDN;CDH13;CDH9;CDH4;CDH12;CDH8;CDH6;NECTIN4;CDH18;CDH11;PVR;CDH2;NECTIN3;CADM3;CDH10;CADM1;CDH17;CDH24"
"Adrenaline,noradrenaline Inhibits Insulin Secretion R-HSA-400042",0.475991649269311,1,0.0498907356726307,0.279990794218772,1.00846588910183,28,"GNB4;GNG13;ADCY5;ADRA2C;GNG4;CACNA1C;GNGT2;CACNA2D2;GNG10;CACNB2;CACNA1D;CACNB3"
"Aflatoxin Activation And Detoxification R-HSA-5423646",0.460869565217391,1,0.0532386494755899,0.305783647870185,1.01535801559436,19,"AKR7A2;CYP3A5;CYP3A4;DPEP2;CYP1A2;DPEP3;MGST1;GGT6;GGT1;GGT7;DPEP1;GGT5;AKR7A3"
"Amino Acid Transport Across Plasma Membrane R-HSA-352230",1,1,0.00918593980608508,0.111877873297089,0.415428756371242,33,"SLC43A2;SLC7A6;SLC6A12;SLC43A1;SLC7A8;SLC36A2;SLC3A1;SLC38A5;SLC7A3;SLC7A9;SLC16A10;SLC6A18;SLC6A14;SLC6A19;SLC7A1"
"Amino Acids Regulate mTORC1 R-HSA-9639288",0.991878172588832,1,0.00715048391330487,0.119215848103444,0.479547326948978,54,"SESN1;RRAGD;ATP6V1G3;DEPDC5;ATP6V1B1;ATP6V1E2;RPTOR;NPRL2;ATP6V1C2;FLCN;SZT2;SLC38A9;ATP6V1D;MLST8;ATP6V0D2;ATP6V1A;LAMTOR3;ATP6V1H"
"Anchoring Of Basal Body To Plasma Membrane R-HSA-5620912",0.273547094188377,1,0.0745500777420554,0.258293726215667,1.11654291962271,96,"B9D1;MKS1;CEP63;SFI1;AKAP9;HAUS2;FBF1;TUBG1;RAB3IP;HAUS8;TMEM67;CEP290;CEP89;KIF24;CEP164;C2CD3;ACTR1A;CC2D2A;RPGRIP1L;NEDD1;CEP192;CEP83;DCTN2;HAUS3;TCTN1;IQCB1;CEP70;CETN2;CEP162;TCTN3;CKAP5;TTBK2"
"Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851",0.594,1,0.037770500132479,0.214227108932116,0.964800941404454,162,"PTHLH;ADORA2B;HTR6;ITPR1;RXFP2;GNB4;CRH;AVPR2;GIPR;INSL3;GLP2R;GNG13;GPR39;NPS;DPEP2;LHCGR;TSHB;MC5R;IAPP;MC1R;CALCA;ADCY5;NPSR1;GCG;GPR83;TAAR6;GNG4;ADAM17;ADCY9;GPHB5;HTR7;TAAR1;GPR150;PTH2R;RLN2;NLRP3;FSHB;GNGT2;MAPK14;GPR84;GNG10;LHB;GPHA2;RHBDF2;DRD1;ADCY1;TSHR;ADRB3;CYSLTR1;RAMP2;ADCY7;DPEP3;GHRHR;PTGER4;ADM2;GNAT3;CRHR2;PRKAR1B;CD247;ADRB2;MC2R;ADORA2A;SCT;ADCY2;PRKACG;CALCB;GPR25;PRKCA;RXFP1;LYN;PTRH2;CALCR;VIPR1;PLCG2;CALCRL;GNG2;GHRH;GPR45;GGT1;DPEP1;GGT5;RAMP1;TAAR8;HRH2;GPR15;PRKAR2A;TAAR9;IL10;GNG8;PTGER2;SCTR;CYSLTR2;RAMP3;FURIN;GPR32"
"Antigen Activates B Cell Receptor Leading To Second Messenger Generation R-HSA-983695",0.925809822361547,1,0.0164369248025913,0.174855942782041,0.639332168810843,31,"CD79A;ITPR1;DAPP1;ORAI2;VAV1"
"Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168",0.936063936063936,1,0.0119234526278759,0.175666095040497,0.818866510625693,303,"HERC6;RNF182;KLHL13;TRIM71;GAN;RNF111;TRIM4;RBCK1;FBXW10;UBR1;ASB2;NEDD4L;TRIM69;TRAF7;TRIM39;KLHL9;UBE2Q1;ASB13;UBE2L6;RNF41;FBXO17;FBXL18;FBXL16;UBE2G1;ASB15;TRIM37;ASB10;UBB;TRIM63;UBE2D4;KLHL3;PSMA6;FBXL13;UBR2;FBXO9;HECTD2;ASB6;TRAIP;FBXW9;SMURF1;KLHL42;FBXW8;ASB9;CBLL2;TRIM32;ATG7;KBTBD13;PSMC3;ASB4;SPSB4;RBBP6;FBXL22;UBE2Q2;ASB14;LRR1;MIB2;LONRF1;UNKL;CBLB;KLHL5;CDC23;ASB11;HERC3;PSMD5;TRIM21;UBE2U;PSMD9;LRSAM1;GLMN;ASB12;WWP1;KLHL11;RNF114;ANAPC2;FBXL12;FBXO27;RNF25;CUL2;TRIM11;KLHL25;NEDD4;CUL3;LMO7;FBXL7;PSMA8;BTRC;ASB16;CUL7;UBE2R2;UBE3D;UBE2A;LNPEP;SPSB2;RNF126;ZNRF1;RNF144B"
"Antiviral Mechanism By IFN-stimulated Genes R-HSA-1169410",0.947633434038268,1,0.0115202567953401,0.156119300855212,0.658322901648258,80,"NDC1;TRIM25;UBE2L6;PDE12;UBB;NUP58;OASL;KPNA7;NUP155;KPNA4;EIF4E3;NUP85;ISG15;NUP160;KPNA2;EIF2AK2;RNASE7;OAS1;NEDD4;KPNA5;NUP88;NUP205;OAS2;NUP107;RNASEL;NUP42;SGIP1;NUP153"
"Apoptosis R-HSA-109581",0.988011988011988,1,0.00502537209391229,0.145987464667941,0.661471588637423,176,"CASP3;GSDME;DFFB;TP53BP2;BID;OMA1;BBC3;TJP1;TLR4;BAK1;H1-5;TANK;DCC;UBB;DSG2;PSMA6;H1-3;PPP1R13B;UNC5B;PSMC3;TP73;DSG3;CASP9;PKP1;AVEN;CASP7;PSMD5;PSMD9;CDKN2A;FASLG;BAD;UACA;DSPP;TP53;AKT3;LMNB1;CASP6;CASP8;GAS2;APAF1;BMX;H1-1;BAX;GSDMD;ARHGAP10;PSMA8;RIPK1;OCLN"
"Apoptotic Cleavage Of Cellular Proteins R-HSA-111465",0.474768280123584,1,0.0493910105981501,0.265988476584016,1.01307365318723,38,"CASP3;TJP1;DSG2;DSG3;PKP1;CASP7;DSPP;LMNB1;CASP6;CASP8;GAS2;BMX;OCLN;ACIN1"
"Apoptotic Execution Phase R-HSA-75153",0.720977596741344,1,0.0293519190331994,0.215135209287484,0.857644092204091,52,"CASP3;DFFB;TJP1;H1-5;DSG2;H1-3;DSG3;PKP1;CASP7;DSPP;LMNB1;CASP6;CASP8;GAS2;BMX;H1-1;OCLN;ACIN1"
"Aquaporin-mediated Transport R-HSA-445717",0.492842535787321,1,0.0473534245254193,0.254296372171943,1.00653865188234,49,"AQP3;GNB4;AVPR2;GNG13;AQP5;MYO5B;ADCY5;MINDY4;AQP8;GNG4;ADCY9;RAB11FIP2;NLRP3;GNGT2;GNG10;ADCY1;ADCY7;PRKAR1B;ADCY2;AQP9;PRKACG;PRKCA"
