"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Neuronal System R-HSA-112316",2.49387180645713e-34,2.91034839813547e-31,1.52292160289117,0.589633710157055,2.72910383168401,386,"SYT1;NRGN;SNAP25;TSPAN7;RAB3A;PRKAR1B;STXBP1;SYN2;GRIA2;CAMK2A;SYN1;NPTN;GNB1;CALM1;GABBR2;CAMK2G;GABRB2;PRKCB;KCNAB2;NEFL;VAMP2;ADCY1;SLC1A2;SLC17A7;AP2M1;MAPT;PLCB1;NSF;EPB41L1;STX1A;HSPA8;DLGAP1;GABRA1;GIT1;RTN3;CPLX1;NRXN1;NRXN2;GLUL;MAPK1;KCNC2;GABRA2;CAMK2B;AP2A1;GRIA1;GABRB3;SLC1A3;DLGAP4;CAMKK2;PRKAR2B;SHANK1;CACNB3;CAMK2D;GNG2;KCNQ2;PRKCG;CACNA1B;CACNA2D1;GRIN2B;GLRB;KCNC1;CAMKK1;HCN1;TSPOAP1;GABRG2;GNG3;AP2S1;AP2B1;DLGAP3;ARHGEF9;PRKAR1A;SYT7;CACNA1E;HCN2;PRKCA;ADCY2;ABAT;PTPRS;LRRC4B;APBA1;GABRA4;CACNB1;SHANK3;FLOT1;GABRA3;PRKACB;GABRA5;HOMER1;ARL6IP5;CACNB4;GRIA4;GPRIN1;GRM5;RASGRF2;GAD1;KCNB1;KCNQ5;ARHGEF7;PPFIBP1;KCNA2;GNB2;KCNN1;CACNA2D3;KCNMA1;NLGN2;GNG7;MAPK3;ALDH2;APBA2;KCNV1;SYN3;CACNG3;KCNQ3;GABRB1;SIPA1L1;KCND3;GNB5;SLITRK5;LRRTM4;SLITRK2;NLGN4X;PPFIA2;GRIK5;NTRK3;SLITRK4;DNAJC5;PPFIA4;RASGRF1;CACNB2;NRXN3;SLC6A1;RIMS1;SLITRK1;CACNA1A;CHRNA4;SLITRK3;CHRNB2;KCNMB4;KCNK1"
"Expression And Translocation Of Olfactory Receptors R-HSA-9752946",2.4750389757819e-33,1.44418524236874e-30,1.50238688881415,-0.538837474566659,-2.7810139891181,373,"OR2A14;OR4Q3;OR9G4;OR5V1;OR9Q2;OR4F15;OR5D16;OR7D4;OR10AD1;OR7C1;RTP2;OR2B11;OR4N5;OR2A4;OR10T2;OR1K1;OR9Q1;OR2H2;OR2A1;OR4F21;OR2M5;OR2T8;OR7C2;OR10G4;OR6C74;OR10J5;OR4D9;OR4X1;OR1D5;OR2T34;OR4A47;OR5L1;OR4L1;OR5A1;OR7D2;OR14A2;OR4X2;OR2F1;OR2J3;OR4K5;OR10H3;OR4D11;OR4C16;OR8G1;OR5W2;OR2T27;EBF1;OR8H1;OR8K3;OR4C46;OR6F1;OR5B17;OR14A16;OR10D3;OR4C15;OR6P1;OR4A5;OR2J2;OR4N2;OR10A7;OR13C9;OR6T1;OR52M1;OR2G6;OR1I1;OR2V1;OR10A6;OR56A5;OR52E4;OR10K2;OR2T11;OR2A2;OR5B21;OR1C1;OR2AJ1;OR7E24;OR14J1;OR1A2;OR4C5;OR2S2;OR5H15;OR56A1;OR1A1;OR6S1;OR10H2;OR14K1;OR5AS1;OR4F6;OR4F17;OR1L3;OR5H2;OR4S1;OR4K14;OR1F1;OR2AP1;OR1E1;OR51Q1;OR5F1;OR2Z1;OR8B4;OR10AC1;OR52D1;OR13F1;OR2T5;OR51S1;OR11H1;OR10H5;OR52J3;OR1M1;OR2G2;OR9A2;OR10K1;OR1J1;OR5AK2;OR51B2;OR6K2;OR11G2;OR51F2;OR52A1;OR2T1;OR52E2;OR51G2;OR6C3;OR7G1;OR13D1;OR10A3;OR4D2;OR11L1;OR52K1;OR1S2;OR2T12;RTP1;OR4E1;OR3A2;OR12D2;OR4N4;OR5B3;OR52H1;OR4B1;OR5T2;OR1N1;OR10S1;OR5AP2;OR51E2;OR10A4;OR13C8;OR8A1;OR5A2;OR6N2;OR10G7;OR5M11;OR4C3;OR10X1;OR2L5;OR1B1;OR1L4;OR11H6;OR4C13;OR6Y1;OR2T10;OR5AU1;OR2A7;OR2T35;OR6C76;OR51L1;OR10Z1;OR5M8;OR6C70;OR5M10;OR52E6;OR52N5;OR8B2;OR11A1;OR56B1;OR5T1;OR4D10;OR51I1;OR10G9;OR6N1;OR8D4;OR8B8;OR4D5;OR5H14;OR9G9;OR2C1;OR13C4;OR51F1;OR1L8;OR51T1;OR10G6;OR13G1;OR7G2;OR51D1;OR6C4;OR52E1;OR14C36;OR8S1;OR6Q1;OR8B12;OR10A2;OR1L1;OR51A7;OR5L2;OR51E1;OR5D18;OR13C2;OR6C6;OR4A16;OR4D6;OR4K1;OR4K15;OR56B4"
"Olfactory Signaling Pathway R-HSA-381753",1.41752439693876e-32,5.51416990409177e-30,1.48156758833633,-0.526810350516053,-2.73530577017877,381,"OR2A14;OR4Q3;OR9G4;OR5V1;OR9Q2;OR4F15;OR5D16;OR7D4;ANO2;OR10AD1;OR7C1;RTP2;OR2B11;OR4N5;OR2A4;OR10T2;OR1K1;OR9Q1;OR2H2;OR2A1;OR4F21;OR2M5;OR2T8;OR7C2;OR10G4;OR6C74;OR10J5;OR4D9;OR4X1;OR1D5;OR2T34;OR4A47;OR5L1;OR4L1;OR5A1;OR7D2;OR14A2;OR4X2;OR2F1;OR2J3;OR4K5;OR10H3;OR4D11;OR4C16;OR8G1;OR5W2;OR2T27;EBF1;OR8H1;OR8K3;OR4C46;OR6F1;OR5B17;OR14A16;OR10D3;OR4C15;OR6P1;OR4A5;OR2J2;OR4N2;OR10A7;OR13C9;OR6T1;OR52M1;OR2G6;OR1I1;OR2V1;OR10A6;OR56A5;OR52E4;OR10K2;OR2T11;OR2A2;OR5B21;OR1C1;OR2AJ1;OR7E24;OR14J1;OR1A2;OR4C5;OR2S2;OR5H15;OR56A1;OR1A1;OR6S1;OR10H2;OR14K1;OR5AS1;OR4F6;OR4F17;OR1L3;OR5H2;OR4S1;OR4K14;OR1F1;OR2AP1;OR1E1;OR51Q1;OR5F1;OR2Z1;OR8B4;OR10AC1;OR52D1;OR13F1;OR2T5;OR51S1;OR11H1;OR10H5;OR52J3;OR1M1;OR2G2;OR9A2;OR10K1;OR1J1;OR5AK2;OR51B2;OR6K2;OR11G2;OR51F2;OR52A1;OR2T1;OR52E2;OR51G2;OR6C3;OR7G1;OR13D1;OR10A3;OR4D2;OR11L1;OR52K1;OR1S2;OR2T12;RTP1;OR4E1;OR3A2;OR12D2;OR4N4;OR5B3;OR52H1;OR4B1;OR5T2;OR1N1;OR10S1;OR5AP2;OR51E2;OR10A4;OR13C8;OR8A1;OR5A2;OR6N2;OR10G7;CNGA4;OR5M11;OR4C3;OR10X1;OR2L5;OR1B1;OR1L4;OR11H6;OR4C13;OR6Y1;OR2T10;OR5AU1;OR2A7;OR2T35;OR6C76;OR51L1;OR10Z1;OR5M8;OR6C70;OR5M10;OR52E6;OR52N5;OR8B2;OR11A1;OR56B1;OR5T1;OR4D10;OR51I1;OR10G9;OR6N1;OR8D4;OR8B8;OR4D5;OR5H14;OR9G9;OR2C1;OR13C4;OR51F1;OR1L8;OR51T1;OR10G6;OR13G1;OR7G2;OR51D1;OR6C4;OR52E1;OR14C36;OR8S1;OR6Q1;OR8B12;OR10A2;OR1L1;OR51A7;OR5L2;OR51E1;OR5D18;OR13C2;OR6C6;OR4A16;OR4D6;OR4K1;OR4K15;OR56B4"
"Transmission Across Chemical Synapses R-HSA-112315",1.60028100706669e-30,4.66881983811708e-28,1.43181244608859,0.639439958000498,2.84531784523625,246,"SYT1;NRGN;SNAP25;TSPAN7;RAB3A;PRKAR1B;STXBP1;SYN2;GRIA2;CAMK2A;SYN1;NPTN;GNB1;CALM1;GABBR2;CAMK2G;GABRB2;PRKCB;NEFL;VAMP2;ADCY1;SLC1A2;SLC17A7;AP2M1;MAPT;PLCB1;NSF;EPB41L1;STX1A;HSPA8;GABRA1;GIT1;CPLX1;GLUL;MAPK1;GABRA2;CAMK2B;AP2A1;GRIA1;GABRB3;SLC1A3;CAMKK2;PRKAR2B;CACNB3;CAMK2D;GNG2;PRKCG;CACNA1B;CACNA2D1;GRIN2B;GLRB;CAMKK1;TSPOAP1;GABRG2;GNG3;AP2S1;AP2B1;ARHGEF9;PRKAR1A;CACNA1E;PRKCA;ADCY2;ABAT;APBA1;GABRA4;CACNB1;GABRA3;PRKACB;GABRA5;ARL6IP5;CACNB4;GRIA4;GPRIN1;RASGRF2;GAD1;ARHGEF7;GNB2;CACNA2D3;GNG7;MAPK3;ALDH2;SYN3;CACNG3;GABRB1;GNB5;PPFIA2;GRIK5;DNAJC5;PPFIA4;RASGRF1;CACNB2;SLC6A1;RIMS1"
"Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517",2.32309720088768e-23,5.42210886687185e-21,1.25451347943706,0.659201954876451,2.77788235800422,159,"ATP5F1B;LDHB;BSG;NDUFS5;COX4I1;COX6A1;COX6B1;NDUFB8;ATP5MF;COX6C;ATP5F1A;ATP5MC3;ACO2;CYCS;NDUFA1;ATP5F1D;VDAC1;NDUFAB1;COX5B;UQCRC2;COX8A;COX5A;ATP5PD;MDH2;COX7C;NDUFA5;ATP5PF;NDUFB10;UQCR11;COX7A2L;NDUFA13;NDUFA8;ATP5PB;CCNI;COX7B;NDUFS8;NDUFB9;COA1;UQCRQ;NDUFB2;NDUFB3;NDUFA2;ATP5ME;ATP5PO;PDK2;SDHB;NDUFB4;UQCRB;NDUFS3;SDHA;IDH3G;CS;LDHA;PDHB;NDUFAF4;UQCRC1;NDUFS2;IDH3A;NDUFC1;NDUFB6;NNT;ATP5F1C;SUCLG1;UQCRFS1;NDUFB5;NDUFA9;SLC25A27;NDUFV1;GLO1;UQCR10;PDHA1;TRAP1;NDUFV3;NDUFS4;ATP5MC2;NDUFV2;NDUFB1;PDK3;LRPPRC"
"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",4.31827003993897e-22,8.3990352276813e-20,1.21254456769062,0.717065995058653,2.87091324809859,111,"ATP5F1B;NDUFS5;COX4I1;COX6A1;COX6B1;NDUFB8;ATP5MF;COX6C;ATP5F1A;ATP5MC3;CYCS;NDUFA1;ATP5F1D;NDUFAB1;COX5B;UQCRC2;COX8A;COX5A;ATP5PD;COX7C;NDUFA5;ATP5PF;NDUFB10;UQCR11;COX7A2L;NDUFA13;NDUFA8;ATP5PB;CCNI;COX7B;NDUFS8;NDUFB9;COA1;UQCRQ;NDUFB2;NDUFB3;NDUFA2;ATP5ME;ATP5PO;SDHB;NDUFB4;UQCRB;NDUFS3;SDHA;NDUFAF4;UQCRC1;NDUFS2;NDUFC1;NDUFB6;ATP5F1C;UQCRFS1;NDUFB5;NDUFA9;SLC25A27;NDUFV1;UQCR10;TRAP1;NDUFV3;NDUFS4;ATP5MC2;NDUFV2;NDUFB1;LRPPRC"
"Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314",1.10632174609022e-19,1.84439639669613e-17,1.14219120216838,0.609952097701293,2.6167864943803,182,"NRGN;TSPAN7;PRKAR1B;GRIA2;CAMK2A;NPTN;GNB1;CALM1;GABBR2;CAMK2G;GABRB2;PRKCB;NEFL;ADCY1;AP2M1;MAPT;PLCB1;NSF;EPB41L1;GABRA1;GIT1;MAPK1;GABRA2;CAMK2B;AP2A1;GRIA1;GABRB3;CAMKK2;PRKAR2B;CAMK2D;GNG2;PRKCG;GRIN2B;GLRB;CAMKK1;GABRG2;GNG3;AP2S1;AP2B1;ARHGEF9;PRKAR1A;PRKCA;ADCY2;APBA1;GABRA4;GABRA3;PRKACB;GABRA5;GRIA4;GPRIN1;RASGRF2;ARHGEF7;GNB2;GNG7;MAPK3;CACNG3;GABRB1;GNB5"
"Respiratory Electron Transport R-HSA-611105",1.14170635023391e-17,1.66546413840371e-15,1.0864405425825,0.719987203237863,2.75714210167927,89,"NDUFS5;COX4I1;COX6A1;COX6B1;NDUFB8;COX6C;CYCS;NDUFA1;NDUFAB1;COX5B;UQCRC2;COX8A;COX5A;COX7C;NDUFA5;NDUFB10;UQCR11;COX7A2L;NDUFA13;NDUFA8;CCNI;COX7B;NDUFS8;NDUFB9;COA1;UQCRQ;NDUFB2;NDUFB3;NDUFA2;SDHB;NDUFB4;UQCRB;NDUFS3;SDHA;NDUFAF4;UQCRC1;NDUFS2;NDUFC1;NDUFB6;UQCRFS1;NDUFB5;NDUFA9;NDUFV1;UQCR10;TRAP1;NDUFV3;NDUFS4;NDUFV2;NDUFB1;LRPPRC;NDUFA11"
"Keratinization R-HSA-6805567",1.41471092179524e-16,1.83440849526116e-14,1.04762648849882,-0.524118992052353,-2.49877970766176,192,"KRTAP12-3;KRTAP10-3;KRTAP9-2;KRTAP21-1;KRTAP10-1;KRTAP5-1;LCE1D;KRTAP19-1;KRT34;KRTAP10-2;KRTAP12-2;KRT18;PCSK6;PI3;PKP4;LCE5A;KRT12;KRT72;KRTAP9-6;KRT36;KRTAP12-4;KRT75;KRTAP10-7;KRT16;KRTAP10-6;KRT8;KLK14;SPINK6;KRT28;KRTAP29-1;KRTAP8-1;KRT38;KRT6A;KRTAP6-2;FLG;LCE4A;KRT80;KRT10;KRTAP2-3;KRTAP22-1;KRTAP23-1;LCE2A;KRTAP10-12;KRTAP9-3;ST14;SPRR2A;KRTAP20-1;KRT24;KRTAP5-10;LORICRIN;LCE3D;KRTAP3-1;DSC3;KRTAP9-4;SPINK5;KRTAP5-7;KRTAP9-1;LIPN;JUP;KRT76;KRT84;KRT33B;CELA2A;KRT83;TGM1;KRTAP4-4;LCE3A;SPRR2F;KRT20;PERP;LCE3E;KRT85;KRTAP13-1;KRT39;KRTAP11-1;KRT31;KRTAP5-2;KRT77;KRTAP13-3;KRT19;KRTAP19-3;LCE1A"
"Activation Of NMDA Receptors And Postsynaptic Events R-HSA-442755",1.80537198840817e-15,2.10686911047233e-13,1.00731795687447,0.724517245254628,2.68006703739283,74,"NRGN;PRKAR1B;GRIA2;CAMK2A;CALM1;CAMK2G;NEFL;ADCY1;MAPT;GIT1;MAPK1;CAMK2B;GRIA1;CAMKK2;PRKAR2B;CAMK2D;GRIN2B;CAMKK1;PRKAR1A;PRKCA;APBA1;PRKACB;GRIA4;GPRIN1;RASGRF2;ARHGEF7;MAPK3"
