"gene","statistic","p.value","p_adj"
"DIRAS2",0.687856639854435,5.79567623448514e-28,1.08240049355244e-23
"FBXL16",0.646801121477341,6.73712414815587e-24,6.29112652954795e-20
"RAB6B",0.637085733531035,5.0245242755468e-23,3.1279338456704e-19
"NCS1",0.62978475858057,2.17084010107764e-22,1.01356524319315e-18
"SLC8A1",0.624745983632729,5.82769150040159e-22,2.17675932923e-18
"ENC1",0.621750711858179,1.03934688359525e-21,3.2351403996708e-18
"BSCL2",0.613606441933805,4.85815609102614e-21,1.29615604508577e-17
"LMO3",0.611806129634732,6.79058787006031e-21,1.58526273826558e-17
"CAMK2A",0.610605921435351,8.47910438093633e-21,1.75950837131519e-17
"NRGN",0.605633630323627,2.10652870667479e-20,3.93415301258585e-17
"PSD",0.604678362573099,2.50441275346549e-20,4.25203750761105e-17
"FXYD7",0.599735814230165,6.07399786280809e-20,9.45316534048366e-17
"AMPH",0.599072725443626,6.83266953633966e-20,9.81591817389842e-17
"SYN2",0.598253924514602,7.89853576550949e-20,1.05366467111897e-16
"PRKAR1B",0.595905995354879,1.19421223570892e-19,1.48687384760666e-16
"IDS",0.595076696978047,1.38084261993926e-19,1.6117885481241e-16
"SEPTIN3",0.594352373079295,1.56702426990497e-19,1.72151442733796e-16
"RTN1",0.591255625975935,2.68149753889223e-19,2.78220266868618e-16
"ADCY1",0.590002930537513,3.32693313608971e-19,3.27020017103218e-16
"SLC8A2",0.588062652267667,4.63793675675022e-19,4.33090534345336e-16
"KCNAB2",0.587198362398142,5.37382918387911e-19,4.77912542086316e-16
"SYT1",0.584472525117331,8.52625673238668e-19,7.23801685154789e-16
"DLG4",0.581657459530152,1.36720571089017e-18,1.11017103724282e-15
"NELL2",0.581232312893928,1.46768811905694e-18,1.14210597131281e-15
"DMTN",0.579652446998823,1.90851576524826e-18,1.42573761727106e-15
"CAMK2B",0.573100289991996,5.58767343646164e-18,4.01366881151375e-15
"NEFL",0.571174008319227,7.62818822421671e-18,5.27644604723968e-15
"FAM171B",0.568621378927248,1.14872136590799e-17,7.66197151060628e-15
"PHACTR1",0.567277705607824,1.4229426474351e-17,9.16375064948205e-15
"LY6H",0.563731317823354,2.49203842240481e-17,1.55137698589441e-14
"PHYHIP",0.563432140560826,2.61187625904786e-17,1.57352906496703e-14
"SNCB",0.558671547979897,5.47999796940659e-17,3.19826381489492e-14
"HPCAL4",0.556701526941262,7.42096302077027e-17,4.19981531442138e-14
"DNM1",0.555228385098873,9.29739036108812e-17,5.10700183481417e-14
"SLC17A7",0.552735241244472,1.35816442171454e-16,7.24716535426877e-14
"RAP1GAP",0.55127609599916,1.69296166917865e-16,8.5453384144812e-14
"RGS4",0.550558770398947,1.88590863454905e-16,9.26874464706263e-14
"RASD1",0.549496778595704,2.21162078434273e-16,1.05908281457397e-13
"THY1",0.548387548277325,2.61046100666031e-16,1.2188242440097e-13
"ATRNL1",0.548013139305506,2.76033785186608e-16,1.25736755418173e-13
"OLFM1",0.54618133466301,3.62365546269893e-16,1.61131879574679e-13
"CABP1",0.544115087019468,4.9158194174986e-16,2.13506612653962e-13
"SLC12A5",0.543807161883767,5.14347396514794e-16,2.13740166893023e-13
"CADM3",0.536784369300214,1.42641096824528e-15,5.79122853107583e-13
"EHD3",0.535643646638411,1.67970276512826e-15,6.67449549819902e-13
"NCDN",0.534901826993312,1.86746665306961e-15,7.26600150265167e-13
"CAMK2G",0.534264981826293,2.04489533124569e-15,7.7939724910907e-13
"TMEM130",0.534000796056459,2.12323877930952e-15,7.93072148847693e-13
"CNKSR2",0.532660621886304,2.56807718694635e-15,9.24164810544829e-13
"PACSIN1",0.532646625289226,2.57317252882475e-15,9.24164810544829e-13
"CHGA",0.532473417400394,2.63705039786562e-15,9.29236853406385e-13
"YWHAG",0.531663364344544,2.95694394313917e-15,1.0226645385568e-12
"GABRB2",0.531030018326794,3.23316800760777e-15,1.09786628563787e-12
"FUT9",0.530020513762591,3.72633348583574e-15,1.24273221752622e-12
"SEPTIN5",0.529623360320522,3.93986107749005e-15,1.29089202602113e-12
"PRKCB",0.529157973467701,4.20530419599046e-15,1.35410795110893e-12
"BAIAP3",0.525818035490121,6.69496964404136e-15,2.1192415774935e-12
"CAMKV",0.525291413525087,7.20093878359516e-15,2.17068283996479e-12
"CHN1",0.525286164801183,7.20616492170791e-15,2.17068283996479e-12
"STMN2",0.525286164801183,7.20616492170791e-15,2.17068283996479e-12
"MICAL2",0.525114706486985,7.37893641090815e-15,2.18744470492255e-12
"CEND1",0.523363382277684,9.39210804832887e-15,2.74073452985297e-12
"BEX1",0.522852506484361,1.00742285880242e-14,2.89455835553755e-12
"RUNDC3A",0.522079194495838,1.11996629329762e-14,3.16916522630701e-12
"RIMS3",0.52193747895043,1.14188117518729e-14,3.18295116832804e-12
"SPTBN2",0.521610308493747,1.19408547232514e-14,3.27952062958005e-12
"PLD3",0.51915215613204,1.66816638609166e-14,4.51517035168808e-12
"PPP3R1",0.51607815349893,2.52454793215894e-14,6.73549388300005e-12
"SHANK1",0.515689747930034,2.65944667043857e-14,6.9954684531142e-12
"ATP2B1",0.515506042593394,2.72567515071628e-14,7.07009848816351e-12
"NPTX1",0.514591015059464,3.08027236404174e-14,7.80485951914027e-12
"PDZD4",0.514561272290674,3.09252304784954e-14,7.80485951914027e-12
"TMEM59L",0.513581510495261,3.52374237486845e-14,8.7745883457391e-12
"MAP2",0.513196604075634,3.70873710275138e-14,9.11373343828746e-12
"TUBA4A",0.512293823564146,4.18058384503261e-14,1.01398160895882e-11
"DKK3",0.510862671512988,5.05096695037401e-14,1.20938280468186e-11
"PI4KA",0.508708945137713,6.70287610774314e-14,1.58459385048368e-11
"BSN",0.508084346993137,7.27340902519908e-14,1.69797733693272e-11
"PTPRU",0.506962869652316,8.41891471818251e-14,1.94113149724416e-11
"NAPB",0.506572714508785,8.85725694069024e-14,2.01729427590647e-11
"MAST1",0.5054984756831,1.01823323835393e-13,2.29114746499977e-11
"CALM1",0.505379504607942,1.03404604748587e-13,2.29902904557693e-11
"PDXP",0.504852882642907,1.10696365423548e-13,2.40554492290205e-11
"VSNL1",0.504847633919003,1.10771505338175e-13,2.40554492290205e-11
"L1CAM",0.504611441343323,1.14204748617718e-13,2.45159527032701e-11
"STXBP1",0.503544200816176,1.3105544050688e-13,2.78135387148464e-11
"PCSK1N",0.503430478464923,1.32987810991829e-13,2.79065208773415e-11
"KIF3C",0.503096309709702,1.3882809881964e-13,2.88083730395066e-11
"SHC3",0.50294934544039,1.41475055401119e-13,2.89983500500289e-11
"CADPS",0.502874113731099,1.42849015024773e-13,2.89983500500289e-11
"GRIN1",0.501051056961776,1.80416657656824e-13,3.62307687999876e-11
"TSPYL1",0.50011153538296,2.03375554807309e-13,4.04068283146946e-11
"TESPA1",0.499618155335984,2.16547902077809e-13,4.2324760291626e-11
"ABR",0.499581414268656,2.17561415077966e-13,4.2324760291626e-11
"SLC1A2",0.499479938939845,2.20384712932459e-13,4.24320092652227e-11
"TSPAN7",0.499339972969072,2.24337567519234e-13,4.27523307243797e-11
"LZTS3",0.497737362603717,2.74822328285906e-13,5.18442606370462e-11
"CYFIP2",0.497034033600581,3.00326088859397e-13,5.60889003553811e-11
"MAPK8IP1",0.496892318055173,3.05737089148435e-13,5.65341175934275e-11
"CA11",0.496258972037423,3.31102851754136e-13,6.06242829349043e-11
