"gene","statistic","p.value","p_adj"
"SPANXC",0.446166900672274,1.10707200289515e-10,3.82882902334626e-08
"OR2L5",0.444924702681661,1.2638884622027e-10,4.215068021446e-08
"PPP1R3B",0.442202364550119,1.68649798860187e-10,5.24950607252142e-08
"MRGPRX1",0.435825165006758,3.28207141687817e-10,9.01411261494362e-08
"ZNF81",0.435170824093392,3.51139658440219e-10,9.36840608718503e-08
"SYCN",0.433781661833467,4.05083402459545e-10,1.05641686478167e-07
"MST1",0.433729174594427,4.07271440695439e-10,1.05641686478167e-07
"IL32",0.432383751700368,4.67430430777463e-10,1.17969334124323e-07
"SYNDIG1",0.430922856880421,5.42486364195695e-10,1.29668745538557e-07
"PRF1",0.429846868480101,6.0509670563458e-10,1.39515877462116e-07
"CTRB1",0.429503951851706,6.26480628446222e-10,1.41374520587623e-07
"PITX3",0.429356987582394,6.35867408939832e-10,1.41374520587623e-07
"OR10Z1",0.427848854247311,7.40403967934328e-10,1.55368365226309e-07
"KRTAP15-1",0.423980544730062,1.09027986032935e-09,2.18946953457108e-07
"ASF1B",0.422771588657508,1.22922165049922e-09,2.41652037312878e-07
"BIK",0.422143491363662,1.3080154013085e-09,2.54463496196224e-07
"C22orf15",0.415311402415288,2.55011086299424e-09,4.53579718831243e-07
"SLC25A47",0.414132189111522,2.85726050295104e-09,4.89561441771685e-07
"FOSL1",0.414132189111522,2.85726050295104e-09,4.89561441771685e-07
"NOTUM",0.411572561421004,3.65176600344183e-09,6.08931981073926e-07
"ULBP1",0.410844738372983,3.91415282053427e-09,6.39908068052804e-07
"DEFB119",0.410774755387596,3.94032061608869e-09,6.39908068052804e-07
"PTGFRN",0.41004518276494,4.2233748752153e-09,6.74151702303598e-07
"FOXE1",0.409446828239884,4.47007789287827e-09,7.01539283423484e-07
"BAAT",0.408304356003447,4.98031217793276e-09,7.75102585292268e-07
"GOLGA6L6",0.408012177039457,5.11956655903898e-09,7.7824028907971e-07
"NMRK2",0.407153135893836,5.55110260368931e-09,8.36067679245981e-07
"INSL3",0.406698246488822,5.7936196032307e-09,8.56733314840823e-07
"CTSE",0.406530287323894,5.88572311942927e-09,8.56733314840823e-07
"POPDC2",0.406399069226294,5.95866043578363e-09,8.56733314840823e-07
"ZNF480",0.404952171003425,6.82299507903256e-09,9.50942209671732e-07
"TNNI1",0.404694983532129,6.98879285128488e-09,9.66834779930343e-07
"AVIL",0.403748463654774,7.63309528370503e-09,1.02558048574443e-06
"LRP2",0.403311069996107,7.94983912706454e-09,1.06050853955041e-06
"AP4B1",0.402551754604662,8.53004963698423e-09,1.12510540418187e-06
"CCDC88C",0.402093366050379,8.89986017223215e-09,1.15426242067089e-06
"FCF1",0.401979643699126,8.99397335460219e-09,1.15842376807276e-06
"ARHGEF19",0.401867670922507,9.08757588174971e-09,1.16246278881889e-06
"VWA1",0.400529246326987,1.02817287870596e-08,1.2632997817574e-06
"HOXD1",0.400272058855691,1.05279082008258e-08,1.28509289907596e-06
"C1R",0.399916895204853,1.08772302917864e-08,1.31060098664131e-06
"PHOX2B",0.399759433487733,1.10356527981709e-08,1.32116571576051e-06
"UGT2B10",0.399000118096288,1.18313496727386e-08,1.4074030986501e-06
"TMEM82",0.398590717631776,1.2283023977537e-08,1.45188453040811e-06
"CFI",0.39791363224816,1.3066723763548e-08,1.53480586797499e-06
"CCL26",0.39751997795536,1.35442870923435e-08,1.57992815374336e-06
"HLA-DOB",0.397458742843146,1.36200702908911e-08,1.57992815374336e-06
"TMEM202",0.396384504017461,1.50179038492891e-08,1.72070167048665e-06
"NPW",0.396052084836874,1.54777755758939e-08,1.75189658579027e-06
"GATA6",0.395369750729354,1.64646024182207e-08,1.85236695640175e-06
"PDZD9",0.39520704028833,1.67087221588762e-08,1.86857541939624e-06
"LILRB3",0.395117811981962,1.68440707844703e-08,1.87249920220695e-06
"OR2T5",0.394594689166196,1.76590857121089e-08,1.95148570863519e-06
"SRPX2",0.394250022963167,1.82166868418808e-08,2.00126378505274e-06
"LSP1",0.392958836882783,2.04602208980741e-08,2.2345911432306e-06
"MOB3A",0.392666657918793,2.10036359410606e-08,2.28060409787935e-06
"RSPH10B2",0.392321991715764,2.16625464655863e-08,2.32511332063959e-06
"ZGRF1",0.391793620176095,2.27114502039571e-08,2.39113047093204e-06
"ZNF79",0.391755129534132,2.27897421196136e-08,2.39113047093204e-06
"ALG1L2",0.391287993106676,2.37608794927636e-08,2.4653232522603e-06
"OR9A2",0.391128781814921,2.41008783246616e-08,2.48678455022862e-06
"RTKN2",0.390992314993417,2.4396029469927e-08,2.50340794714482e-06
"OR3A1",0.390878592642164,2.4644644034337e-08,2.51510039336218e-06
"NEU2",0.390815607955316,2.47833859044197e-08,2.51551366929859e-06
"CDNF",0.39005979171314,2.65080575902317e-08,2.65135254996845e-06
"ACSM2B",0.390014302772638,2.66154619856519e-08,2.65135254996845e-06
"OR7G2",0.389923324891636,2.68315288040285e-08,2.65135254996845e-06
"ZFP14",0.389799105092574,2.71292711734399e-08,2.66666457071138e-06
"ZNF98",0.38971512551011,2.73323607889671e-08,2.67256109997251e-06
"C16orf95",0.389345965262196,2.82425948028423e-08,2.74101516521959e-06
"TMEM238",0.389312723344137,2.83259759524191e-08,2.74101516521959e-06
"KLHL42",0.388779103080564,2.96973344895706e-08,2.85483396763883e-06
"CARD17",0.388737113289332,2.98079151686427e-08,2.85483396763883e-06
"C10orf99",0.388457181347785,3.05553109136238e-08,2.91148462562672e-06
"UNC45B",0.388355706018974,3.08306695778789e-08,2.9125491695659e-06
"LRRC26",0.388338210272627,3.08783859270747e-08,2.9125491695659e-06
"TMEM140",0.38819299557795,3.12771838263427e-08,2.93534012633555e-06
"KLHDC8B",0.387962051726174,3.19216444821798e-08,2.96601309626463e-06
"RNASE7",0.387801090859785,3.23783500984918e-08,2.99355478435362e-06
"POTEG",0.387206235483998,3.41213484840189e-08,3.12377600140949e-06
"LDHAL6B",0.387036526744435,3.46349429925829e-08,3.15532778209501e-06
"KLRG2",0.38656589116771,3.60984518963078e-08,3.2726926583274e-06
"SIX5",0.385999028986078,3.79402551886034e-08,3.42305413479399e-06
"SPDYE5",0.385652613208414,3.91099506276376e-08,3.49482027713761e-06
"ASCL4",0.385418170207368,3.99211614930191e-08,3.5503219621125e-06
"THEGL",0.384746333547656,4.23364644977284e-08,3.72960288188479e-06
"OR5H15",0.384632611196403,4.27589728820141e-08,3.74913886171125e-06
"DCUN1D3",0.383752575155165,4.6168461289826e-08,4.02916907966724e-06
"IL1RL2",0.383519881728755,4.71127870468125e-08,4.07351116151051e-06
"CHRNE",0.383416656825309,4.75376201838544e-08,4.09130227904915e-06
"KHDC1L",0.382771063785117,5.02793842164622e-08,4.28775241838652e-06
"SPHK1",0.382694082501192,5.06162848411107e-08,4.29686243496629e-06
"SLC13A2",0.382632847388979,5.08858227812903e-08,4.30019740390669e-06
"HCRTR1",0.382440394179165,5.17419554285353e-08,4.33793253312072e-06
"NANP",0.382428147156723,5.17969027032513e-08,4.33793253312072e-06
"DAPP1",0.382216448625928,5.27556182623955e-08,4.38691951558691e-06
"KBTBD12",0.382195453730312,5.285162192156e-08,4.38691951558691e-06
"ARHGEF33",0.381929518385842,5.40822996885895e-08,4.46920809284999e-06
"KIF4A",0.38175631049701,5.48986241368602e-08,4.47419565321718e-06
"GPN2",0.381693325810162,5.51983957692131e-08,4.47419565321718e-06
"FKRP",0.381663583041373,5.53405009580835e-08,4.47419565321718e-06
"PRKCH",0.381590100906717,5.56930936548394e-08,4.47531771772593e-06
"SLC25A19",0.38154636154085,5.59039944461767e-08,4.47531771772593e-06
"DUS4L",0.381511370048157,5.60732676134006e-08,4.47531771772593e-06
"OR56A1",0.381320666412978,5.70045007394981e-08,4.53028108855688e-06
"KCNK6",0.381091472135837,5.81433655751588e-08,4.60120972661723e-06
"FAM43B",0.380988247232392,5.86634029109377e-08,4.62277515934461e-06
"ACER2",0.380676822947421,6.02595591547069e-08,4.72860305366935e-06
"RTP1",0.380529858678109,6.1027219664549e-08,4.76880483035614e-06
"FAM236B",0.380272671206813,6.2393296502394e-08,4.83654802892643e-06
"MIPEP",0.380269172057543,6.24120836887593e-08,4.83654802892643e-06
"SLC30A8",0.380162448004829,6.29877115890148e-08,4.84368150198732e-06
"ZAP70",0.380109960765789,6.32726755733722e-08,4.84368150198732e-06
"OR5D14",0.380108211191154,6.32821956781381e-08,4.84368150198732e-06
"MYBPC3",0.379301657284573,6.78207151222982e-08,5.04901371266435e-06
"CC2D2A",0.379247420470898,6.81368787729558e-08,5.04901371266435e-06
"MUCL1",0.379233423873821,6.82186990036751e-08,5.04901371266435e-06
"TEKT5",0.379179187060146,6.85366450102764e-08,5.04901371266435e-06
"MT1B",0.379112703224029,6.89283279851946e-08,5.04901371266435e-06
"OR4D11",0.379110953649394,6.89386644211507e-08,5.04901371266435e-06
"MAPK7",0.379060215984989,6.92390697716493e-08,5.05120651193485e-06
"SOX14",0.378908002991773,7.01478514474147e-08,5.07783439392216e-06
"MUC17",0.378768037020999,7.09936189437965e-08,5.11921554978511e-06
"RBM11",0.378635069348765,7.18061671832442e-08,5.15789222428565e-06
"SLC22A13",0.378570335087282,7.22049765355949e-08,5.16666720988035e-06
"IGFLR1",0.378391878474546,7.33154471863375e-08,5.22610416661084e-06
"LRRC75B",0.378283404847196,7.39984374591354e-08,5.25473314823883e-06
"PFN3",0.377697297344583,7.77958302136917e-08,5.46208618447709e-06
"VWA2",0.37755733137381,7.87299815790548e-08,5.4913346375996e-06
"ROPN1B",0.376894242587271,8.330392158635e-08,5.74090051493237e-06
"CFAP251",0.376670297034034,8.49055461850139e-08,5.82976463437985e-06
"DEFB131A",0.376575820003762,8.55900654473314e-08,5.85523832342257e-06
"HAP1",0.376073692083612,8.93180284602269e-08,6.06583090735709e-06
"CFTR",0.375991462075783,8.99432030655428e-08,6.0861567407684e-06
"MMP27",0.375632799275676,9.27195082295276e-08,6.22980644356685e-06
"TEX22",0.375631049701041,9.27332507663089e-08,6.22980644356685e-06
"MROH9",0.375062437944775,9.73047321203979e-08,6.51348808989445e-06
"KLF11",0.374875233458865,9.88565927138183e-08,6.59373473401168e-06
