ROI_ID,Scan Name,Segment (Name/ Label),Segment Tags,Custom Segment Name,LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA_1_0,GeoMx_ROI_ID,Scan_ID,disease_status,pathology,region,Astrocytes1,Astrocytes2,Astrocytes3,Astrocytes4,Astrocytes5,Endothelial,ExNeuron1,ExNeuron10,ExNeuron11,ExNeuron12,ExNeuron13,ExNeuron14,ExNeuron2,ExNeuron3,ExNeuron4,ExNeuron5,ExNeuron6,ExNeuron7,ExNeuron8,ExNeuron9,Fibroblast,InhNeuron1,InhNeuron2,InhNeuron3,InhNeuron4,InhNeuron5,Microglia1,Microglia2,Microglia3,Microglia4,Microglia5,OPC1,OPC2,OPC3,Oligodendrocytes1,Oligodendrocytes2,Oligodendrocytes3,Oligodendrocytes4,Oligodendrocytes5,Oligodendrocytes6,Oligodendrocytes7,Oligodendrocytes8,Pericytes,SMC,VLMC1,VLMC2
2534_B_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_B,BRC 2534 BRC 2732,AD-CAA,Amyloid,Capillaries,0.013191137,0.07815434,0.0032497875,0.04448961,0.00732996,0.006097819,0.03082731,0.0024520939,0.0035539179,0.0074819014,0.0055833156,0.0065801353,0.0023989952,0.14051077,0.104831114,0.0029567536,0.007918713,0.01864588,0.0052105533,0.006033452,0.35275942,0.0030722877,0.0036352624,0.003948857,0.0031766943,0.0048047095,0.0037095132,0.0045105168,0.007208593,0.0023717547,0.013942282,0.0017891072,0.0022905222,0.0017939218,0.0019515551,0.011265635,0.006740112,0.003379338,0.00589563,0.004070488,0.0045817397,0.021405652,0.004399138,0.021133762,0.004481483,0.004184423
2534_C_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,0.0043084496,0.004723833,0.0073698717,0.0041408488,0.0072145634,0.032093387,0.003086169,0.002147504,0.0027945144,0.0026321285,0.0026483678,0.00387023,0.0019456388,0.0027078716,0.0026527746,0.0018863535,0.002283752,0.002663808,0.0019113543,0.0027575823,0.3231884,0.0021928747,0.0025013639,0.0027019985,0.0025509063,0.0028747425,0.01594579,0.029692246,0.008249066,0.022942524,0.06778987,0.0055925697,0.0050653755,0.0059406506,0.037510723,0.16559686,0.014588061,0.008035225,0.007338172,0.055426568,0.07391275,0.01971258,0.0044308323,0.006725354,0.006590057,0.007065497
2534_C_002,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 002,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,0.0075073275,0.051280055,0.002965335,0.007600964,0.006200261,0.023982536,0.026511546,0.00075921975,0.009689028,0.003999036,0.0038545185,0.005335687,0.0008865914,0.12340414,0.041971132,0.0029632724,0.019550106,0.012504116,0.0026784968,0.0036803586,0.35183296,0.001486512,0.0033651434,0.0019759813,0.0026893583,0.0019352613,0.016176902,0.024210665,0.009229451,0.00346644,0.009325254,0.0014963999,0.0021666845,0.0020642786,0.0037463813,0.14552467,0.0032123611,0.0017525466,0.0023844347,0.0028424077,0.007529645,0.023113666,0.005866355,0.007909737,0.0023141466,0.005058568
2534_C_003,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 003,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,0.011026502,0.03239514,0.0041184598,0.006689329,0.0040769204,0.0138009265,0.035368335,0.0010696908,0.0059351237,0.006539761,0.0044124075,0.0074977702,0.0012498581,0.12988856,0.0412266,0.004083946,0.016231032,0.041369516,0.0044309734,0.0047276127,0.35787565,0.0015829515,0.0038207313,0.0015598356,0.0019543446,0.0028990605,0.0048808604,0.01783573,0.006839728,0.004315859,0.013013995,0.0015091989,0.0025605673,0.0019085896,0.005235474,0.11944091,0.005952541,0.002578379,0.0048099826,0.0041434597,0.009235513,0.026650332,0.004286422,0.008038801,0.00408746,0.0068451986
2534_C_004,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 004,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,0.0037036685,0.019522535,0.004439724,0.018666495,0.003983357,0.008622996,0.021865783,0.0021211992,0.0045044343,0.0059918347,0.007327082,0.017886704,0.0018861846,0.088047534,0.043691564,0.0028185036,0.011773559,0.015276242,0.004334877,0.00640536,0.4012453,0.0028976197,0.00506614,0.0035505265,0.0031823511,0.006193603,0.0048301015,0.008146913,0.010430662,0.0060585677,0.033077307,0.0031739282,0.005325399,0.0030485347,0.006643592,0.06939785,0.02114914,0.010977766,0.012391252,0.01165836,0.015947679,0.033662677,0.0040204143,0.01377743,0.0041441065,0.0071331714
2534_C_005,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 005,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,0.0014572095,0.0016106899,0.0034658022,0.0033345611,0.0022118432,0.011809865,0.0035248818,0.003988728,0.0037251383,0.0033065723,0.0029376836,0.0057125296,0.0032897969,0.0030226605,0.003547452,0.0025555536,0.0030200358,0.0039693117,0.0023639589,0.0028076963,0.4842502,0.0040767645,0.0041745123,0.005683578,0.0027215455,0.009179188,0.036246195,0.0058506476,0.010473616,0.03343138,0.08586052,0.004006026,0.005935202,0.0043310686,0.030894734,0.009678002,0.019076662,0.03297123,0.02697369,0.03394957,0.026732717,0.022179002,0.004268047,0.010108418,0.0048728352,0.010412675
2534_C_006,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 006,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,0.011954469,0.014169478,0.0055085914,0.010601489,0.022237472,0.007826921,0.0051003904,0.00745088,0.0057929545,0.0059486893,0.0053797946,0.0047583375,0.0068187774,0.0048190374,0.0052694906,0.0053630206,0.004677025,0.004529203,0.005291166,0.00475918,0.5459991,0.004974552,0.0043454543,0.0051867277,0.004531915,0.0051634638,0.018864924,0.01066466,0.014533104,0.0046352185,0.14003871,0.004741481,0.004349605,0.0052559227,0.002817823,0.0040540085,0.0070916493,0.0053548436,0.0074276254,0.005282383,0.0038184552,0.0064367387,0.007881462,0.014777624,0.008605555,0.004910625
2534_C_007,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 007,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,0.008614205,0.008802773,0.007703915,0.008497531,0.010794678,0.013299874,0.005508111,0.005299173,0.006325698,0.0047187954,0.0047986135,0.006234085,0.0051238937,0.004448173,0.004758446,0.0054011093,0.0052013416,0.0053216815,0.0049555474,0.0053300136,0.59764284,0.005958026,0.005396706,0.0059819235,0.0060075903,0.005105277,0.0053747753,0.005397326,0.009227095,0.006145659,0.08220126,0.004544568,0.0054603075,0.0048805643,0.006395458,0.007833061,0.010798073,0.008439226,0.0228519,0.0069873603,0.006559875,0.013193681,0.008705555,0.010424769,0.0091276895,0.00822181
2534_C_008,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 008,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,0.0022720024,0.0015831375,0.0052795615,0.0036418703,0.004013795,0.004105121,0.0034616333,0.0050750296,0.0038393973,0.0028192312,0.0024985943,0.00458549,0.0050372337,0.0022087716,0.0026494695,0.003084226,0.0022947548,0.0027709706,0.003119542,0.0037584584,0.49827892,0.002470758,0.0051548234,0.0031892976,0.0038336266,0.0038540247,0.012425501,0.004522175,0.010221991,0.016963696,0.087656945,0.0068424507,0.008828851,0.0059389416,0.018638983,0.008891269,0.025853947,0.043996174,0.07723736,0.020544618,0.01371984,0.019817257,0.002915407,0.010306482,0.014875953,0.004922426
2534_D_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_D,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,0.001629445,0.0026219538,0.0053921146,0.0025210336,0.0030882927,0.021895254,0.0019482765,0.01262607,0.004618371,0.0030248864,0.0021753565,0.0025398035,0.0050085383,0.0012389066,0.0015882591,0.0020709264,0.0013431475,0.0010889694,0.00087554025,0.0017985577,0.44976553,0.0023494754,0.009308907,0.00184919,0.0019843518,0.0023973589,0.020308644,0.005615923,0.0043309396,0.024250956,0.082903266,0.006698747,0.007514162,0.0074401726,0.02641499,0.018218314,0.014405108,0.018836819,0.027447505,0.07211621,0.041335505,0.012758295,0.012524727,0.009129855,0.029591043,0.011410237
