ROI_ID,Scan Name,Segment (Name/ Label),Segment Tags,Custom Segment Name,LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA_1_0,GeoMx_ROI_ID,Scan_ID,disease_status,pathology,region,celltype,abs_abundance
2534_F_004,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_F 004,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,Astrocytes1,0.0490989
2534_F_005,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_F 005,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,Astrocytes1,0.19078009
2534_F_006,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_F 006,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,Astrocytes1,0.16476512
2534_F_007,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_F 007,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,Astrocytes1,0.045459256
2845_A_001,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2845_A,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Astrocytes1,0.2796706
2845_A_002,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2845_A 002,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Astrocytes1,0.20095566
2845_A_003,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2845_A 003,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Astrocytes1,0.28165528
2845_A_004,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2845_A 004,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Astrocytes1,0.13540159
2845_A_005,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2845_A 005,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Astrocytes1,0.3257894
2845_A_006,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2845_A 006,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Astrocytes1,0.38879135
2845_A_007,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2845_A 007,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Astrocytes1,0.19718945
2845_A_008,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2845_A 008,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Astrocytes1,0.15103509
2845_A_009,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2845_A 009,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Astrocytes1,0.105192445
2845_A_010,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2845_A1,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Astrocytes1,0.16545275
2845_A_011,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2845_A2,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Astrocytes1,0.29695812
2845_A_012,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2845_A3,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Astrocytes1,0.015196272
2845_B_001,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2845_B,BRC 2845 BRC 2497,AD-CAA,Amyloid,Capillaries,Astrocytes1,1.1275657
2845_B_002,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2845_B 002,BRC 2845 BRC 2497,AD-CAA,Amyloid,Capillaries,Astrocytes1,0.3322324
2845_B_003,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2845_B1,BRC 2845 BRC 2497,AD-CAA,Amyloid,Capillaries,Astrocytes1,0.05548077
2845_B_004,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2845_B2,BRC 2845 BRC 2497,AD-CAA,Amyloid,Capillaries,Astrocytes1,0.01594466
2845_B_005,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2845_B3,BRC 2845 BRC 2497,AD-CAA,Amyloid,Capillaries,Astrocytes1,0.30538404
2845_C_001,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2845_C,BRC 2845 BRC 2497,AD-CAA,Amyloid,Parenchyma,Astrocytes1,0.69844097
2845_C_002,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2845_C 002,BRC 2845 BRC 2497,AD-CAA,Amyloid,Parenchyma,Astrocytes1,1.5163648
2845_C_003,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2845_C 003,BRC 2845 BRC 2497,AD-CAA,Amyloid,Parenchyma,Astrocytes1,1.4982035
2845_C_004,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2845_C 004,BRC 2845 BRC 2497,AD-CAA,Amyloid,Parenchyma,Astrocytes1,0.34118906
2845_C_005,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2845_C 005,BRC 2845 BRC 2497,AD-CAA,Amyloid,Parenchyma,Astrocytes1,0.5415377
2845_C_006,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2845_C 006,BRC 2845 BRC 2497,AD-CAA,Amyloid,Parenchyma,Astrocytes1,0.13244165
2845_C_007,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2845_C 007,BRC 2845 BRC 2497,AD-CAA,Amyloid,Parenchyma,Astrocytes1,0.45580742
2845_D_001,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2845_D,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Astrocytes1,0.11043476
2845_D_002,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2845_D 002,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Astrocytes1,0.20759648
2845_D_003,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2845_D 003,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Astrocytes1,0.2867795
2845_D_004,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2845_D 004,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Astrocytes1,0.10849595
2845_D_005,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2845_D 005,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Astrocytes1,0.096021466
2845_D_006,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2845_D 006,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Astrocytes1,0.09060859
2845_D_007,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2845_D 007,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Astrocytes1,0.21894939
2845_D_008,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2845_D 008,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Astrocytes1,0.09654005
2845_D_009,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2845_D 009,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Astrocytes1,0.16477457
