ROI_ID,Scan Name,Segment (Name/ Label),Segment Tags,Custom Segment Name,LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA_1_0,GeoMx_ROI_ID,Scan_ID,disease_status,pathology,region,Astrocytes1,Astrocytes2,Astrocytes3,Astrocytes4,Astrocytes5,Endothelial,ExNeuron1,ExNeuron10,ExNeuron11,ExNeuron12,ExNeuron13,ExNeuron14,ExNeuron2,ExNeuron3,ExNeuron4,ExNeuron5,ExNeuron6,ExNeuron7,ExNeuron8,ExNeuron9,Fibroblast,InhNeuron1,InhNeuron2,InhNeuron3,InhNeuron4,InhNeuron5,Microglia1,Microglia2,Microglia3,Microglia4,Microglia5,OPC1,OPC2,OPC3,Oligodendrocytes1,Oligodendrocytes2,Oligodendrocytes3,Oligodendrocytes4,Oligodendrocytes5,Oligodendrocytes6,Oligodendrocytes7,Oligodendrocytes8,Pericytes,SMC,VLMC1,VLMC2
2534_B_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_B,BRC 2534 BRC 2732,AD-CAA,Amyloid,Capillaries,0.12950245,0.76727104,0.031904407,0.43677154,0.07196102,0.059864625,0.3026435,0.024073144,0.03489017,0.07345269,0.05481355,0.06459971,0.023551855,1.379448,1.0291672,0.029027581,0.077741034,0.18305375,0.051153995,0.05923271,3.4631743,0.030161824,0.03568876,0.038767442,0.031186825,0.04716967,0.03641771,0.04428147,0.07076952,0.023284424,0.13687672,0.01756435,0.022486933,0.017611617,0.019159164,0.11059905,0.06617026,0.033176254,0.057879657,0.039961535,0.044980694,0.21014749,0.04318802,0.20747823,0.04399643,0.041080084
2534_C_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,0.06906674,0.075725555,0.11814297,0.06638001,0.1156533,0.5144741,0.049472935,0.03442563,0.044797555,0.042194422,0.042454746,0.06204185,0.031189626,0.043408625,0.04252539,0.03023925,0.03660976,0.04270226,0.030640027,0.044205513,5.180882,0.03515295,0.040098194,0.043314476,0.040892385,0.046083655,0.25561953,0.47598252,0.13223693,0.3677809,1.0867077,0.089651875,0.08120067,0.095231794,0.60131687,2.6546059,0.23385438,0.12880893,0.1176348,0.88851744,1.1848607,0.31600317,0.071028605,0.10781101,0.105642125,0.11326368
2534_C_002,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 002,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,0.31346056,2.1411448,0.12381445,0.31737027,0.25888538,1.0013655,1.1069617,0.03170042,0.4045552,0.16697553,0.16094136,0.22278601,0.03701869,5.15261,1.7524605,0.12372832,0.81629413,0.5220962,0.11183782,0.1536695,14.690415,0.062067743,0.14050803,0.08250502,0.11229133,0.0808048,0.6754495,1.0108908,0.38536602,0.14473756,0.38936615,0.062480602,0.09046763,0.08619178,0.1564262,6.076229,0.13412876,0.07317574,0.09955956,0.118681744,0.31439242,0.9650868,0.24494347,0.33026275,0.09662476,0.21121518
2534_C_003,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 003,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,0.35206422,1.0343416,0.13149795,0.21358301,0.13017164,0.4406486,1.1292725,0.034154065,0.18950205,0.20880747,0.14088337,0.23939565,0.03990661,4.1472006,1.3163205,0.13039595,0.5182392,1.3208838,0.14147617,0.15094754,11.42658,0.050541922,0.1219918,0.049803857,0.062400095,0.09256385,0.15584058,0.5694755,0.21838509,0.1378007,0.41552272,0.04818708,0.08175613,0.060939193,0.167163,3.8136184,0.19005816,0.08232483,0.15357752,0.13229616,0.2948799,0.85091615,0.13686079,0.25667018,0.13050817,0.21855976
2534_C_004,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 004,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,0.06969048,0.3673479,0.08354055,0.35124013,0.074953265,0.16225553,0.4114399,0.039913774,0.08475818,0.11274601,0.13787083,0.3365671,0.035491597,1.656756,0.82212704,0.053034678,0.22153845,0.28744707,0.08156768,0.12052715,7.5500755,0.054523375,0.09532757,0.066808864,0.059881054,0.1165426,0.09088613,0.15329726,0.19626968,0.1140017,0.6224027,0.059722565,0.10020594,0.057363085,0.12500986,1.3058321,0.3979551,0.20656432,0.23316135,0.2193708,0.30008122,0.6334174,0.07565056,0.2592445,0.07797803,0.13422209
2534_C_005,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 005,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,0.04098006,0.04529628,0.09746628,0.09377548,0.06220209,0.3321204,0.09912773,0.11217215,0.1047594,0.09298837,0.08261438,0.16064939,0.09251661,0.08500412,0.099762455,0.07186801,0.08493031,0.11162612,0.06647993,0.07895884,13.618222,0.11464794,0.117396824,0.1598352,0.07653608,0.25813976,1.0193259,0.16453359,0.29454204,0.9401669,2.4145942,0.112658605,0.16691144,0.12179955,0.86883056,0.27216756,0.53647935,0.92722636,0.75856185,0.95473945,0.7517851,0.6237242,0.12002724,0.2842718,0.13703527,0.29282823
2534_C_006,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 006,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,0.1046005,0.12398162,0.048199665,0.092762046,0.19457583,0.06848483,0.044627946,0.06519451,0.050687816,0.052050482,0.047072705,0.041635014,0.059663672,0.042166132,0.046107557,0.046925936,0.040923536,0.039630104,0.04629721,0.041642383,4.7774415,0.04352687,0.038022324,0.045383386,0.039653834,0.04517983,0.16506635,0.09331478,0.12716332,0.040557735,1.2253258,0.04148752,0.038058642,0.045988835,0.02465569,0.0354722,0.062051274,0.046854384,0.064991035,0.046220362,0.03341113,0.05632087,0.06896206,0.12930284,0.07529781,0.042967513
2534_C_007,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 007,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,0.039427508,0.040290594,0.03526108,0.038893487,0.04940761,0.060873974,0.02521081,0.024254493,0.028952934,0.021598088,0.021963418,0.028533619,0.023452235,0.02035944,0.021779569,0.024721062,0.023806717,0.024357516,0.02268171,0.024395654,2.7354317,0.027270086,0.024700908,0.027379468,0.027496945,0.023367027,0.02460053,0.024703745,0.04223273,0.02812889,0.37623796,0.02080064,0.024992013,0.022338508,0.029272228,0.035852186,0.04942315,0.038626626,0.10459392,0.031981386,0.03002477,0.060387928,0.039845623,0.04771452,0.041777745,0.037631504
2534_C_008,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 008,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,0.058497746,0.040761393,0.13593404,0.09376804,0.10334406,0.105695456,0.08912744,0.13066791,0.09885381,0.07258737,0.06433186,0.11806363,0.12969477,0.056869734,0.06821648,0.07941025,0.05908356,0.07134479,0.08031954,0.09676986,12.829297,0.06361515,0.13272238,0.08211555,0.09870523,0.09923042,0.31992212,0.11643344,0.26318786,0.43676805,2.2569227,0.17617409,0.22731838,0.15291125,0.47990203,0.22892545,0.6656673,1.1327792,1.9886473,0.52896684,0.35324776,0.5102393,0.07506363,0.26536328,0.38301444,0.12673879
2534_D_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_D,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,0.19398451,0.31214213,0.6419282,0.30012763,0.3676595,2.6066177,0.23194122,1.5031265,0.54981446,0.36011103,0.25897497,0.30236217,0.59626365,0.14749114,0.18908136,0.24654262,0.15990095,0.12964119,0.10423257,0.21411729,53.544334,0.27970374,1.1082202,0.22014503,0.23623598,0.28540424,2.4177327,0.6685725,0.5155959,2.8870628,9.869587,0.7974821,0.89455676,0.8857484,3.1446898,2.16888,1.71492,2.2425127,3.26761,8.585395,4.9209685,1.5188679,1.4910617,1.086904,3.522797,1.3583823
