ROI_ID,Scan Name,Segment (Name/ Label),Segment Tags,Custom Segment Name,LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA_1_0,GeoMx_ROI_ID,Scan_ID,disease_status,pathology,region,Astrocytes1,Astrocytes2,Astrocytes3,Astrocytes4,Astrocytes5,Endothelial,ExNeuron1,ExNeuron10,ExNeuron11,ExNeuron12,ExNeuron13,ExNeuron14,ExNeuron2,ExNeuron3,ExNeuron4,ExNeuron5,ExNeuron6,ExNeuron7,ExNeuron8,ExNeuron9,Fibroblast,InhNeuron1,InhNeuron2,InhNeuron3,InhNeuron4,InhNeuron5,Microglia1,Microglia2,Microglia3,Microglia4,Microglia5,OPC1,OPC2,OPC3,Oligodendrocytes1,Oligodendrocytes2,Oligodendrocytes3,Oligodendrocytes4,Oligodendrocytes5,Oligodendrocytes6,Oligodendrocytes7,Oligodendrocytes8,Pericytes,SMC,VLMC1,VLMC2
2732_F_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_F,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma,0.07670277,0.34160635,0.12117651,0.29854995,0.13545603,0.06509889,0.3060528,0.045693617,0.09881244,0.11530903,0.09940522,0.24249278,0.043517727,0.95833355,0.76676357,0.049235232,0.22519132,0.279914,0.10683767,0.093678586,17.33053,0.04841626,0.04927624,0.046198647,0.032698568,0.0779836,0.14314047,0.19805078,0.39688185,0.13266398,0.52432567,0.0307697,0.0596264,0.031127634,0.18066546,0.82952875,0.26041323,0.17952067,0.20917103,0.2993925,0.32935768,0.65738076,0.03710809,0.09255648,0.040909223,0.071789816
2732_F_002,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_F 002,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma,0.050880596,0.14601664,0.02056127,0.1697077,0.031819705,0.0393113,0.16296476,0.015427441,0.026895557,0.05283943,0.030506602,0.04714084,0.013993423,2.5900073,6.788226,0.017542707,0.069223136,0.041219674,0.025247365,0.033845786,26.47039,0.045684546,0.06494892,0.04144474,0.052616388,0.05444079,0.055399265,0.09784879,0.1330808,0.020560173,0.28918937,0.017011415,0.018443478,0.021047302,0.015902564,0.04082631,0.039787307,0.037037574,0.03583864,0.023162933,0.019373426,0.07818748,0.038121182,0.15186411,0.027082445,0.02344799
2732_F_003,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_F 003,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma,0.01999977,0.026268901,0.058786012,0.027040733,0.04452162,0.034994442,0.027206054,0.041964255,0.07627789,0.03531463,0.036773458,0.049085163,0.043005813,0.0267444,0.029385896,0.046831045,0.03622778,0.02562402,0.028527265,0.033838075,15.627927,0.033949185,0.041687194,0.06318451,0.05323773,0.031341013,0.07210713,0.08258025,0.035237197,0.2432892,0.16134888,0.033366863,0.05448778,0.03278105,2.1450355,3.4333043,0.12060997,0.079226926,0.16391946,0.3072869,1.3969659,0.15344304,0.021997588,0.03282131,0.040502954,0.073671795
2732_F_004,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_F 004,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma,0.123244,0.14374726,0.3440443,0.07206739,0.40338397,0.11674652,0.06887068,0.116891354,0.13748884,0.090667665,0.11605788,0.12720838,0.08007438,0.07661088,0.09045174,0.06328287,0.079998046,0.12639263,0.0569291,0.050093286,24.478144,0.043562118,0.103049986,0.053578798,0.104719765,0.07256313,0.33668572,0.13150993,0.08067715,0.30764028,1.292353,0.07960059,0.1153131,0.06692401,1.5539606,5.786293,0.122680485,0.12983598,0.12479156,0.48722908,1.7713217,0.31705475,0.060115237,0.06547494,0.07069082,0.15367337
2732_F_005,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_F 005,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma,0.047979813,0.07899002,0.09963832,0.08804944,0.08871755,0.07832546,0.17961013,0.053520795,0.060791016,0.085890226,0.099343695,0.21770738,0.039482664,1.0250623,0.6870649,0.041209865,0.19711898,0.16920145,0.103960246,0.10688873,18.465538,0.074511595,0.09166914,0.05492397,0.05150094,0.11738529,0.07537657,0.14108352,0.09848476,0.14587829,0.4425464,0.040251065,0.06616598,0.030242754,0.3355425,3.6293857,0.116626754,0.1404372,0.11709324,0.20042908,0.2931166,0.338513,0.035153043,0.13585675,0.030578073,0.062079895
2732_F_006,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_F 006,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma,0.044079002,0.10393105,0.029360984,0.12252004,0.041617077,0.026202993,0.27280796,0.022581898,0.03860262,0.04893139,0.040798806,0.075411,0.02194568,2.9259818,0.896112,0.027824886,0.2416122,0.32833332,0.08039604,0.55440867,14.280672,0.021273732,0.04039162,0.02644366,0.035774816,0.038402963,0.027676411,0.02295661,0.06768847,0.02240573,0.13191244,0.025317457,0.026565677,0.021437174,0.024338871,0.052762482,0.046710335,0.038972907,0.069171146,0.034531876,0.025924956,0.10013536,0.028567966,0.059253927,0.024049466,0.031968288
2497_D_001,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2497_D,BRC 2845 BRC 2497,Control,AmyloidFree,Arteries,0.0344564,0.027832238,0.028411644,0.037230168,0.03543343,0.044936255,0.039581273,0.057925116,0.058855657,0.05711565,0.04824273,0.04142535,0.053085774,0.040036533,0.04499601,0.05617077,0.043529198,0.043915644,0.043945264,0.038577072,16.468117,0.04508043,0.055164315,0.04033242,0.040147882,0.049799774,0.0677148,0.045612108,0.056473993,0.032300577,0.36685058,0.042867593,0.03169683,0.05134532,0.0238672,0.029409867,0.041781064,0.030609243,0.07400999,0.027266217,0.027070574,0.0634014,0.04403962,0.05651556,0.053137273,0.035926543
2497_D_002,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2497_D 002,BRC 2845 BRC 2497,Control,AmyloidFree,Arteries,0.043379366,0.036220863,0.032078262,0.04745759,0.050499577,0.047143552,0.036548384,0.051040914,0.049696583,0.042404037,0.042484343,0.036157586,0.048665244,0.038532875,0.038456094,0.039725997,0.03670998,0.038581286,0.036989674,0.0383647,18.148272,0.053789727,0.05368301,0.05835662,0.041504044,0.049905173,0.06987984,0.07119025,0.072572224,0.0343371,0.43034214,0.045726705,0.036966372,0.04907524,0.023784483,0.032311197,0.04610858,0.03856666,0.06533774,0.02994471,0.023806512,0.057212785,0.053825893,0.08083664,0.07282159,0.0405445
2497_D_003,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2497_D 003,BRC 2845 BRC 2497,Control,AmyloidFree,Arteries,0.023365242,0.021463854,0.025180684,0.030473076,0.02778683,0.040758666,0.031613436,0.040057976,0.035620384,0.039562076,0.036307868,0.034011662,0.037028622,0.033906758,0.036489867,0.034304224,0.033843525,0.036496427,0.035223648,0.03722332,14.952651,0.036229007,0.033163797,0.03967986,0.032280985,0.039778464,0.042285804,0.034952134,0.039521467,0.02773377,0.26239482,0.04555778,0.032323223,0.043909047,0.02644858,0.03146194,0.035785686,0.035954546,0.05640047,0.024834545,0.027917651,0.050371274,0.049035903,0.059188638,0.06871537,0.03800951
2497_D_004,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2497_D 004,BRC 2845 BRC 2497,Control,AmyloidFree,Arteries,0.036706124,0.03290193,0.033711188,0.044586536,0.03468657,0.05200072,0.052213483,0.087106496,0.08343911,0.07064861,0.06498792,0.050341226,0.08851564,0.055681344,0.05472508,0.0794954,0.06296339,0.05727928,0.07616867,0.06699662,16.82334,0.06292658,0.059397098,0.062227447,0.0843154,0.06641029,0.10671137,0.06222274,0.064063,0.038891077,0.42238307,0.04560646,0.036345474,0.043399423,0.032747697,0.03586019,0.053276103,0.04048879,0.07061189,0.026674086,0.027628953,0.070081875,0.05019019,0.0641251,0.07460281,0.0405812
