"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Translation Initiation Complex Formation R-HSA-72649",3.18883733480054e-15,3.53004292962419e-12,1.00731795687447,-0.570371947407861,-3.47610338872737,57,"RPS16;RPS6;RPS12;EIF3A;RPS29;RPS17;RPS7;RPS3;RPS27A;RPS19;EIF3J;PABPC1;RPS20;RPS9;EIF4A1;RPS13;RPS2;RPS14;EIF4B;EIF3G;RPS23;RPS27;RPS5;FAU;EIF1AX;EIF3F;EIF3B"
"mRNA Activation Upon Binding Of Cap-Binding Complex And eIFs, Subsequent Binding To 43S R-HSA-72662",1.26048673557848e-14,6.97679408142691e-12,0.986546283587582,-0.553701383953777,-3.45571688427672,58,"RPS16;RPS6;RPS12;EIF3A;RPS29;RPS17;RPS7;RPS3;RPS27A;RPS19;EIF3J;PABPC1;RPS20;RPS9;EIF4A1;RPS13;RPS2;RPS14;EIF4B;EIF3G;RPS23;RPS27;RPS5;FAU;EIF1AX;EIF3F;EIF3B"
"Ribosomal Scanning And Start Codon Recognition R-HSA-72702",2.67463592592154e-14,9.8694065666505e-12,0.97599468306432,-0.554536072440689,-3.37959243848338,57,"RPS16;RPS6;RPS12;EIF3A;RPS29;RPS17;RPS7;RPS3;RPS27A;RPS19;EIF3J;RPS20;RPS9;EIF4A1;RPS13;RPS2;RPS14;EIF4B;EIF3G;RPS23;RPS27;RPS5;FAU;EIF1AX;EIF3F;EIF3B"
"Formation Of Ternary Complex, And Subsequently, 43S Complex R-HSA-72695",9.28564595170456e-14,2.56980251713424e-11,0.954541630725724,-0.590661568168494,-3.49428545126743,50,"RPS16;RPS6;RPS12;EIF3A;RPS29;RPS17;RPS7;RPS3;RPS27A;RPS19;EIF3J;RPS20;RPS9;RPS13;RPS2;RPS14;EIF3G;RPS23;RPS27;RPS5;FAU;EIF1AX;EIF3F;EIF3B"
"SARS-CoV-2 Modulates Host Translation Machinery R-HSA-9754678",3.61052357220701e-12,7.99369918886632e-10,0.898671232061694,-0.56558182468751,-3.48172471665478,47,"RPS16;SNRPD3;RPS6;RPS12;RPS29;RPS17;RPS7;RPS3;RPS27A;RPS19;RPS20;RPS9;RPS13;SNRPG;RPS2;SMN1;RPS14;RPS23;RPS27;RPS5;FAU"
"Neuronal System R-HSA-112316",2.012081170476e-06,0.000371228975952822,0.627256739718528,0.342198876404415,1.48625476562933,386,"SHANK1;KCNAB2;CAMK2A;CACNB1;NRGN;NEFL;PRKAR1B;SYT7;CACNG3;SLC1A2;CACNB4;GNG13;SYN2;KCNQ2;GLRB;CAMK2G;CACNA1E;NRXN2;EPB41L1;ADCY1;SHANK3;GABRB2;CALM1;CAMK2B;PANX1;ABAT;APBA1;MAPK1;KCNJ6;SYT1;KCNN1;SLITRK3;CACNB3;LRRTM4;GRIA4;SLC17A7;GABRA5;GRIA1;STXBP1;CACNA2D3;PRKCA;CACNA1B;DLGAP3;CACNA1A;ADCY2;PPFIA4;KCNC1;GABRA2;DLGAP1;CACNA2D1;CHRNB2;GNB1;KCNJ15;SHANK2;KCNV1;NPTN;KCNB1;HOMER1;KIF17;GRIN2D;KCNQ5;PRKCB;GABRA4;RIMS1;CACNG2;NRXN1;UBD;GABRB1;STX1A;SLITRK5;CPLX1;LRFN3;GABBR2;PRKCG;PRKAG2;GNG2;LRRTM1;MAPT;KCNAB1;PPFIA1;ARHGEF9;KCNG1;SIPA1L1;NBEA;KCNK10;KCND3;BCHE;SLITRK4;KCNA4;NSF;HCN2;GRIA2;HCN1;KCNG3;GPRIN1;CACNB2;MPP3;GRIN3B;CAMK1;MDM2;CHRNA9;GNAL;KCNA2;GLRA3;KCNJ1;GABRB3;PRKACG;ADCY7;RAB3A;TSPAN7;DLGAP4;PRKAG3;GLS2;SLITRK6;GIT1;ERBB4;CREB1;CHRNA5;CHRNA6;PPFIBP1;GABRA3;GRM5;KCNJ14;GABRR3;KCNS2;KCNN2;PLCB1;SNAP25;SLC1A7;SLC6A4;NTRK3;GNG4;KCNK16;KCNA1;SLC1A3;LGALS12;GNB4;SLC18A2;KCNK7;IL1RAPL2;LRRC4B;HOMER2;KCNN3;GABRA1;KCNK3;HSPA8;KCNG4;SYT12;ADCY5;KCNH7;RPS6KA3;PTPRD;KCNA3;LRRTM3;EPB41L3;CAMKK2;SLC5A7;KCNMB1;AP2A1;MAPK3;SYN1;SLC6A12;KCNC3;PRKAA2;FLOT1;GNG3;ACHE;CHRNB3;CACNA2D2;PANX2;PRKAB2;PLCB2"
"Unblocking Of NMDA Receptors, Glutamate Binding And Activation R-HSA-438066",9.91322211448454e-06,0.00156770526867634,0.593325476396405,0.666872437464184,2.11605713072673,21,"CAMK2A;NEFL;CAMK2G;CALM1;CAMK2B;GRIA4;GRIA1;GRIN2D;GRIA2;GPRIN1;MPP3"
"Transmission Across Chemical Synapses R-HSA-112315",3.95689387760141e-05,0.00547535190313096,0.557332238758646,0.350830188581265,1.49171904967494,246,"CAMK2A;CACNB1;NRGN;NEFL;PRKAR1B;CACNG3;SLC1A2;CACNB4;GNG13;SYN2;GLRB;CAMK2G;CACNA1E;EPB41L1;ADCY1;GABRB2;CALM1;CAMK2B;ABAT;APBA1;MAPK1;KCNJ6;SYT1;CACNB3;GRIA4;SLC17A7;GABRA5;GRIA1;STXBP1;CACNA2D3;PRKCA;CACNA1B;CACNA1A;ADCY2;PPFIA4;GABRA2;CACNA2D1;CHRNB2;GNB1;KCNJ15;NPTN;KIF17;GRIN2D;PRKCB;GABRA4;RIMS1;CACNG2;UBD;GABRB1;STX1A;CPLX1;GABBR2;PRKCG;PRKAG2;GNG2;MAPT;PPFIA1;ARHGEF9;NBEA;BCHE;NSF;GRIA2;GPRIN1;CACNB2;MPP3;GRIN3B;CAMK1;MDM2;CHRNA9;GNAL"
"Ion Homeostasis R-HSA-5578775",4.53910904278201e-05,0.00558310412262187,0.557332238758646,0.511664570754225,1.87100624456332,49,"CAMK2A;FXYD7;SLC8A2;FXYD1;ATP1A2;CAMK2G;SLC8A1;CALM1;CAMK2B;PLN;ITPR1;PRKCA;ATP1A3;ORAI2;ATP2A2;DMPK;RYR2;ATP1B3;ATP1B2;SLC8A3;SRI;ATP2B1"
"Long-term Potentiation R-HSA-9620244",5.65969126241992e-05,0.00626527822749885,0.557332238758646,0.628616640425404,2.032790928636,23,"CAMK2A;NRGN;NEFL;CAMK2G;CALM1;CAMK2B;GRIA1;GRIN2D;GRIA2;GPRIN1;MPP3"
