gene,panel,category,headline,source,MatrisomeDivision,MatrisomeCategory
MFGE8,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
NELL2,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
NPNT,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
NTNG1,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
NTNG2,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
PCOLCE,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
POMZP3,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
RELN,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
SBSPON,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
SLIT1,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
SLIT2,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
SMOC2,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
SNED1,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
SPARC,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
SPARCL1,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
SPON2,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
SPP1,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
THBS3,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
TNR,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
TNXB,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
VWA5A,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
VWA5B2,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
VWDE,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
VWF,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
BCAN,Matrisome_Biomarkers,Proteoglycans,FALSE,Subah matrisome biomarker panel,Core matrisome,Proteoglycans
BGN,Matrisome_Biomarkers,Proteoglycans,FALSE,Subah matrisome biomarker panel,Core matrisome,Proteoglycans
CHADL,Matrisome_Biomarkers,Proteoglycans,FALSE,Subah matrisome biomarker panel,Core matrisome,Proteoglycans
DCN,Matrisome_Biomarkers,Proteoglycans,FALSE,Subah matrisome biomarker panel,Core matrisome,Proteoglycans
HAPLN2,Matrisome_Biomarkers,Proteoglycans,FALSE,Subah matrisome biomarker panel,Core matrisome,Proteoglycans
HAPLN4,Matrisome_Biomarkers,Proteoglycans,FALSE,Subah matrisome biomarker panel,Core matrisome,Proteoglycans
HSPG2,Matrisome_Biomarkers,Proteoglycans,FALSE,Subah matrisome biomarker panel,Core matrisome,Proteoglycans
NCAN,Matrisome_Biomarkers,Proteoglycans,FALSE,Subah matrisome biomarker panel,Core matrisome,Proteoglycans
PRELP,Matrisome_Biomarkers,Proteoglycans,FALSE,Subah matrisome biomarker panel,Core matrisome,Proteoglycans
SPOCK1,Matrisome_Biomarkers,Proteoglycans,FALSE,Subah matrisome biomarker panel,Core matrisome,Proteoglycans
SPOCK2,Matrisome_Biomarkers,Proteoglycans,FALSE,Subah matrisome biomarker panel,Core matrisome,Proteoglycans
SPOCK3,Matrisome_Biomarkers,Proteoglycans,FALSE,Subah matrisome biomarker panel,Core matrisome,Proteoglycans
SRGN,Matrisome_Biomarkers,Proteoglycans,FALSE,Subah matrisome biomarker panel,Core matrisome,Proteoglycans
A2M,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
ADAM11,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
ADAM12,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
ADAM15,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
ADAM22,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
ADAM23,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
ADAM32,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
ADAM9,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
ADAMTS1,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
ADAMTS10,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
