gene,panel,category,headline,source,MatrisomeDivision,MatrisomeCategory
REG3A,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
SDC3,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
SDC4,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
SEMA3A,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
SEMA3B,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
SEMA3E,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
SEMA4A,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
SEMA4B,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
SEMA4C,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
SEMA4D,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
SEMA4F,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
SEMA6A,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
SEMA6B,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
SEMA6C,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
SFTPC,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
AMH,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
BMP3,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
BMP7,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
BMP8B,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
BRINP2,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
CBLN2,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
CCL18,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
CCL19,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
CCL2,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
CCL24,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
CCL26,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
CCL3,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
CCL3L3,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
CCL8,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
CRLF1,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
CRLF3,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
CSF1,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
CSH2,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
CSHL1,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
CX3CL1,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
CXCL13,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
CXCL14,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
CXCL3,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
DHH,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
EBI3,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
EGFL7,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
FGF1,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
FGF11,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
FGF12,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
FGF13,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
FGF14,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
FGF17,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
FGF18,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
FGF2,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
FGF21,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
FGF3,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
FGF4,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
FGF6,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
FGF8,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
FLT3LG,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
FSTL3,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
GDF1,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
GDF11,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
GDF2,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
GDF5,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
GDF6,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
GH1,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
HCFC2,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
HHIP,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
IFNA13,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
IFNA14,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
IFNA16,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
IFNA4,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
IFNA5,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
IGF1,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
IGF2,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
IL13,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
IL17F,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
IL18,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
IL1F10,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
IL24,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
IL25,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
IL34,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
IL36RN,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
IL6,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
IL7,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
INHA,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
INHBE,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
ISM1,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
KITLG,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
LIF,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
LTA,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
MDK,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
MEGF10,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
MEGF11,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
MEGF8,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
MEGF9,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
MST1,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
NODAL,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
NRG1,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
PDGFB,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
PF4,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
PGF,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
PPBP,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
PTN,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
S100A1,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
S100A10,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
S100A11,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
S100A13,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
S100A16,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
S100A4,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
S100A6,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
S100A7,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
S100B,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
S100Z,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
SFRP2,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
TGFB2,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
TGFB3,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
TNF,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
TNFSF12,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
TNFSF13,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
TNFSF14,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
VEGFB,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
VEGFC,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
VEGFD,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
WIF1,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
WNT10A,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
WNT10B,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
WNT11,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
WNT2,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
WNT3,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
WNT5B,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
WNT8A,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
WNT9B,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
ZFP91,Matrisome_Biomarkers,Secreted Factors,FALSE,Subah matrisome biomarker panel,Matrisome-associated,Secreted Factors
