"contrast","odds.ratio","SE","df","asymp.LCL","asymp.UCL","null","z.ratio","p.value","celltype","region","p_adj"
"Amyloid_effect",1.48816451829353,0.265587284005456,Inf,1.04891456600259,2.11135749782537,1,2.22755439505077,0.0259102446808269,"Astrocytes1","Arteries",0.0884908555757001
"Amyloid_effect",1.51189673744213,0.319925005391305,Inf,0.998627618917389,2.28897308805281,1,1.95347395241992,0.0507634608221929,"Astrocytes2","Arteries",0.129728844323382
"Amyloid_effect",0.694639602812216,0.114395541361798,Inf,0.503014913716306,0.959264158253668,1,-2.21250198032409,0.0269319995230392,"Astrocytes3","Arteries",0.0884908555757001
"Amyloid_effect",1.3387240122992,0.24056846081019,Inf,0.941304838864616,1.90393367494868,1,1.62335685474278,0.10451314221276,"Astrocytes4","Arteries",0.17805942747359
"Amyloid_effect",0.95680010828383,0.219456486281101,Inf,0.610358992733327,1.49988196800752,1,-0.192534940761687,0.847323201092199,"Astrocytes5","Arteries",0.893022508602118
"Amyloid_effect",1.11221886025385,0.241998629375877,Inf,0.726079633155228,1.70371228804307,1,0.488813734622283,0.624973573383719,"Endothelial","Arteries",0.68449486608693
"Amyloid_effect",1.15767647809833,0.256117200064448,Inf,0.750365110515554,1.78608361337767,1,0.661810903230107,0.508092417575979,"ExNeuron1","Arteries",0.584306280212376
"Amyloid_effect",0.974248574781737,0.138310101770207,Inf,0.737612322222368,1.28680101574836,1,-0.183768022761387,0.854195443010722,"ExNeuron10","Arteries",0.893022508602118
"Amyloid_effect",1.25760171503796,0.171313633434104,Inf,0.962920271683683,1.64246419997059,1,1.68258935267982,0.0924546142768841,"ExNeuron11","Arteries",0.170116490269467
"Amyloid_effect",1.32392378600534,0.189173786651101,Inf,1.00054327793103,1.75182246466658,1,1.96376505698305,0.0495573441121911,"ExNeuron12","Arteries",0.129728844323382
"Amyloid_effect",1.27124214435609,0.166425420303762,Inf,0.983541584257642,1.64309940266212,1,1.83320016943687,0.0667728087137955,"ExNeuron13","Arteries",0.140948487085914
"Amyloid_effect",1.14234591026121,0.143503202744185,Inf,0.893034875316949,1.46125780163666,1,1.05940438341783,0.289415654238597,"ExNeuron14","Arteries",0.403427881665924
"Amyloid_effect",1.10728504747992,0.142456818804988,Inf,0.860495934143523,1.42485295714147,1,0.792132352214873,0.428283507767473,"ExNeuron2","Arteries",0.532460577224426
"Amyloid_effect",1.24691968854458,0.318725923299583,Inf,0.755548455806163,2.05785439402578,1,0.863329758841855,0.387956186830522,"ExNeuron3","Arteries",0.495721794283444
"Amyloid_effect",1.20857911665695,0.305589026373194,Inf,0.736290028069269,1.98381537917811,1,0.749240703417306,0.453712140192176,"ExNeuron4","Arteries",0.535147652534362
"Amyloid_effect",1.36560140723752,0.188306250049148,Inf,1.04219650083028,1.78936237260769,1,2.25969379778528,0.0238402615066344,"ExNeuron5","Arteries",0.0884908555757001
"Amyloid_effect",1.50970752707951,0.367638382085391,Inf,0.936723412342716,2.43318015466302,1,1.69153338591538,0.090734976968473,"ExNeuron6","Arteries",0.170116490269467
"Amyloid_effect",1.18958346928116,0.206697879552689,Inf,0.846239134751885,1.67223279126875,1,0.999117752033365,0.317737652562964,"ExNeuron7","Arteries",0.429880353467539
"Amyloid_effect",1.35239706410364,0.225995310929629,Inf,0.974680545079531,1.87648951056771,1,1.80649659958358,0.070840804815461,"ExNeuron8","Arteries",0.141681609630922
"Amyloid_effect",1.29551968265934,0.211457466446336,Inf,0.940825536653716,1.78393462206321,1,1.58625508147473,0.112681457365536,"ExNeuron9","Arteries",0.180743765671554
"Amyloid_effect",1.29319843952771,0.103049792354524,Inf,1.10620683587003,1.51179883342665,1,3.22664716947342,0.00125249802254674,"Fibroblast","Arteries",0.0288074545185751
"Amyloid_effect",1.39497249371545,0.198335809659384,Inf,1.05570517526262,1.84326865475356,1,2.34123654927405,0.0192199852539695,"InhNeuron1","Arteries",0.0884119321682596
"Amyloid_effect",1.26367976912863,0.214125284668134,Inf,0.906576524693381,1.76144706531539,1,1.38113695375913,0.167236855219766,"InhNeuron2","Arteries",0.248157914197072
"Amyloid_effect",1.30552535365925,0.165327586687069,Inf,1.01857227064147,1.67331911359978,1,2.10527647150706,0.0352672489710683,"InhNeuron3","Arteries",0.108152896844609
"Amyloid_effect",1.26628357384211,0.163457457125631,Inf,0.983227759712887,1.63082670677501,1,1.828929662025,0.0674101459976112,"InhNeuron4","Arteries",0.140948487085914
"Amyloid_effect",1.54857328475006,0.185215712797786,Inf,1.2249675069687,1.95766761534423,1,3.65651385235969,0.000255668601219165,"InhNeuron5","Arteries",0.0117607556560816
"Amyloid_effect",0.996390614125439,0.152230522687092,Inf,0.738552508784411,1.34424329226275,1,-0.023667160347455,0.981118100910958,"Microglia1","Arteries",0.981118100910958
"Amyloid_effect",0.887932108823357,0.119897837172688,Inf,0.681462037049401,1.15695869617802,1,-0.880246105143322,0.378726001957472,"Microglia2","Arteries",0.495721794283444
"Amyloid_effect",1.31816314510539,0.194798079280834,Inf,0.986685273377566,1.7610013283833,1,1.86926045771239,0.0615865866350342,"Microglia3","Arteries",0.140948487085914
"Amyloid_effect",0.546802584098288,0.109991769209345,Inf,0.368644353336095,0.811061022014276,1,-3.00101473984982,0.0026908153949173,"Microglia4","Arteries",0.0309443770415489
