"celltype","region","contrast","type","log2_OR","odds.ratio","SE","p.value","p_adj","estimate"
"SMC","Arteries","Amyloid_effect","Amyloid",0.450613076519173,1.36662088201002,0.226042415572064,0.0589761371768513,0.140948487085914,NA
"VLMC1","Arteries","Amyloid_effect","Amyloid",-0.154171377337689,0.898648370083516,0.170867250113869,0.574094983177249,0.644106566491548,NA
"VLMC2","Arteries","Amyloid_effect","Amyloid",-0.613697176397457,0.653519787221128,0.116385366594148,0.0169135856857564,0.0864472157271992,NA
"Astrocytes1","Capillaries","Amyloid_effect","Amyloid",-0.420671593932868,0.747076769080605,0.230718260882207,0.345080879614518,0.547369671112684,NA
"Astrocytes2","Capillaries","Amyloid_effect","Amyloid",-0.758854572559338,0.590965341319847,0.216282096186024,0.150653418596133,0.346502862771107,NA
"Astrocytes3","Capillaries","Amyloid_effect","Amyloid",0.233057224033565,1.17532294630088,0.278015149399067,0.494650487203207,0.669233012098456,NA
"Astrocytes4","Capillaries","Amyloid_effect","Amyloid",0.102352886687671,1.07352284055825,0.23147097026196,0.742130254649508,0.884970702692789,NA
"Astrocytes5","Capillaries","Amyloid_effect","Amyloid",0.107002172307905,1.076987997844,0.327363495112313,0.807226971619617,0.903712626746032,NA
"Endothelial","Capillaries","Amyloid_effect","Amyloid",0.348352396870108,1.2731058698274,0.298960396059386,0.303836245531887,0.517646936832104,NA
"ExNeuron1","Capillaries","Amyloid_effect","Amyloid",-0.351245401848692,0.783907100450509,0.218580279174939,0.382580368112009,0.586623231105081,NA
"ExNeuron10","Capillaries","Amyloid_effect","Amyloid",1.00869701766306,2.01209304024006,0.408560116001652,0.000574603742219729,0.00652013199206251,NA
"ExNeuron11","Capillaries","Amyloid_effect","Amyloid",0.69173187124047,1.61522133408577,0.327098269054414,0.0179015829642039,0.0748611651230344,NA
"ExNeuron12","Capillaries","Amyloid_effect","Amyloid",0.338131199877669,1.26411805316472,0.227645441666112,0.193092275498506,0.386184550997013,NA
"ExNeuron13","Capillaries","Amyloid_effect","Amyloid",0.623894186460312,1.54102918677745,0.308771435843723,0.0309051572527868,0.109356710279092,NA
"ExNeuron14","Capillaries","Amyloid_effect","Amyloid",0.314234382412876,1.24335164928121,0.20027261184954,0.176300744153628,0.372635532788521,NA
"ExNeuron2","Capillaries","Amyloid_effect","Amyloid",1.11780305487382,2.17016247041161,0.437108630603061,0.000119696471049403,0.00275301883413626,NA
"ExNeuron3","Capillaries","Amyloid_effect","Amyloid",-0.550767771747837,0.68265673623303,0.229310665302123,0.255744447156587,0.47056978276812,NA
"ExNeuron4","Capillaries","Amyloid_effect","Amyloid",-0.501834097155539,0.706208408021804,0.224439587708382,0.273732120690952,0.484295290453222,NA
"ExNeuron5","Capillaries","Amyloid_effect","Amyloid",0.973671182852584,1.96383154562443,0.39140920571378,0.00070870999913723,0.00652013199206251,NA
"ExNeuron6","Capillaries","Amyloid_effect","Amyloid",-0.0459098200594256,0.968678737477199,0.275018956226804,0.910755868917094,0.930994888226362,NA
"ExNeuron7","Capillaries","Amyloid_effect","Amyloid",0.102992419012011,1.07399882802021,0.261698370108299,0.769539741471991,0.884970702692789,NA
"ExNeuron8","Capillaries","Amyloid_effect","Amyloid",0.454350443161572,1.37016576471593,0.320522778301089,0.178216993942336,0.372635532788521,NA
"ExNeuron9","Capillaries","Amyloid_effect","Amyloid",-0.117553147292275,0.92174963983206,0.25545218534142,0.768749757986692,0.884970702692789,NA
"Fibroblast","Capillaries","Amyloid_effect","Amyloid",0.404612389685507,1.323733213893,0.20633813422795,0.0719830124752761,0.206951160866419,NA
"InhNeuron1","Capillaries","Amyloid_effect","Amyloid",0.469904816925394,1.38501808730964,0.269063988266216,0.0936163712340306,0.239241837598078,NA
"InhNeuron2","Capillaries","Amyloid_effect","Amyloid",0.253412157716205,1.1920230701882,0.216599281956168,0.333706451829181,0.547369671112684,NA
"InhNeuron3","Capillaries","Amyloid_effect","Amyloid",0.639037380603342,1.55728973138214,0.272425305740431,0.0113395143125409,0.057957517597431,NA
"InhNeuron4","Capillaries","Amyloid_effect","Amyloid",0.42540203634832,1.34294669007975,0.247658028257986,0.109834572759701,0.265915281418224,NA
"InhNeuron5","Capillaries","Amyloid_effect","Amyloid",0.492070160658346,1.4064615968157,0.244512589813943,0.0497729302456261,0.163539627949914,NA
"Microglia1","Capillaries","Amyloid_effect","Amyloid",0.821320238803408,1.76702229000775,0.33604398145776,0.00275768668469133,0.0181219410708287,NA
"Microglia2","Capillaries","Amyloid_effect","Amyloid",0.04375806310808,1.03079544209497,0.169243193246719,0.853438345635342,0.912980555795947,NA
"Microglia3","Capillaries","Amyloid_effect","Amyloid",0.456847541467106,1.37253937884179,0.177160586435526,0.0141543785715399,0.0651101414290834,NA
"Microglia4","Capillaries","Amyloid_effect","Amyloid",0.271030558547977,1.20666947860576,0.312485048469487,0.468180801157086,0.669233012098456,NA
"Microglia5","Capillaries","Amyloid_effect","Amyloid",0.920551942053603,1.89283931187954,0.393674834587724,0.00215524649618987,0.016523556470789,NA
"Oligodendrocytes1","Capillaries","Amyloid_effect","Amyloid",-0.264436376253845,0.832523916811218,0.260950912394813,0.558702856027724,0.734295182207866,NA
"Oligodendrocytes2","Capillaries","Amyloid_effect","Amyloid",-0.846083815399048,0.556292740743825,0.191771540426203,0.0889034448048967,0.239241837598078,NA
"Oligodendrocytes3","Capillaries","Amyloid_effect","Amyloid",0.627332868778669,1.54470663068292,0.30313033188348,0.0267018601116491,0.102357130427988,NA
"Oligodendrocytes4","Capillaries","Amyloid_effect","Amyloid",0.133558069126953,1.09699585089417,0.3182463515637,0.749644922646169,0.884970702692789,NA
"Oligodendrocytes5","Capillaries","Amyloid_effect","Amyloid",0.675406704191153,1.59704692615251,0.395313758911229,0.0585807340663407,0.179647584470111,NA
"Oligodendrocytes6","Capillaries","Amyloid_effect","Amyloid",0.0641703400482696,1.04548353391605,0.320622287841969,0.884680477044931,0.924893226001519,NA
"Oligodendrocytes7","Capillaries","Amyloid_effect","Amyloid",-0.0283435298097465,0.980545491912663,0.308509177521606,0.950210591374336,0.950210591374336,NA
"Oligodendrocytes8","Capillaries","Amyloid_effect","Amyloid",-0.111083485430872,0.925892441719299,0.186096233347057,0.701654930943051,0.884970702692789,NA
