"gene","statistic","p.value","p_adj"
"RAB6B",0.792551185992905,3.01905090677591e-42,5.63837947349468e-38
"ENC1",0.787594641052894,2.15494893967754e-41,2.01229131987088e-37
"NRGN",0.783847052185437,9.20014039152563e-41,5.72739406507109e-37
"CAMK2A",0.772560546217201,6.14762542682383e-39,2.87032631178405e-35
"OLFM1",0.771033167561137,1.065605512335e-38,3.98024970967369e-35
"FBXL16",0.770324589834097,1.37338778079048e-38,4.27489836567383e-35
"DIRAS2",0.763391025556911,1.5689890825087e-37,4.18606287213322e-34
"NCS1",0.7564662091529,1.64630537718451e-36,3.84329990303724e-33
"PHYHIP",0.75551793970091,2.25761510373049e-36,4.6848021863634e-33
"PRKAR1B",0.751658378056835,8.04302331979013e-36,1.50211503520401e-32
"SYT1",0.747545128090733,3.03670397701548e-35,5.15577122497647e-32
"SNCB",0.738512074251947,5.14280473896651e-34,8.00391844207821e-31
"DLG4",0.737987201861547,6.04000629830661e-34,8.67716597132109e-31
"IDS",0.730525266044693,5.70291452684833e-33,7.60768797881567e-30
"RGS4",0.72877744098466,9.54538922712512e-33,1.1591166203179e-29
"SEPTIN3",0.728642723737791,9.93032015693209e-33,1.1591166203179e-29
"CABP1",0.727983134100522,1.20470029132261e-32,1.32346956710241e-29
"NELL2",0.727458261710122,1.40436474732813e-32,1.45710644561668e-29
"PPP3R1",0.72715033657442,1.53631505996871e-32,1.51011684526188e-29
"DMTN",0.72641901437713,1.90061034231735e-32,1.77478993765594e-29
"SEPTIN5",0.724944122960105,2.9131271869957e-32,2.49178072962242e-29
"CHN1",0.724917879340585,2.93527393722924e-32,2.49178072962242e-29
"RIMS3",0.72349897431187,4.41488861718006e-32,3.58488955715021e-29
"PCSK1N",0.722823638502889,5.35680066123873e-32,4.16848371455394e-29
"DNM1",0.721131799831166,8.67396254954548e-32,6.47979698301246e-29
"THY1",0.719049806015912,1.56202373450024e-31,1.12201366405871e-28
"AMPH",0.718580920013821,1.78198396908489e-31,1.23260491135664e-28
"CHGA",0.718201262318099,1.98219628886266e-31,1.32212492467139e-28
"PHACTR1",0.714373193017448,5.74379800857805e-31,3.69900591752426e-28
"GRIN1",0.712441662620775,9.76041951527837e-31,6.04265802513349e-28
"RTN1",0.712341936866599,1.00301134493006e-30,6.04265802513349e-28
"PACSIN1",0.710914283964711,1.47984576381756e-30,8.63674983908023e-28
"YWHAG",0.710688588836839,1.57335015986974e-30,8.90420835931132e-28
"DKK3",0.706316401824806,5.09691980528949e-30,2.79970806716431e-27
"NCDN",0.705882507315409,5.72079253436987e-30,3.05261489633976e-27
"PLD3",0.705254410021563,6.7590913720438e-30,3.50646640178583e-27
