"gene","statistic","p.value","p_adj"
"PSD",0.614162806667629,4.37862542797364e-21,4.08876042464178e-17
"FBXL16",0.610686401868546,8.35402562113898e-21,4.34170968756666e-17
"CAMK2A",0.610105543089836,9.29901410915969e-21,4.34170968756666e-17
"NCS1",0.590456070367892,3.07757530745592e-19,1.14953592884094e-15
"DIRAS2",0.574211269885009,4.66505657664685e-18,1.45207661042428e-14
"KCNAB2",0.571698880709627,7.00926327529049e-18,1.8700714418475e-14
"NEFL",0.566259453170448,1.67248588030746e-17,3.90441828757776e-14
"FXYD7",0.564187956803002,2.31943103301531e-17,4.81307710806599e-14
"ENC1",0.562615089206437,2.9686185562211e-17,5.54419201559853e-14
"PLEKHG5",0.560207674509135,4.32013103695077e-17,6.72356393717438e-14
"BSCL2",0.558559575203279,5.57555647439145e-17,7.81440943947328e-14
"RASD1",0.557760019595236,6.3069128672528e-17,7.85252698058755e-14
"AMPH",0.55429761139323,1.07144311506828e-16,1.1770748010009e-13
"RAB6B",0.547019380913015,3.20012630827153e-16,3.32030882962662e-13
"DMTN",0.545229566061751,4.17128122644371e-16,4.10014990447699e-13
"TESPA1",0.540691169459425,8.11114467125154e-16,7.57418689401469e-13
"PRKAR1B",0.540021082374348,8.94041452229785e-16,7.95100864849689e-13
"SEPTIN3",0.53887861013791,1.05492034439658e-15,8.95531470543206e-13
"SLC17A7",0.532461170377952,2.64162518325156e-15,2.02307833431341e-12
"ADCY1",0.532167241839328,2.75377509025877e-15,2.02307833431341e-12
"IDS",0.532008030547573,2.81645088306642e-15,2.02307833431341e-12
"RGS4",0.530825318094538,3.32771794873762e-15,2.3017948300231e-12
"CAMK2B",0.530188472927519,3.63947022532836e-15,2.42752664029402e-12
"NRGN",0.529478145625845,4.02088053148036e-15,2.58944706227335e-12
"NCDN",0.527457386922804,5.33214093833516e-15,3.31943547214492e-12
"SLC8A2",0.523855012750025,8.77835488977237e-15,5.1232673725434e-12
"GP1BB",0.521547323806899,1.20439952082704e-14,6.48992064651339e-12
"DLG4",0.521475591246878,1.21625199522365e-14,6.48992064651339e-12
"DNM1",0.521094183976521,1.28120974648688e-14,6.64663145149696e-12
