"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Regulation Of Insulin Secretion R-HSA-422356",2.6744639710732e-08,7.3948928800174e-07,0.73376198835648,-0.383198445992108,-2.5658601432324,77,"VAMP2;GNAS;SNAP25;PRKACB;STXBP1;GNAI1;ACSL3;AHCYL1;PRKAR1A;GNB1;PLCB1;MARCKS;PRKAR1B;GNG7;GNAQ;STX1A;GNAI2;KCNC2;PRKAR2B;CACNB3;SYT5;GNG3;GNB2;ACSL4;CACNA1E;RAPGEF4;GNG2"
"Iron Uptake And Transport R-HSA-917937",2.77015247672751e-08,7.47265521770885e-07,0.73376198835648,-0.449354444939793,-2.79543040038156,57,"SLC22A17;ATP6AP1;ATP6V0C;ATP6V0A1;ATP6V0E2;ATP6V1B2;SKP1;ATP6V1G2;ATP6V1F;ATP6V0B;ATP6V1A;NEDD8;ATP6V0D1;ATP6V1E1;TF;FBXL5;ATP6V1H;FTH1"
"Autophagy R-HSA-9612973",2.91455685254243e-08,7.67499971169507e-07,0.73376198835648,-0.307418496696977,-2.27011462953349,125,"DYNC1H1;GABARAPL2;HSP90AB1;TOMM20;VCP;PINK1;GABARAPL1;ULK1;MAP1LC3A;PARK7;GFAP;ATG12;TOMM7;TOMM5;DYNLL1;SQSTM1;RRAGA;ATG13;GABARAP;LAMTOR1;HSPA8;DYNC1I2;LAMP2;VPS28;CHMP4B;ATG9A;DYNC1LI2;HSP90AA1;VDAC1;DYNLL2;WIPI2;WIPI1;DYNC1I1;ATG3;MFN2;WDR45;ATG4C"
"DARPP-32 Events R-HSA-180024",3.44410486848412e-08,8.69160354139871e-07,0.719512826338911,-0.65794401383516,-3.1839778109774,24,"PDE4C;PPP3R1;PRKACB;PRKAR1A;CALM1;PPP2CB;PRKAR1B;PPP2CA;PPP3CB;PPP2R1A;PRKAR2B;PPP3CA;PPP2R5D;PDE4D;PRKCA"
"Formation Of Ternary Complex, And Subsequently, 43S Complex R-HSA-72695",3.4577807940465e-08,8.69160354139871e-07,0.719512826338911,-0.462721692701095,-2.80971473416238,50,"RPS15;EIF3K;EIF3C;EIF1AX;EIF3A;FAU;RPS16;RPS25;RPS29;RPS21;RPS12;RPS6;RPS14;RPS4Y1;RPS20;RPS7;EIF3G;RPS17;RPS3;EIF3H;EIF3I;RPS19"
"Long-term Potentiation R-HSA-9620244",4.06699509621154e-08,9.99577016979993e-07,0.719512826338911,-0.662753676828725,-3.13364259332052,23,"GRIA2;NRGN;CALM1;CAMK2A;CAMK2B;CAMK2G;NEFL;DLG1;CAMK2D;GRIN2B;LLGL1;GRIA1"
"Prefoldin Mediated Transfer Of Substrate To CCT/TriC R-HSA-389957",4.86726103581309e-08,1.1702588490455e-06,0.719512826338911,-0.617014586827056,-3.08984957748318,26,"TUBA1C;TUBB2B;TUBB4B;TUBB4A;TUBA4A;PFDN5;TUBB2A;VBP1;PFDN2;PFDN6;CCT2;TUBA3D;CCT8"
"DAG And IP3 Signaling R-HSA-1489509",5.13882454812106e-08,1.20926381919615e-06,0.719512826338911,-0.507954765195231,-2.84245657630608,39,"PRKACB;AHCYL1;PRKAR1A;CALM1;PRKAR1B;ADCY1;CAMK2A;CAMKK2;CAMK2B;CAMK2G;CAMK2D;GRK2;PRKAR2B;PDE1B;CAMKK1;PRKCG;CAMK4;PRKCA;ITPR1;ADCY6"
"GABA Synthesis, Release, Reuptake And Degradation R-HSA-888590",5.6115905460551e-08,1.29300398832019e-06,0.719512826338911,-0.706900854235636,-3.15618476306141,19,"VAMP2;SNAP25;RAB3A;SYT1;STXBP1;STX1A;CPLX1;HSPA8;DNAJC5"
"Acetylcholine Neurotransmitter Release Cycle R-HSA-264642",1.04436971298616e-07,2.3494260058227e-06,0.704975715167238,-0.721142583008098,-3.11298927294936,17,"VAMP2;SNAP25;RAB3A;SYT1;STXBP1;TSPOAP1;STX1A;CPLX1;PPFIA2"
