"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"ECM Proteoglycans R-HSA-3000178",0.866580310880829,0.923560934062034,0.0321428397352941,0.175232100718654,0.728839424852135,55,"MATN3;MUSK;ITGB3;FMOD;ITGB6;COMP;ASPN;LUM;MATN1;LAMB1;SERPINE1;ITGA8;TNNI3;ITGA9;HAPLN1;TNN;LAMA2;VTN"
"NEP/NS2 Interacts With Cellular Export Machinery R-HSA-168333",0.869918699186992,0.924017595307918,0.0875697115548511,-0.171440278928049,-0.75060363758332,34,"RANBP2;RAN;POM121C;NUP62;SEH1L;XPO1"
"Regulation Of Gene Expression In Late Stage (Branching Morphogenesis) Pancreatic Bud Precursor Cells R-HSA-210744",0.868758915834522,0.924017595307918,0.0366082221336689,0.229518716303768,0.685629134561132,15,"HNF1B;NEUROG3;MAML2;MAML3;ONECUT3"
"Termination Of Translesion DNA Synthesis R-HSA-5656169",0.870967741935484,0.924017595307918,0.0870515867946735,-0.179632725265933,-0.771528580862613,31,"RPS27A;UBA52;UBB;POLD4;USP32;POLE4"
"Transport Of SLBP Independent Mature mRNA R-HSA-159227",0.869918699186992,0.924017595307918,0.0875697115548511,-0.170343692428922,-0.745802538213229,34,"RANBP2;POM121C;EIF4E;NCBP2;NUP62;SEH1L"
"Transport Of Vitamins, Nucleosides, And Related Molecules R-HSA-425397",0.870757180156658,0.924017595307918,0.0322878452489437,0.182001015307887,0.72061579703212,43,"SLCO1B1;SLC28A2;SLC28A1;SLC28A3;LCN15;SLCO2A1;SLCO4C1;SLC35A3;SLC16A2;SLC35A1;SLC29A1;LCN12;SLC35B3"
"Transport Of SLBP Dependant Mature mRNA R-HSA-159230",0.872509960159363,0.924813009542213,0.0862865626267245,-0.170006199180453,-0.753693376375744,35,"RANBP2;POM121C;EIF4E;NCBP2;NUP62;SEH1L"
"TP53 Regulates Transcription Of Additional Cell Cycle Genes With Uncertain Roles In P53 Pathway R-HSA-6804115",0.877622377622378,0.929387762872336,0.0789209638180035,-0.18422451069898,-0.713769365038897,21,"NPM1;CNOT7"
"Signaling By Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R) R-HSA-2404192",0.88135593220339,0.932495351660341,0.0891647117820678,-0.155542198997196,-0.768575878459322,53,"GAB2;FGF1;GRB2;PTPN11;PIK3R1;AKT2;PIK3C3;FGFR3;IGF1R;IRS2;PIK3R2"
"Purine Catabolism R-HSA-74259",0.883687943262411,0.933270434196592,0.0355420211253902,0.218331411569808,0.666694944382724,16,"PPY;ADPRM;NUDT9;NUDT18;NUDT1;NT5E;NUDT15;NT5C1A;ITPA;NT5C;DNPH1;XDH"
"Synthesis Of PA R-HSA-1483166",0.883134130146082,0.933270434196592,0.0324330694656715,0.183643792120025,0.712507403222515,39,"PLA2G4A;LIPI;PLA2R1;PLA2G2D;PLD2;AGPAT4;PLA2G2F;PLA2G4D;ALPP;PLA2G1B"
"SUMOylation Of Ubiquitinylation Proteins R-HSA-3232142",0.88477366255144,0.933572209943518,0.0873098257637931,-0.165356786911888,-0.750730445348937,38,"RANBP2;PIAS2;POM121C"
"Cytosolic Sensors Of Pathogen-Associated DNA R-HSA-1834949",0.89440203562341,0.94287911072495,0.0297064584935533,0.167208683076922,0.716201243758093,62,"POLR3F;POLR3A;POLR3G;STING1;NLRP4;MYD88;POLR3B;CGAS;RIPK1;IRF3;ZBP1;POLR3C"
"Telomere Extension By Telomerase R-HSA-171319",0.897648686030429,0.945447668409305,0.0336033244336697,0.195765509037249,0.656415404779149,23,"PIF1;WRAP53;PPP6R3;CDK2;CCNA1"
"Diseases Associated With TLR Signaling Cascade R-HSA-5602358",0.89920424403183,0.945652488950076,0.0314928902471297,0.184558830814193,0.677465283028882,31,"CD36;TLR6;MYD88;S100A9;TIRAP;FGG;IRAK4;FGB;TLR5;FGA;BTK;TLR10;S100A8;LY96;IKBKB;TLR3;TLR2;TRAF3;CHUK;TLR4;UNC93B1;IKBKG"
"Triglyceride Metabolism R-HSA-8979227",0.899463806970509,0.945652488950076,0.0319980480340634,0.181132879621881,0.687195340954163,36,"MOGAT3;FABP2;PRKACG;PNPLA4;FABP9;MOGAT2;MOGAT1;GK2;AGMO;ABHD5;GK;FABP12;LIPE;CAV1;FABP6;LPIN3"
"Cell Junction Organization R-HSA-446728",0.905172413793103,0.950652459487474,0.0274480081801021,0.162135481351711,0.733719710618236,83,"FBLIM1;CDH8;CDH12;CDH17;CLDN14;CLDN9;LAMB3;COL17A1;LAMC2;CLDN1;NECTIN4;F11R;CLDN8;CDH5;PXDN;CLDN18"
"Phospholipase C-mediated Cascade; FGFR4 R-HSA-5654228",0.905848787446505,0.950652459487474,0.0346410167413251,0.216185639892557,0.645799939852858,15,"FGF20;FGF19;KLB;FGF8;FGF6"
"Intraflagellar Transport R-HSA-5620924",0.906882591093117,0.950882285539684,0.0850427463764322,-0.155637644633755,-0.726843460262258,41,"DYNLL1;DYNLL2"
"TNFR2 Non-Canonical NF-kB Pathway R-HSA-5668541",0.910112359550562,0.953412139672806,0.103958471559957,-0.136936220614347,-0.764392407636739,99,"SKP1;RPS27A;UBA52;PSMD14;PSMD8;UBB;CUL1;SEM1;PSMD10;PSMB2;PSMB7;TNFSF12;PSMF1;PSMD7;FBXW11;PSMC5;PSMD3;PSMA1;PSMD6"
"Peroxisomal Protein Import R-HSA-9033241",0.910941475826972,0.953424845103208,0.0287861460642093,0.164409926514436,0.704213391846678,62,"HAO1;GLYAT;EHHADH;CROT;DAO;HMGCL;NUDT7;NUDT19;PIPOX;KRTAP11-1;NANOS2;PEX10;IDE;BAAT;PECR;HAO2;EPHX2;ACOX1;SYCP2;GNPAT;PEX12;TYSND1;ZNF260;SLC27A2;IDH1;PEX14;PEX13;PEX7;ACOT4;UBE2D1"
"Caspase Activation Via Death Receptors In Presence Of Ligand R-HSA-140534",0.912981455064194,0.954703725860138,0.0342688261591917,0.212458276236577,0.634665383339123,15,"RIPK1;CASP8;TNFRSF10A;TANK;FASLG;TNFRSF10B;LY96;TNFSF10;TLR4"
"Interleukin-37 Signaling R-HSA-9008059",0.91958041958042,0.95988403367652,0.0764767053228531,-0.168701721923877,-0.65362703628145,21,"PTPN11;STAT3;PTPN5"
"MET Activates PTK2 Signaling R-HSA-8874081",0.919034090909091,0.95988403367652,0.0337507376805299,0.202586048920524,0.630873744278666,17,"LAMB3;LAMC2;LAMB1"
"DNA Replication R-HSA-69306",0.921820303383897,0.961296082949309,0.0235793094960052,0.152861085062483,0.752750744372867,151,"H2BC9;GINS4;H2BC11;SLC25A2;H2BC14;ORC4;POLD1;POLA1;MCM8;GINS3;H2AC4;DBF4;H2BC13;PSMD9;H2BC1;CDC45;UBE2C;RFC3;ORC6;PSMA6;H2AC7;CDC6;POLD3;POLR1B;GINS1;DNA2;H3C7;CDC7;H2BC15;MCM7;CDK2;PSMB11;CCNA1;CCNE2;PSMD5;H2AJ;MCM4;PRIM2;POLE;RPA4;CDT1;PSMA8;MCM6;PSMD12"
"Formation Of beta-catenin:TCF Transactivating Complex R-HSA-201722",0.92258064516129,0.961296082949309,0.0288567763564905,0.164535154392376,0.690843273385909,57,"H2BC9;LEO1;H2BC11;H2BC14;TCF7;H2AC4;H2BC13;H2BC1;AXIN2;H2AC7;H3C7;H2BC15;PYGO1"
"SHC-mediated cascade:FGFR4 R-HSA-5654719",0.925170068027211,0.963115794819705,0.0747385227439092,-0.176468824583143,-0.659882039361233,19,"FGF1;GRB2"
"SHC1 Events In ERBB2 Signaling R-HSA-1250196",0.925977653631285,0.963115794819705,0.0325785172778622,0.19184100789281,0.628121122185267,21,"NRG1;NRG4;EGFR;BTC;EREG;EGF;ERBB2"
"Inositol Phosphate Metabolism R-HSA-1483249",0.928478543563069,0.963238095238095,0.0289274314524646,0.166353136517329,0.672516210940268,48,"MIOX;NUDT10;MTMR7;OCRL;PLCH1;PLCD4;PLCZ1;PLCB4;PLCE1;PLCB2;INPP5D;INPP5J;IMPA2"
"Mitochondrial Translation Initiation R-HSA-5368286",0.928571428571429,0.963238095238095,0.0261139619405561,0.155449576329356,0.702022449923039,82,"MRPL44;MRPS31;MRPL23;MTIF2;MRPL58;MRPL47;MRPL54;MRPS7;MRPL13;MRPS27;MRPL12;MRPS11;MRPL3;MRPL37;MRPL11;MRPS10;MRPL1;MRPL17;MRPL39;ERAL1;MTFMT;MRPS18B;MRPS24;MRPL32"
"Transport Of Mature mRNAs Derived From Intronless Transcripts R-HSA-159234",0.927966101694915,0.963238095238095,0.0862865626267245,-0.149158407726996,-0.697174802069987,42,"RANBP2;POM121C;EIF4E;NCBP2;NUP62;SEH1L;SYMPK;CPSF1"
"Caspase Activation Via Extrinsic Apoptotic Signaling Pathway R-HSA-5357769",0.931849791376912,0.965780378807155,0.0320704174637537,0.183243428018653,0.628231480276942,25,"DAPK2;CASP3;RIPK1;CASP8;TNFRSF10A;TANK"
"Fanconi Anemia Pathway R-HSA-6783310",0.936254980079681,0.968645702962036,0.0824344091527096,-0.152956710689976,-0.678107388289352,35,"RPS27A;UBA52;UBB"
"SUMOylation Of DNA Damage Response And Repair Proteins R-HSA-3108214",0.936274509803922,0.968645702962036,0.0940503465727813,-0.146801295223808,-0.785857498337949,74,"RAD21;RANBP2;PIAS2;PHC3;POM121C;SUMO2;RING1;NUP62;PHC1;SEH1L;HDAC7;STAG2;PARP1;CBX4;TDG"
"Sphingolipid Metabolism R-HSA-428157",0.937346437346437,0.968895741703536,0.0254820564855004,0.153306607836528,0.70055477589313,87,"ALDH3B2;ENPP7;ARSL;ACER1;ESYT3;SPHK1;HEXB;SGPP2;GBA3;NEU4;SFTPA2;SPTSSB;SMPD2;SMPD1;PPM1L;SPTLC3;ARSI;ACER3;ARSJ;GLB1L;NEU2;ARSK;ARSD;ORMDL2;CERS3;ARSF;ARSH;ARSB;PRKD2;SGMS2"
"Phospholipid Metabolism R-HSA-1483257",0.939130434782609,0.969880723355137,0.131457611642763,-0.131515177571571,-0.826199570972183,207,"PIP4K2A;CLSTN1;PLD3;PI4KA;ARF3;PIK3R1;STARD7;PIP5K1C;PLEKHA1;PIP4K2B;PRKCSH;PLAAT3;DDHD2;RAB4A;RAB14;ETNPPL;CSNK2B;GPAT4;AGPAT1;LPCAT4;DGAT1;MTMR10;PNPLA6;PNPLA2;PLA2G12A;PIK3C3;GDPD1;CDS2;GPAT2;PI4KB;PIK3R2;PLA2G4C;PIP4K2C;PLEKHA2;MGLL;PLA2G5;PIK3C2B;INPP5F;GDE1;SLC44A2;MFSD2A;SLC44A1;PITPNM3;PIKFYVE"
"Cell-extracellular Matrix Interactions R-HSA-446353",0.942938659058488,0.972116324745274,0.0327241935806629,0.196223686932813,0.58616865246876,15,"FBLIM1;PXDN;ARHGEF6;FLNC;LIMS2;TESK1;VASP"
