"gene","statistic","p.value","p_adj"
"PKM",0.620006385947416,1.45159208770773e-21,3.11608434827927e-19
"PFKP",0.618583981769432,1.90319410705463e-21,4.03909694810822e-19
"CABP1",0.617903397236547,2.16550234647767e-21,4.54414851941763e-19
"STMN2",0.617723191049176,2.24069940487254e-21,4.64970023171106e-19
"ABR",0.617565729332056,2.30849860450044e-21,4.72207534729399e-19
"GPM6A",0.617525489115459,2.32614549127783e-21,4.72207534729399e-19
"CAMK2N1",0.617049604814829,2.54514638624313e-21,5.1110918182233e-19
"ATP6V0C",0.616913137993325,2.61159667162722e-21,5.18874249354361e-19
"EIF4A2",0.616027853228184,3.08593717178221e-21,6.06662764423207e-19
"ADCY1",0.614521469467736,4.09444282109347e-21,7.96539730486891e-19
"EPB41L1",0.613156801252695,5.28302004171842e-21,1.01717198246529e-18
"PEA15",0.612735153765741,5.71443680162391e-21,1.08900838476661e-18
"RGS4",0.612114054770434,6.41354095469083e-21,1.20989182696774e-18
"SLC8A1",0.611813127933271,6.78178194672585e-21,1.26656559637052e-18
"GABARAPL1",0.60971713752094,9.98859576469481e-21,1.84700014357862e-18
"GRIA2",0.609557926229185,1.02855376604094e-20,1.88326177790006e-18
"REEP5",0.608828353606529,1.17607653984254e-20,2.13246654933003e-18
"VSNL1",0.608702384232833,1.20356848586921e-20,2.16133125404743e-18
"EVL",0.608355968455169,1.28246244267134e-20,2.28107319803142e-18
"GNAS",0.608249244402455,1.30777441033213e-20,2.30415046107197e-18
"CADM3",0.608147769073644,1.3322956133876e-20,2.32541615660064e-18
"TMEM59L",0.606214489102337,1.89563685515397e-20,3.27804758396811e-18
"PRDX2",0.603108994125803,3.32354498595212e-20,5.69454368418732e-18
"CHGB",0.602403915548032,3.77220766277449e-20,6.36277838180872e-18
"RBFOX3",0.602389918950955,3.78168987138985e-20,6.36277838180872e-18
"NAPB",0.60186679613519,4.15334681905443e-20,6.92570582077326e-18
"GPI",0.601639351432683,4.32589460779001e-20,7.14959360133506e-18
"NPIPA1",0.600955267750528,4.88832828211785e-20,8.00828236814323e-18
"KCNAB2",0.600843294973909,4.98697599693827e-20,8.09884901902775e-18
"SYN1",0.600398903016704,5.39809210141348e-20,8.6909282832757e-18
"NELL2",0.599406894198848,6.43939427336253e-20,1.02788143119076e-17
"NTRK2",0.598126205566272,8.07886723954839e-20,1.27865190310005e-17
"CYFIP2",0.598050973856981,8.18697223678348e-20,1.28487305457284e-17
"COX6B1",0.59474777694673,1.46253434521734e-19,2.27619095260659e-17
"YWHAH",0.594417107340778,1.54943015663513e-19,2.39150062853865e-17
"TUBB2A",0.594018204324074,1.6610090131536e-19,2.54270527292267e-17
"SCG5",0.593649044076159,1.77126274099977e-19,2.68943926430176e-17
"CLSTN1",0.593367362559978,1.86018427625376e-19,2.80167754381575e-17
"ARF1",0.591530309193577,2.55731626833564e-19,3.82083509019491e-17
"SRI",0.590798986996286,2.90113722431841e-19,4.30013006360085e-17
"KIF5A",0.590669518473321,2.9665550405018e-19,4.36247101861508e-17
"MAP3K10",0.589742243916948,3.47924664581211e-19,5.07643830915523e-17
"PDXP",0.588613768277587,4.22125490945394e-19,6.11132997588851e-17
"CTSB",0.588423064642409,4.36111235212799e-19,6.26524109910326e-17
"MAPK1",0.585697227361598,6.9329645419853e-19,9.8352724342911e-17
"PRKCB",0.585681481189886,6.95146691650474e-19,9.8352724342911e-17
"MT3",0.584647482580797,8.27841793805004e-19,1.16246416098513e-16
"SYP",0.584533760229544,8.43869735201896e-19,1.17259194602025e-16
"APLP2",0.584507516610024,8.47611440954879e-19,1.17259194602025e-16
"TMEM130",0.584049128055741,9.1564960907048e-19,1.25740236022061e-16
"SNCA",0.583477017150205,1.00810775779183e-18,1.37426426894308e-16
"ISCU",0.582441268966483,1.19931350647654e-18,1.62307094543159e-16
"TSPYL1",0.582282057674728,1.23169490650945e-18,1.65490173194032e-16
"EEF1A2",0.581017115213864,1.52127164464799e-18,2.02937637396042e-16
"AMPH",0.58059196857764,1.63282340704747e-18,2.16273829432756e-16
"SYN2",0.579825654887655,1.85447375341214e-18,2.43902477596655e-16
"IQSEC1",0.579650697424189,1.90906943649469e-18,2.4932713843339e-16
"SLC17A7",0.579542223796839,1.94370602260808e-18,2.52087872765476e-16
"CALM3",0.579082085667922,2.09760187777012e-18,2.69176433854744e-16
"COX6A1",0.579062840346941,2.10429210445452e-18,2.69176433854744e-16
"SKP1",0.578922874376167,2.1535809415195e-18,2.73607331046382e-16
"BSG",0.577689424258727,2.63976252738332e-18,3.33109492982505e-16
"PPIA",0.577182047614674,2.86960132793923e-18,3.5968237852747e-16
"H4C12",0.576562698194002,3.1768358600238e-18,3.95537243478696e-16
"TSC22D1",0.576328255192956,3.30134859313017e-18,4.08317790233769e-16
"TOLLIP",0.576230279013415,3.35478829293742e-18,4.12197540519074e-16
"BEX1",0.576001084736273,3.48312919480164e-18,4.25169417268728e-16
"SPTBN2",0.57583487514598,3.57919589288122e-18,4.34058847373049e-16
"AGAP3",0.575752645138151,3.62767814231826e-18,4.37100109586683e-16
"BSN",0.57405030901862,4.78883918874972e-18,5.73310004417242e-16
"ID2",0.573980326033233,4.84365543777794e-18,5.76179037935928e-16
"ATP2B1",0.573880600279057,4.92283144694437e-18,5.81891139893247e-16
"PSD",0.571982311800443,6.69577206247598e-18,7.86479490810072e-16
"JPH4",0.571938572434577,6.74323866380755e-18,7.87104533032937e-16
"AP2M1",0.571614901127163,7.10487786860824e-18,8.24165832758556e-16
"BSCL2",0.571296478543654,7.47915408766235e-18,8.62226430501124e-16
"SIRPA",0.57074011380983,8.17996089123719e-18,9.37232819661017e-16
"NEFL",0.568600384031632,1.15257886174758e-17,1.3125343184145e-15
"LMO3",0.566768579389136,1.54278395508532e-17,1.74624443304082e-15
"ATP6V1B2",0.566266451468987,1.67063271124499e-17,1.87956244067539e-15
"LMO4",0.566182471886523,1.69300398757091e-17,1.89332589651942e-15
"NPDC1",0.56385728719705,2.44320553737619e-17,2.71603015571653e-15
"AHCYL1",0.563750563144335,2.48451650662984e-17,2.74561125904254e-15
"ACO2",0.563453135456442,2.60328574166698e-17,2.85993908890427e-15
"PRNP",0.56335865842617,2.64216207271442e-17,2.88567361812951e-15
"NUDCD3",0.56160033591833,3.47854410204541e-17,3.77705172382558e-15
"SYNPO",0.56125916886457,3.66851486195184e-17,3.96029962785044e-15
"ST6GALNAC6",0.561080712251834,3.77189004090596e-17,4.0484953105724e-15
"DTNA",0.559674054245561,4.69284281540006e-17,5.00820185259494e-15
"MAST1",0.559086197168313,5.13988503001071e-17,5.45411891025454e-15
"PDE4DIP",0.558659300957455,5.49037113963852e-17,5.76057142718478e-15
"PRKACA",0.558286641560271,5.81536149382631e-17,6.06746878540225e-15
"ADGRL1",0.55723689677947,6.83535709088677e-17,7.09206272385563e-15
"GUK1",0.555625538540942,8.75013856711906e-17,9.02859601544284e-15
"CDK5R1",0.553783236450638,1.15859978221452e-16,1.18890162267244e-14
"GABBR2",0.553662515800846,1.18003855788295e-16,1.20428415885366e-14
"COX5B",0.553085156171406,1.28805534778755e-16,1.30737617800436e-14
"SHC3",0.551288343021603,1.68984110770747e-16,1.70591743392133e-14
"ZBTB7A",0.551106387259597,1.7367881690928e-16,1.74096730002215e-14
"PARK7",0.551081893214712,1.7432045679168e-16,1.74096730002215e-14
"CHL1",0.551024157251768,1.75842078694394e-16,1.74682269239176e-14
"DYNLL1",0.550875443407821,1.79821467669764e-16,1.7769025027516e-14
"CAMKV",0.550021650986104,2.04430288700899e-16,2.00944214304104e-14
"CALM2",0.549099625153634,2.34705240997647e-16,2.2949503041215e-14
"ATP1A1",0.548282573799245,2.65166058670223e-16,2.57929234985682e-14
"KIFC2",0.548245832731917,2.66623008589248e-16,2.58002658466984e-14
"EIF3C",0.547810188647885,2.84506226205577e-16,2.7388857116574e-14
"GJA1",0.547334304347255,3.05382040624514e-16,2.92477691830945e-14
"MAPK10",0.546795435359778,3.30831246494292e-16,3.15234916302418e-14
"PDXK",0.546625726620215,3.39267074748003e-16,3.21632075532675e-14
"NPTXR",0.546557493209463,3.42717749893364e-16,3.23262459444872e-14
"KLC1",0.546508505119693,3.45216292073085e-16,3.23982887977736e-14
"BEX2",0.546473513626999,3.4701185802613e-16,3.240396730248e-14
"USP22",0.545450012465719,4.03765878051228e-16,3.75160773058942e-14
"ZMIZ2",0.544898896455799,4.37985603028315e-16,4.04941540700832e-14
"MATR3",0.544463252371767,4.67026763744252e-16,4.29664622644712e-14
"TSPYL4",0.543775669540343,5.16732953265173e-16,4.7306395270492e-14
"HPCA",0.543560471860279,5.33326159637941e-16,4.85873139385278e-14
"GABRB2",0.542886885625932,5.88701731637254e-16,5.33718133012493e-14
"EPN1",0.541947364047116,6.75423027095289e-16,6.09381664445972e-14
"NSMF",0.540586194981345,8.23590154486677e-16,7.39488929095826e-14
"UBXN6",0.539391235505868,9.79510140007846e-16,8.75279013147681e-14
"NDUFA4",0.53846221137486,1.12032442098645e-15,9.96341851730619e-14
"SUB1",0.536891093352929,1.4047190415517e-15,1.24334278767865e-13
"GLS",0.53651668438111,1.4822685384196e-15,1.30579468035492e-13
"EZR",0.536285740529334,1.53217204871968e-15,1.34341996159102e-13
"NRCAM",0.534865085925984,1.87728080036477e-15,1.63832225362675e-13
"ATP5F1B",0.534796852515232,1.8956409160246e-15,1.64665068593839e-13
"NAP1L3",0.534179252669195,2.07000338120634e-15,1.78978625682452e-13
"NDUFB8",0.534097022661365,2.09436943609626e-15,1.80250892113059e-13
"FAM171B",0.533526661330464,2.27125867634583e-15,1.94578105685481e-13
"C1QTNF4",0.533084018947893,2.41851655929936e-15,2.06247558271575e-13
"PRRC2A",0.532951051275659,2.46454531331354e-15,2.09217492142926e-13
"S100A1",0.532714858699978,2.54842565337428e-15,2.15359264716823e-13
"GLUL",0.531757841374816,2.917766351586e-15,2.45460380100091e-13
"TNIK",0.531700105411872,2.94164754228302e-15,2.46359683855057e-13
"UQCRHL",0.531079006416565,3.21093269818606e-15,2.67711513711263e-13
"NDUFS5",0.530576878496415,3.44610290120541e-15,2.86041856812943e-13
"RAP1GAP",0.530445660398815,3.51027989836936e-15,2.90079590185602e-13
"ATP5IF1",0.529623360320522,3.93986107749005e-15,3.24144693758609e-13
"ATP5MF",0.528981266429599,4.31060085815938e-15,3.53091147486775e-13
"KHDRBS3",0.528573615539722,4.56342937525245e-15,3.7216858957299e-13
"SULT4A1",0.528421402546506,4.66149852120142e-15,3.78513679921555e-13
"STMN1",0.527098724122698,5.60496965434034e-15,4.53153304175152e-13
"ARRB1",0.526120711901919,6.42004986729853e-15,5.16814014317531e-13
"SLC8A2",0.525601088235423,6.89905923580589e-15,5.52990687930948e-13
"NRXN2",0.524323898752116,8.22956404362219e-15,6.56817684096958e-13
"PTPRN2",0.523060705865886,9.79059463281498e-15,7.78081469627458e-13
"COX6C",0.522527085602313,1.05336919097826e-14,8.3358995808093e-13
"SYT11",0.521130925043849,1.27480782571654e-14,1.00457008240853e-12
"PTPRN",0.520788008415454,1.33579347213124e-14,1.04820499519005e-12
"SGSM2",0.520586807332467,1.37289157548758e-14,1.07280849639356e-12
"ATP5F1D",0.519809996194675,1.52579128195273e-14,1.18731991590622e-12
"CBX7",0.519474077864819,1.59694462814673e-14,1.23753269191984e-12
"GOT1",0.519190646774003,1.65949029131196e-14,1.28068763142736e-12
"VAMP2",0.518650028211891,1.78548661219529e-14,1.37225300285429e-12
"UGP2",0.518392840740595,1.84865718765756e-14,1.41498039494642e-12
