"gene","statistic","p.value","p_adj"
"PLP1",0.849800767188477,3.55305878903758e-54,6.63569259440658e-50
"LAMP2",0.803944416013856,2.66955072420306e-44,2.49282646626082e-40
"CNP",0.796657437660469,5.68724121511883e-43,3.54049723111864e-39
"QKI",0.793179283286751,2.34446442689735e-42,1.09463044091837e-38
"PTGDS",0.776337877853447,1.54821919174198e-39,5.78290832499463e-36
"S100B",0.767504275523013,3.73692311138207e-38,1.16317960046953e-34
"SCD",0.757428475201966,1.19317030729428e-36,3.18337837986113e-33
"MARCKSL1",0.742567588255105,1.46512916052232e-34,3.42034402523936e-31
"GPRC5B",0.741129437905409,2.29310339448828e-34,4.75844433282924e-31
"SEPTIN4",0.739906485235777,3.3484798331361e-34,6.25362093636498e-31
"HSPA2",0.737980203563009,6.05295470874384e-34,1.02768165582273e-30
"GPM6B",0.734323592576555,1.83602108426627e-33,2.85746081414641e-30
"CERCAM",0.730168352819221,6.33751063229208e-33,9.10456527451438e-30
"MAG",0.718503938729896,1.82090117895213e-31,2.42908217272215e-28
"BCAS1",0.717349219471016,2.51565125677833e-31,3.13215352477281e-28
"GFAP",0.716238239578003,3.42797829489451e-31,4.00130766471562e-28
"CLDND1",0.713928801060242,6.4915223322451e-31,7.13151006335349e-28
"FTH1",0.706573589296102,4.75926099994005e-30,4.93799769082668e-27
"SEPTIN7",0.702152414194299,1.53048861919527e-29,1.50438976063636e-26
"PIP4K2A",0.701058930047632,2.0363846995324e-29,1.90157603242336e-26
"EFHD1",0.698119644661392,4.3599006047878e-29,3.87740493785795e-26
"SPP1",0.692729205211983,1.71989160616093e-28,1.46003161984825e-25
"MBP",0.691191329108111,2.53017605876771e-28,2.05450295971938e-25
"CRYAB",0.689452251921252,3.903701059023e-28,3.03773004076306e-25
"APOD",0.688873142717177,4.50707509754392e-28,3.36696538086921e-25
"EDIL3",0.685157046193144,1.12454479118148e-27,8.07769173850206e-25
"ERMN",0.680956317495309,3.11012330243981e-27,2.15128380727281e-24
"CSRP1",0.678648628552183,5.39954356253691e-27,3.60149555621212e-24
"DBNDD2",0.672351909442017,2.37179984821033e-26,1.52743910224746e-23
"CD9",0.671534858087627,2.86628270883544e-26,1.78435652900702e-23
"APLP1",0.666513578886133,9.05814412269609e-26,5.45709353662814e-23
"PAQR6",0.662214874008757,2.38345952640085e-25,1.3910465660957e-22
"RPS12",0.66028159403745,3.66373065210115e-25,2.07344950480731e-22
"MOBP",0.655144842910067,1.1308215457258e-24,6.21153623175735e-22
"SHTN1",0.654061856211208,1.4301363075817e-24,7.63120733725596e-22
"SUN2",0.653683948090121,1.55190940999061e-24,8.05096115027348e-22
"CLDN11",0.645223005156871,9.38353627106224e-24,4.73640333509077e-21
"PTMA",0.640493904919366,2.50348153021727e-23,1.23039529100889e-20
"TMEM63A",0.635472625717872,6.96589308602409e-23,3.33576972498938e-20
"TSC22D4",0.634583841803462,8.33282834352648e-23,3.89059755359251e-20
"PLEKHB1",0.628411342492357,2.84643784223998e-22,1.29658714979693e-19
"SEPTIN8",0.625849965227204,4.70111102317515e-22,2.0840262668959e-19
"LAMP1",0.625744990749124,4.79830421270742e-22,2.0840262668959e-19
"NDRG2",0.620882922839385,1.22758702559296e-21,5.21054892953957e-19
"ZCCHC24",0.613898620897794,4.6002382406989e-21,1.9092010974065e-18
"TUBB4A",0.611097551907692,7.74273951515748e-21,3.14355224315393e-18
"MAL",0.607050785777708,1.62791511520964e-20,6.4687112109905e-18
"LPAR1",0.606735862343468,1.72406902045785e-20,6.70806521376474e-18
"ANLN",0.603208719879979,3.2644668771516e-20,1.24422823260578e-17
"NCAM1",0.602641857698347,3.61453146727234e-20,1.35009979365556e-17
"PCSK6",0.598105210670656,8.10889450955168e-20,2.96944536981151e-17
"OPALIN",0.595195668053204,1.35241003758177e-19,4.85723266574559e-17
"H3-3A",0.593713778337642,1.75142371776635e-19,6.17162063264234e-17
"DPYSL2",0.590197133321961,3.21773062234066e-19,1.11285809449693e-16
"TPPP3",0.58760251413875,5.01648603781285e-19,1.70341624076714e-16
"CA2",0.58542429371859,7.26061006007462e-19,2.42141345503488e-16
"MYRF",0.584656230453971,8.26621302300208e-19,2.70841744592258e-16
"S100A1",0.579211554190887,2.05313323014516e-18,6.61108900106742e-16
"UGT8",0.578922874376167,2.1535809415195e-18,6.81699621420647e-16
"ITM2B",0.578765412659047,2.21038295174188e-18,6.88018533445521e-16
"CBR1",0.575691410025937,3.66419909930871e-18,1.1218456127654e-15
"TUBA1C",0.575556692779068,3.74581706274309e-18,1.128336765545e-15
