"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Neuronal System R-HSA-112316",1.83139247006436e-24,2.09877577069375e-21,1.27903397725049,0.52332595900543,1.96599703549628,386,"CAMK2A;NRGN;PRKAR1B;KCNAB2;SHANK1;NEFL;CAMK2B;SLC1A2;SYN2;CALM1;MAPK1;ADCY1;SYT1;CAMK2G;GABRB2;STXBP1;NRXN2;CACNB1;GNB1;SLC17A7;KCNQ2;NPTN;MAPT;GABBR2;EPB41L1;GRIA2;TSPAN7;PRKCB;RAB3A;GRIA1;SNAP25;CACNA1E;ABAT;GPRIN1;CACNA1B;APBA1;GNG2;DLGAP1;GIT1;SYT7;GABRA2;DLGAP3;CACNB4;GLRB;CACNB3;PLCB1;NRXN1;GABRB3;SYN1;SHANK3;STX1A;KCNQ5;CACNG3;GABRA5;NSF;LRRTM4;SLC1A3;DLGAP4;CACNA2D1;AP2M1;PRKCA;CPLX1;CACNA2D3;PRKCG;GABRA1;HOMER1;SIPA1L1;PPFIA4;RTN3;KCNB1;ADCY2;CAMKK1;ARHGEF9;KCNC1;AP2B1;KCNV1;GRIA4;SLITRK5;AP2A1;HCN2;KCNN1;HSPA8;HCN1;KCND3;GABRB1;KCNJ6;GRM5;GABRA4;RIMS1;PRKAR2B;LRRC4B;SHANK2;VAMP2;CAMKK2;SLITRK3;CACNB2;GRIN2B;PTPRS;GABRA3;GNG3;PANX1;SYN3;KCNA2;PPFIA1;GLS2;FLOT1;GNG13;CACNG2;GAD1;KCNJ4;PPFIBP1;ARHGEF7;PRKAG2;MAPK3;ERBB4;RASGRF2;CHRNB2;LRRTM1;CACNA1A;GABRG2;NLGN2;KCNN3;CAMK2D;GNB4;PPM1E;KIF17;SLITRK4;NLGN4X;KCNK10;KCNG1;CAMK1;SLITRK6;SLITRK1;GNG7;NTRK3;KCNC3;PRKAR1A;GLRA3;AP2S1"
"Transmission Across Chemical Synapses R-HSA-112315",4.19429410383111e-20,2.40333052149523e-17,1.16017957183021,0.558367738549673,2.06474238607445,246,"CAMK2A;NRGN;PRKAR1B;NEFL;CAMK2B;SLC1A2;SYN2;CALM1;MAPK1;ADCY1;SYT1;CAMK2G;GABRB2;STXBP1;CACNB1;GNB1;SLC17A7;NPTN;MAPT;GABBR2;EPB41L1;GRIA2;TSPAN7;PRKCB;RAB3A;GRIA1;SNAP25;CACNA1E;ABAT;GPRIN1;CACNA1B;APBA1;GNG2;GIT1;GABRA2;CACNB4;GLRB;CACNB3;PLCB1;GABRB3;SYN1;STX1A;CACNG3;GABRA5;NSF;SLC1A3;CACNA2D1;AP2M1;PRKCA;CPLX1;CACNA2D3;PRKCG;GABRA1;PPFIA4;ADCY2;CAMKK1;ARHGEF9;AP2B1;GRIA4;AP2A1;HSPA8;GABRB1;KCNJ6;GABRA4;RIMS1;PRKAR2B;VAMP2;CAMKK2;CACNB2;GRIN2B;GABRA3;GNG3;SYN3;PPFIA1;GLS2;GNG13;CACNG2;GAD1;KCNJ4;ARHGEF7;PRKAG2;MAPK3;ERBB4;RASGRF2;CHRNB2;CACNA1A;GABRG2;CAMK2D;GNB4;PPM1E;KIF17;CAMK1"
"Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314",1.12133275972948e-13,4.2834911421666e-11,0.954541630725724,0.534586703787168,1.95348798040224,182,"CAMK2A;NRGN;PRKAR1B;NEFL;CAMK2B;CALM1;MAPK1;ADCY1;CAMK2G;GABRB2;GNB1;NPTN;MAPT;GABBR2;EPB41L1;GRIA2;TSPAN7;PRKCB;GRIA1;GPRIN1;APBA1;GNG2;GIT1;GABRA2;GLRB;PLCB1;GABRB3;CACNG3;GABRA5;NSF;AP2M1;PRKCA;PRKCG;GABRA1;ADCY2;CAMKK1;ARHGEF9;AP2B1;GRIA4;AP2A1;GABRB1;KCNJ6;GABRA4;PRKAR2B;CAMKK2;GRIN2B;GABRA3;GNG3;GNG13;CACNG2;KCNJ4;ARHGEF7;PRKAG2;MAPK3;ERBB4;RASGRF2;CHRNB2;GABRG2;CAMK2D;GNB4;PPM1E;KIF17;CAMK1;GNG7;PRKAR1A;GLRA3;AP2S1;GNAL;GNB2"
"Protein-protein Interactions At Synapses R-HSA-6794362",4.23595880790295e-11,1.2136021984642e-08,0.851339057116899,0.605931689084984,2.12392751310703,88,"SHANK1;SYT1;STXBP1;NRXN2;EPB41L1;GRIA1;GPRIN1;APBA1;DLGAP1;SYT7;DLGAP3;NRXN1;SHANK3;STX1A;LRRTM4;DLGAP4;HOMER1;SIPA1L1;PPFIA4;RTN3;GRIA4;SLITRK5;GRM5;LRRC4B;SHANK2;SLITRK3;GRIN2B;PTPRS;PPFIA1;FLOT1;PPFIBP1;LRRTM1;NLGN2;SLITRK4;NLGN4X;SLITRK6;SLITRK1;NTRK3"
"Ion Homeostasis R-HSA-5578775",7.47874717903521e-11,1.71412885343487e-08,0.839088935621274,0.691935983617955,2.25715942120852,49,"CAMK2A;FXYD7;CAMK2B;SLC8A2;CALM1;SLC8A1;ATP1A2;CAMK2G;ATP2B1;ATP2A2;ATP1A3;FXYD1;ITPR1;SRI;ATP1B2;PRKCA;RYR2;AHCYL1;ATP1B3;ATP2B3;RYR3;CAMK2D;ORAI2;DMPK"
"Neurotransmitter Release Cycle R-HSA-112310",2.585471260556e-09,4.93825010766195e-07,0.774939030136436,0.668526139365259,2.18191377861424,50,"SLC1A2;SYN2;SYT1;STXBP1;SLC17A7;RAB3A;SNAP25;ABAT;APBA1;SYN1;STX1A;SLC1A3;CPLX1;PPFIA4;HSPA8;RIMS1;VAMP2;SYN3;PPFIA1;GLS2;GAD1"
"Neurexins And Neuroligins R-HSA-6794361",3.71896521633985e-09,6.08847733989352e-07,0.774939030136436,0.648334059805693,2.15899603013318,57,"SHANK1;SYT1;STXBP1;NRXN2;EPB41L1;GPRIN1;APBA1;DLGAP1;SYT7;DLGAP3;NRXN1;SHANK3;STX1A;LRRTM4;DLGAP4;HOMER1;SIPA1L1;GRM5;SHANK2;GRIN2B"
"Glutamate Binding, Activation Of AMPA Receptors And Synaptic Plasticity R-HSA-399721",6.72866753210595e-09,9.63881623974177e-07,0.761460801445585,0.730525030012704,2.22679617050216,31,"CAMK2A;CAMK2B;CAMK2G;EPB41L1;GRIA2;TSPAN7;PRKCB;GRIA1;CACNG3;NSF;AP2M1;PRKCA;PRKCG;AP2B1;GRIA4;AP2A1"
"Cardiac Conduction R-HSA-5576891",1.96783241670325e-08,2.48164382959302e-06,0.73376198835648,0.519929633542407,1.86656125292468,125,"CAMK2A;FXYD7;CAMK2B;SLC8A2;CALM1;SLC8A1;ATP1A2;CAMK2G;CACNB1;ATP2B1;ATP2A2;ATP1A3;SCN3B;FXYD1;ITPR1;SRI;ATP1B2;SCN2A;FGF12;FGF13;SCN1B;PRKCA;RYR2;KCND3;SCN2B;CACNB2;AHCYL1;ATP1B3;KCNIP2;ATP2B3;KCNJ4;CACNG7;RYR3;CAMK2D;ORAI2;SCN8A;AKAP9;KCNK10;DMPK;HIPK1"
"PLC Beta Mediated Events R-HSA-112043",2.16548327189618e-08,2.48164382959302e-06,0.73376198835648,0.656118107712574,2.12263919725147,47,"CAMK2A;PRKAR1B;CAMK2B;CALM1;MAPK1;ADCY1;CAMK2G;ITPR1;PLCB1;PDE1B;GRK2;PRKCA;PRKCG;ADCY2;CAMKK1;PRKAR2B;GNAQ;CAMKK2;AHCYL1"
