"gene","statistic","p.value","p_adj"
"GH1",0.338750016402262,1.74739168273033e-06,0.000168481864028455
"CBLC",0.338729021506646,1.75013287757123e-06,0.000168481864028455
"ZSCAN5C",0.338639793200278,1.76182875467485e-06,0.000168738019601577
"TRIM63",0.338538317871467,1.77522049389706e-06,0.00016915315277562
"CLDN24",0.337698522046827,1.88983422448419e-06,0.000175892087041765
"GAB4",0.337698522046827,1.88983422448419e-06,0.000175892087041765
"CLCA1",0.337675777576577,1.8930343486504e-06,0.000175892087041765
"ZNF816",0.337161402633985,1.96680065478809e-06,0.000181841430835754
"RAC2",0.33673975514703,2.02930393736686e-06,0.000186695962237751
"C1orf158",0.336402087242539,2.08071854877673e-06,0.00018955853471685
"PLA2G3",0.336200886159552,2.1119417767066e-06,0.000191469051562002
"GPR137B",0.335599032485227,2.2080267362415e-06,0.00019669725838814
"PLA2G2C",0.335576288014976,2.21173828772271e-06,0.00019669725838814
"POLR1F",0.33532259969295,2.25354122421885e-06,0.000199465099068774
"RHO",0.334444313226347,2.40415513733755e-06,0.000209813090396804
"SULT1E1",0.334057657232085,2.47345761564261e-06,0.000214688449373192
"UGT2B7",0.334005169993045,2.48301055175677e-06,0.000214688449373192
"C19orf54",0.333438307811413,2.58844609666017e-06,0.00022277336083514
"ROPN1L",0.332666745397525,2.73882231430482e-06,0.000232501116099804
"KRTAP9-6",0.332385063881344,2.79576572213617e-06,0.000234165454827909
"TRIM62",0.332299334724245,2.81331881937713e-06,0.000234165454827909
"SMIM28",0.332227602164224,2.82808666232402e-06,0.000234165454827909
"RIPPLY3",0.33216636705201,2.84075170760841e-06,0.000234165454827909
"LRRC23",0.33214012343249,2.84619609369968e-06,0.000234165454827909
"PIMREG",0.332033399379776,2.8684390830482e-06,0.000234951299245251
"CARD17",0.331973913842197,2.88090852040921e-06,0.000234951299245251
"KIF2B",0.331744719565056,2.9294365513096e-06,0.00023787024796634
"PPM1D",0.331672987005034,2.94478387791174e-06,0.00023808131473541
"PLB1",0.33143504485472,2.99624182704206e-06,0.000239651255663649
"ZGLP1",0.331324821652736,3.020367917085e-06,0.000239651255663649
"AKR1C4",0.331246090794176,3.03771389926667e-06,0.000239651255663649
"PYROXD2",0.331242591644906,3.03848702777612e-06,0.000239651255663649
"RPP25",0.331242591644906,3.03848702777612e-06,0.000239651255663649
"C16orf95",0.331230344622464,3.0411944523605e-06,0.000239651255663649
"C1QTNF9",0.331118371845845,3.06605471843317e-06,0.00024059511731705
"KRT80",0.330220840058261,3.27243106537996e-06,0.000255715157226093
"PRM3",0.330028386848447,3.31837204456363e-06,0.000258224651267793
"MUC17",0.328899911209087,3.60034630241872e-06,0.000275643605775982
"FANCB",0.328542997983615,3.69417351126742e-06,0.00028009656381498
"TREM1",0.32846601669969,3.71471337530396e-06,0.00028009656381498
"LST1",0.328460767975786,3.71611776809783e-06,0.00028009656381498
"SIRT6",0.328406531162111,3.73065942233856e-06,0.00028009656381498
"TMPRSS2",0.328392534565034,3.73442088187675e-06,0.00028009656381498
"LHX9",0.328303306258666,3.75848509828e-06,0.000280773870781909
"SCAMP3",0.327998880272234,3.84170109150041e-06,0.000284712736447864
"GNLY",0.327843168129748,3.88493989463346e-06,0.00028677919949476
"FOXL1",0.327767936420458,3.90599595737466e-06,0.000287198348424918
"ITPKC",0.327055859544148,4.11074086722903e-06,0.000298042809723217
"IFNA6",0.326947385916799,4.1428120789184e-06,0.000298042809723217
"WRAP73",0.326919392722644,4.15112704926646e-06,0.000298042809723217
"GFRA4",0.326872154207508,4.16519454582136e-06,0.000298042809723217
"TP53I3",0.326749683983082,4.20187717661758e-06,0.000298808112167418
"OR4C6",0.326719941214292,4.21083204751018e-06,0.000298808112167418
"ULBP1",0.326539735026922,4.26547715143849e-06,0.000298808112167418
"OR10X1",0.326518740131306,4.27188723220715e-06,0.000298808112167418
"TCEANC",0.325841654747689,4.48359058187155e-06,0.000312189966193505
"SLC36A1",0.325792666657919,4.49928827486493e-06,0.000312189966193505
"TSSK1B",0.325748927292052,4.51334819405902e-06,0.000312189966193505
"CASP3",0.325621208343721,4.55464250611209e-06,0.000313883776546677
"PLBD1",0.325353523424617,4.64235861220335e-06,0.000318752534711433
"ZNF26",0.324602955906345,4.89694867347344e-06,0.000333778881116022
"SLC38A8",0.324414001845801,4.96310059202978e-06,0.000334873522547349
"ABCC10",0.324408753121897,4.96495020810763e-06,0.000334873522547349
"PRAMEF6",0.324039592873982,5.09669523404855e-06,0.000341168029358748
"CYLC1",0.323917122649556,5.14113086161691e-06,0.00034275376379136
"TMEM229A",0.323873383283689,5.15708972078455e-06,0.00034275376379136
"TRPM1",0.323691427521684,5.22398499664861e-06,0.000344384361821249
"KCNJ14",0.323675681349972,5.22981259676685e-06,0.000344384361821249
"UTY",0.32365643602899,5.23694360447819e-06,0.000344384361821249
"SERTM2",0.323575955595796,5.26686436461711e-06,0.000345136697802067
"NPS",0.323428991326484,5.32192169300846e-06,0.000345499576363454
"NMUR1",0.323385251960617,5.33841306661506e-06,0.000345499576363454
"SLC23A3",0.323320517699134,5.36290939366135e-06,0.000345499576363454
"AOC1",0.32331526897523,5.3649002540909e-06,0.000345499576363454
"FAS",0.323042335332222,5.46939767044345e-06,0.000351018800320281
"ABHD16B",0.32287262659266,5.53534513378396e-06,0.000353087886011912
"ZNF738",0.322862129144852,5.53944905769384e-06,0.000353087886011912
"C16orf86",0.322744907644329,5.58547291363424e-06,0.000354263232788831
"HIPK2",0.322718664024809,5.59582639069956e-06,0.000354263232788831
"ADH4",0.322433483359358,5.7095154725304e-06,0.000358351786622336
"PABPC3",0.322412488463742,5.71797132220261e-06,0.000358351786622336
"COLEC11",0.32205557523827,5.8635528027158e-06,0.000366246528908094
"PRB3",0.3220065871485,5.8838070914818e-06,0.000366286604135047
"NLRC4",0.321957599058729,5.90412779080247e-06,0.000366330533624674
"PLGLB1",0.321908610968958,5.92451510592587e-06,0.000366378291782356
"ANKRD31",0.321616432004969,6.04750577803885e-06,0.00037152374312715
"TMEM31",0.320913103001833,6.35358264977072e-06,0.000387702235747134
"TMPRSS4",0.320864114912062,6.3754402608249e-06,0.000387702235747134
