method,celltype,n_comparable,n_method_nonzero,method_fraction_nonzero,spearman_rho,pearson_r,mean_abs_difference,mean_comparison_method,mean_baseline,comparison_status
DWLS,ExNeuron1,190,184,0.968421052631579,0.7031403159291921,0.49917458190686526,0.15946404773485304,0.16899805746019528,0.010178813829263158,evaluable
DWLS,OPC3,190,188,0.9894736842105263,0.42689289842975314,0.36748239493110624,0.006858815644018175,0.010272092636780071,0.004891820908947369,evaluable
DWLS,VLMC1,190,190,1,0.41655709955517056,0.190506136829233,0.018513054092174158,0.024371051408245043,0.008532079840421052,evaluable
DWLS,Astrocytes5,190,187,0.9842105263157894,0.36037014065785034,0.47034857193677554,0.013462877497624334,0.015507937546558732,0.01158014728368421,evaluable
DWLS,Microglia3,190,190,1,0.3334855463265493,0.31029057441377056,0.03441098871257542,0.03999689325185024,0.006308887760789474,evaluable
DWLS,Pericytes,190,189,0.9947368421052631,0.32692289187191365,0.21339197587654263,0.011134967204137963,0.011548730356991043,0.01207553852863158,evaluable
DWLS,SMC,190,190,1,0.2762342155563428,0.26466807818375243,0.04591011319811293,0.05468860962891395,0.008784478186,evaluable
DWLS,Microglia5,190,190,1,0.2693233957494084,0.11539889158457949,0.026416381466385613,0.03925395997486001,0.035915838901052634,evaluable
DWLS,Astrocytes2,190,190,1,0.2163987630507333,0.25237084167468193,0.07737895477082782,0.09651749563019624,0.019138540859368423,evaluable
DWLS,OPC1,190,95,0.5,0.16149367527180647,0.12608204153306746,0.005393728773947354,1.4811082308488725e-17,0.005393728773947368,evaluable
DWLS,ExNeuron8,190,108,0.5684210526315789,0.13981525714049783,0.23593483883229935,0.0042681723185789226,2.4730184111880894e-17,0.004268172318578948,evaluable
DWLS,Microglia2,190,190,1,0.11159924243418319,0.029675803952469104,0.05939642012970829,0.06707550701647712,0.007745073200526316,evaluable
DWLS,ExNeuron3,190,91,0.4789473684210526,0.1028631124370574,-0.010803656882196852,0.03651652130773682,2.3464044103630067e-17,0.03651652130773684,evaluable
DWLS,ExNeuron4,190,88,0.4631578947368421,0.08647985409295852,0.12466435273418289,0.025225514948315767,2.2497357044469824e-17,0.025225514948315788,evaluable
DWLS,Oligodendrocytes5,190,105,0.5526315789473685,0.07935070065987064,0.05252320861813906,0.012447718132157884,1.0521251916266667e-17,0.012447718132157894,evaluable
DWLS,Oligodendrocytes3,190,98,0.5157894736842106,0.0734331882251458,-0.08800951769905956,0.006797959728540403,8.614069655112772e-10,0.006797960589947368,evaluable
DWLS,Microglia1,190,145,0.7631578947368421,0.06743960889376505,0.08104721542159934,0.009781325020733455,0.0056135892715743815,0.00810928917468421,evaluable
DWLS,ExNeuron13,190,184,0.968421052631579,0.03587295269716833,-0.01761333166748954,0.08332316554498212,0.08630885846372667,0.004783542487157895,evaluable
DWLS,Endothelial,190,190,1,0.024089018357411854,0.07274096019435926,0.09375190367618941,0.10879989190611992,0.01822111767242105,evaluable
DWLS,ExNeuron11,190,89,0.46842105263157896,0.018820570225451385,0.10521791253733706,0.005246447047842083,2.2066248991548397e-17,0.005246447047842105,evaluable
DWLS,Oligodendrocytes6,190,102,0.5368421052631579,0.0103219927937032,0.06966976227380038,0.011965081489842103,2.2150262496206304e-18,0.011965081489842105,evaluable
DWLS,Oligodendrocytes1,190,109,0.5736842105263158,0.008307205594335,-0.08853872841900326,0.018341129372608213,1.4318154968189307e-7,0.018341272554157895,evaluable
DWLS,Astrocytes3,190,97,0.5105263157894737,0.003794142916365257,0.019867060695985567,0.006241401719988145,1.770774945325163e-4,0.006210501673421053,evaluable
DWLS,Oligodendrocytes2,190,190,1,-0.008048918106785288,-0.2306428933054733,0.0716445497353112,0.04004164759622302,0.07015550219421053,evaluable
DWLS,Astrocytes4,190,100,0.5263157894736842,-0.01502655589432941,-0.09067700302200414,0.007395550338042785,2.8627958139121302e-5,0.007399237234,evaluable
DWLS,Astrocytes1,190,95,0.5,-0.04125552869999329,0.05382219740935842,0.01054010936599999,9.766752480330005e-18,0.010540109366,evaluable
